node,clade,node.type,branch.length,label,astral,gcf,scf,ds.sum,dn.sum,dn.ds.sum,synonymous.bl.sum,nonsynonymous.bl.sum,num.genes.full,num.genes.partial,num.genes.no.clade,num.genes.no.subs,avg.ds,avg.dn,avg.dn.ds,avg.synonymous.bl,avg.nonsynonymous.bl
11,Crunomys_melanius_KU168558,tip,NA,Crunomys_melanius_KU168558,NA,NA,NA,153.0487508407236,20.82328573650014,1954272.9987129695,36.70867853505071,15.795153779814791,10279,0,1515,300,0.014889459173141708,0.0020258085160521585,195.83856084908,0.003571230521942865,0.0015366430372424158
12,Crunomys_celebensis_Z21894,tip,NA,Crunomys_celebensis_Z21894,NA,NA,NA,105.25636284140462,15.916696050673403,2357607.8652593526,25.045183612373513,12.10495355443254,9142,0,2652,350,0.011513494075848242,0.0017410518541537304,268.1537608347762,0.0027395737926464137,0.0013241034297125948
13,Hyorhinomys_stuempkei_JAE4661,tip,NA,Hyorhinomys_stuempkei_JAE4661,NA,NA,NA,164.72714996445603,22.963398835765794,607849.4668071944,39.18860092102331,17.460631751244506,8872,0,2922,234,0.0185670818264716,0.0025883001392882996,70.36923672229618,0.0044171101128294985,0.0019680603867498316
14,Sommeromys_macrorhinos_Z21740,tip,NA,Sommeromys_macrorhinos_Z21740,NA,NA,NA,157.55528547234746,23.745572627439156,519631.4535992123,37.399139536791346,18.084285327927375,8423,0,3371,242,0.018705364534292706,0.002819134824580216,63.51686268172745,0.004440121042003009,0.0021470123860770954
15,Gracilimus_radix_Z08508,tip,NA,Gracilimus_radix_Z08508,NA,NA,NA,160.87460111973184,20.04202442445671,1007603.6695271636,38.404461324423394,15.221026869640601,10010,0,1784,257,0.016071388723249935,0.0020022002422034673,103.31217774296766,0.00383660952291942,0.0015205821048592009
16,Waiomys_mamasae_Z20624,tip,NA,Waiomys_mamasae_Z20624,NA,NA,NA,129.13926034560876,17.308822570726115,1204172.4509610876,30.7534595488041,13.15421916173058,9407,0,2387,282,0.013727996209802144,0.0018399938950490182,131.9641042149137,0.003269210114680993,0.0013983436974306985
17,Paucidentomys_vermidax_Z21914,tip,NA,Paucidentomys_vermidax_Z21914,NA,NA,NA,168.14826881441846,21.73048800472655,665657.1254642485,40.01256132398724,16.528046720056302,9455,0,2339,241,0.017784058044888255,0.0022983065049948757,72.24409870460696,0.004231894375884425,0.0017480747456431838
18,Echiothrix_centrosa_Z27993,tip,NA,Echiothrix_centrosa_Z27993,NA,NA,NA,146.86703074023583,21.415979701380547,544048.0756795576,34.87626877701633,16.31121828825611,8231,0,3563,287,0.017843157664953934,0.002601868509461857,68.48540731112256,0.0042371848836127235,0.0019816812402206428
19,Tateomys_rhinogradoides_Z21785,tip,NA,Tateomys_rhinogradoides_Z21785,NA,NA,NA,99.14372489596192,14.686161024127225,1542512.678790147,23.609171879204748,11.16534474928624,9751,0,2043,311,0.01016754434375571,0.0015061184518641395,163.40176682099013,0.0024212051973340936,0.0011450461234013168
20,Melasmothrix_naso_Z21808,tip,NA,Melasmothrix_naso_Z21808,NA,NA,NA,100.51586899485488,15.582186119331677,1706400.5074335102,23.907109087567697,11.862861913090033,9448,0,2346,351,0.010638851502419017,0.001649257633290821,187.5783783042223,0.0025303883454241846,0.001255595037371934
21,Tateomys_macrocercus_Z21834,tip,NA,Tateomys_macrocercus_Z21834,NA,NA,NA,80.22379135355403,12.336527033860834,1320807.168843408,19.063770944677845,9.386718514866628,7764,0,4030,265,0.010332791261405723,0.001588939597354564,176.1311066600091,0.0024554058403758175,0.0012090054758972988
22,Saxatilomys_paulinae_ABTC116266,tip,NA,Saxatilomys_paulinae_ABTC116266,NA,NA,NA,313.07442222770663,33.4242304070119,160919.5059161733,74.58898374701731,25.421843102980866,10188,0,1606,149,0.030729723422429,0.003280745034060846,16.02943579202842,0.007321258710936132,0.0024952731746153184
23,Margaretamys_parvus_NMVZ21833,tip,NA,Margaretamys_parvus_NMVZ21833,NA,NA,NA,118.38792636936411,13.963462576080296,1453205.436928232,28.167734367876143,10.613195409444758,10677,0,1117,298,0.01108812647460561,0.00130780767781964,140.01401261472512,0.002638169370410803,0.0009940241087800655
24,Margaretamys_christinae_TMar1,tip,NA,Margaretamys_christinae_TMar1,NA,NA,NA,119.2852475578996,14.924704878747171,1418150.7084936572,28.398382124872988,11.347610216504467,9902,0,1892,284,0.01204658125206015,0.0015072414541251436,147.44756794485934,0.0028679440643176114,0.0011459917407093988
25,Leopoldomys_sabanus_Z25191,tip,NA,Leopoldomys_sabanus_Z25191,NA,NA,NA,222.56588597646882,24.78252339621842,340894.7473707745,52.89548249939697,18.862521420428905,9729,0,2065,181,0.02287654291052203,0.0025472837286687655,35.70326218797387,0.005436887912364782,0.0019387934443857442
26,Anonymomys_mindorensis_FMNH2222010,tip,NA,Anonymomys_mindorensis_FMNH2222010,NA,NA,NA,210.38273707458433,25.390061129016583,547921.1154996138,50.16156107605521,19.281978553903823,10431,0,1363,246,0.020168990228605535,0.002434096551530686,53.796869464861444,0.004808892826771662,0.0018485263688911727
27,Niviventer_lepturus_JAE4746,tip,NA,Niviventer_lepturus_JAE4746,NA,NA,NA,166.63665985101593,18.484079501555776,597466.0098664495,39.65702135989092,14.057237744823322,9139,0,2655,197,0.018233576961485493,0.002022549458535483,66.8157022888,0.0043393173607496355,0.0015381592892902201
28,Niviventer_rapit_LSUMZ38196,tip,NA,Niviventer_rapit_LSUMZ38196,NA,NA,NA,39.29695066980876,5.740193543624583,1131118.9919117172,9.305721075515851,4.374338669169874,9454,0,2340,82,0.004156648050540381,0.000607170884665177,120.69131369096428,0.0009843157473572934,0.00046269713022740365
29,Niviventer_bukit_LSUMZ38136,tip,NA,Niviventer_bukit_LSUMZ38136,NA,NA,NA,50.03096342490209,6.933723800078255,946163.7910732997,11.881100092060796,5.278651695438108,10070,0,1724,100,0.0049683181156804455,0.0006885525124208793,94.90108235439315,0.0011798510518431773,0.0005241957989511527
30,Berylmys_bowersi_ABTC116431,tip,NA,Berylmys_bowersi_ABTC116431,NA,NA,NA,132.89784813084293,14.985975448765176,876668.2451678163,31.53858430729612,11.398144287185712,9837,0,1957,100,0.013509997776846897,0.0015234294448272009,90.03473812958984,0.0032061181566835537,0.0011587012592442524
31,Berylmys_mackenziei_ABTC116402,tip,NA,Berylmys_mackenziei_ABTC116402,NA,NA,NA,49.46584063193702,9.144273705985787,908664.5210151387,11.828448045408452,6.946401473187227,6779,0,5015,91,0.007296922943197672,0.0013489118905422315,135.86491043886645,0.001744866211153334,0.0010246941249723008
32,Nesokia_indica_ABTC117074,tip,NA,Nesokia_indica_ABTC117074,NA,NA,NA,79.81682859481006,11.267796458284733,1604189.3219996688,18.979754607710692,8.577686412990653,8168,0,3626,220,0.009771893804457647,0.001379504953266985,201.83559662804086,0.0023236722095630134,0.001050157494244693
33,Bandicota_indica_ABTC119185,tip,NA,Bandicota_indica_ABTC119185,NA,NA,NA,95.96853951438678,13.183618674800096,1684658.1451100884,22.855845341812003,10.031862677299525,8792,0,3002,273,0.010915438980253272,0.0014995016691082912,197.75303968894102,0.0025996184419713377,0.0011410216875909378
34,Rattus_exulans_sample1,tip,NA,Rattus_exulans_sample1,NA,NA,NA,133.00742127468115,15.308412774308454,978607.5864352515,31.63988020148809,11.65834843872839,9326,0,2468,212,0.014262000994497228,0.0016414768147446337,107.37410428299884,0.003392652820232478,0.0012500909756303228
35,rnor6,tip,NA,rnor6,NA,NA,NA,141.1331386048163,14.681221722586043,670326.2169554188,33.65800026173578,11.145777707662726,9105,0,2689,163,0.015500619286635509,0.0016124351150561278,74.96379075770732,0.003696650220948466,0.0012241381337356097
36,Rattus_argentiventer_LSUMZ38199,tip,NA,Rattus_argentiventer_LSUMZ38199,NA,NA,NA,73.35456321868938,9.943288440712902,1806852.7168174533,17.446256040769974,7.57199742765705,9760,0,2034,256,0.007515836395357518,0.0010187795533517317,190.11497441261082,0.0017875262336854482,0.0007758194085714191
37,Rattus_hoffmanni_LSUMZ39187,tip,NA,Rattus_hoffmanni_LSUMZ39187,NA,NA,NA,87.85539688048878,9.70636888807892,1695522.7090899777,20.928481093194677,7.388542793809613,10470,0,1324,212,0.008391155384955948,0.0009270648412682827,165.28784452037218,0.001998899817879148,0.0007056869908127614
38,Kadarsanomys_sodyi_MZB-Sample,tip,NA,Kadarsanomys_sodyi_MZB-Sample,NA,NA,NA,0,0,0,0,0,0,0,11794,0,0,0,0,0,0
39,Tarsomys_apoensis_KU167148,tip,NA,Tarsomys_apoensis_KU167148,NA,NA,NA,88.25728573324253,12.304608529398607,2119719.307276873,21.03544033308171,9.358446296601182,9885,0,1909,290,0.008928405233509613,0.0012447757743448262,220.91915656872047,0.0021280162198362884,0.0009467320482145859
40,Limnomys_sibuanus_FMNH147948,tip,NA,Limnomys_sibuanus_FMNH147948,NA,NA,NA,93.94429639822177,13.557277538887348,1853590.4305915765,22.312207370889286,10.314267247187075,10239,0,1555,326,0.009175143705266313,0.0013240821895582917,186.9858196904647,0.002179139307636418,0.0010073510349826228
41,Rattus_xanthurus_LSUMZ39196,tip,NA,Rattus_xanthurus_LSUMZ39196,NA,NA,NA,53.015583987850505,8.039309377501276,2916212.518548862,12.609201087142434,6.1247970895442405,10397,0,1397,270,0.005099123207449313,0.0007732335652112413,287.96410768725804,0.0012127730198271073,0.0005890927276660806
42,Rattus_morotaiensis_ASAM29,tip,NA,Rattus_morotaiensis_ASAM29,NA,NA,NA,58.73024523729961,7.920329900724911,2728167.9682174246,13.99837191248347,6.02004629123546,10629,0,1165,264,0.0055254723151095695,0.0007451622825030493,263.2096447870164,0.0013169980160394647,0.0005663793669428413
43,Rattus_leucopus_sample1,tip,NA,Rattus_leucopus_sample1,NA,NA,NA,35.37954415637012,6.12629706755469,1501693.5511878687,8.422761591849458,4.665745395317897,5268,0,6526,166,0.006715934729758945,0.0011629265504090147,294.33429070714794,0.0015988537569949616,0.0008856768024521444
44,Rattus_praetor_sample1,tip,NA,Rattus_praetor_sample1,NA,NA,NA,39.47090049754619,5.363398237183236,1345586.549643246,9.053125239239012,4.089470796555916,4153,0,7641,141,0.009504189862158967,0.0012914515379685134,335.3904660127732,0.002179900129843249,0.0009847028164112488
45,Rattus_lutreolus_sample2,tip,NA,Rattus_lutreolus_sample2,NA,NA,NA,37.409790087554484,6.510315818492997,1624491.7228858392,8.887893395511146,4.952068464003861,5971,0,5823,151,0.0062652470419618965,0.0010903225286372463,279.1222891556425,0.0014885100310686897,0.0008293532848775517
46,Rattus_tunneyi_RAT130,tip,NA,Rattus_tunneyi_RAT130,NA,NA,NA,2291.8674858754102,7.71919987031498,2067197.0052873413,584.647317900651,5.871679195224599,7763,0,4031,184,0.29522961302014816,0.0009943578346406003,272.75326629995266,0.07531203373704123,0.0007563672800753058
47,Rattus_colletti_RAT25,tip,NA,Rattus_colletti_RAT25,NA,NA,NA,37.16774236150473,5.562450747237054,2270454.3035164773,8.815263575221628,4.237911098915229,9736,0,2058,140,0.0038175577610419812,0.0005713281375551617,236.60424171701516,0.0009054297016456069,0.0004352825697324599
48,Rattus_villosissimus_sample1,tip,NA,Rattus_villosissimus_sample1,NA,NA,NA,21.61018115974194,4.635039632247286,1315045.9877343934,5.131803781089484,3.533455155355786,5659,0,6135,102,0.003818727895342276,0.0008190563053980008,236.64674963728513,0.0009068393322299848,0.000624395680395085
49,Sundamys_annandalei_YS118,tip,NA,Sundamys_annandalei_YS118,NA,NA,NA,119.67788565415253,13.620879000590449,1406869.515991014,28.5080035479931,10.36107803479281,10115,0,1679,214,0.011831723742377908,0.0013466019773198665,142.09367902141338,0.002818388882648848,0.0010243280311213851
50,Sundamys_muelleri_JAE1283,tip,NA,Sundamys_muelleri_JAE1283,NA,NA,NA,91.94282508180332,11.944628626675849,1303094.7059315203,21.853003309578508,9.093762713684946,7826,0,3968,206,0.011748380409123859,0.0015262750609092574,171.00980392802103,0.002792359226881997,0.0011619937022342122
51,Bullimus_bagobus_JAE1712,tip,NA,Bullimus_bagobus_JAE1712,NA,NA,NA,140.41391694677924,20.368085052760964,910141.010001601,33.40644419328398,15.479392396251093,9049,0,2745,295,0.01551706453163656,0.0022508658473600358,103.96858693187126,0.0036917277260784596,0.001710619117720311
52,Papagomys_armandvillei_WAMM32592,tip,NA,Papagomys_armandvillei_WAMM32592,NA,NA,NA,121.29049262647892,19.07204698874659,1301363.5783392075,28.941583434437405,14.49745309207321,10296,0,1498,373,0.011780350876697642,0.0018523744161564287,131.14618344645848,0.0028109541020238347,0.0014080665396341502
53,Halmaheramys_bokimekot_33262-WD225,tip,NA,Halmaheramys_bokimekot_33262-WD225,NA,NA,NA,0,0,0,0,0,0,0,11794,0,0,0,0,0,0
54,Bunomys_andrewsi_sample1,tip,NA,Bunomys_andrewsi_sample1,NA,NA,NA,29.831719137358103,5.986287718560825,980373.6609031829,7.08383721333621,4.565577648481132,4046,0,7748,127,0.007373138689411296,0.0014795570238657501,250.15913776554808,0.0017508248179278819,0.0011284176096097707
55,Bunomys_torajae_NMVZ21736,tip,NA,Bunomys_torajae_NMVZ21736,NA,NA,NA,64.26572804365526,9.621786962015163,2429346.0510153994,15.34610450536313,7.310489047824951,9159,0,2635,240,0.007016675187646606,0.0010505281102757029,272.37874773129266,0.0016755218370305852,0.0007981754610574245
56,Bunomys_chrysocomus_JAE4867,tip,NA,Bunomys_chrysocomus_JAE4867,NA,NA,NA,78.41140530035243,11.60829731044832,1860050.8168888707,18.66987415474028,8.833915907226217,9657,0,2137,317,0.008119644330573928,0.001202060402863034,199.14890973114248,0.0019332995914611453,0.0009147681378509078
57,Taeromys_callitrichus_LSUMZ37153,tip,NA,Taeromys_callitrichus_LSUMZ37153,NA,NA,NA,29.273292992391458,5.3936846665258855,2770262.7541533187,6.929693964005536,4.101962282029686,10102,0,1692,195,0.0028977720245883447,0.0005339224575852193,279.6268046990329,0.0006859724771337889,0.00040605447258262585
58,Taeromys_punicans_MVZ225815,tip,NA,Taeromys_punicans_MVZ225815,NA,NA,NA,13.844144548612185,2.7585356569370973,965957.7441070817,3.2742556839439003,2.0996356374815806,10657,0,1137,50,0.0012990658298406854,0.0002588472982018483,91.06794985453773,0.000307239906535038,0.000197019389835937
59,Taeromys_hamatus_NMVZ63317,tip,NA,Taeromys_hamatus_NMVZ63317,NA,NA,NA,47.977837843071654,8.106235032119855,1858444.733847014,11.417068525585801,6.155187687968627,6902,0,4892,220,0.006951294964223653,0.001174476243425073,278.12701793579976,0.0016541681433766735,0.0008917976945767353
60,Taeromys_taerae_LSUMZ39224,tip,NA,Taeromys_taerae_LSUMZ39224,NA,NA,NA,59.15551655462722,9.214621868364919,2615922.7655411363,14.091810994253384,7.00278979213623,9296,0,2498,258,0.006363545240385888,0.0009912458980599096,289.43602185673114,0.0015159004942183073,0.0007533121549199904
61,Genus_sp-nov_NMVZ21816,tip,NA,Genus_sp-nov_NMVZ21816,NA,NA,NA,0,0,0,0,0,0,0,11794,0,0,0,0,0,0
62,Taeromys_celebensis_NMVZ20637,tip,NA,Taeromys_celebensis_NMVZ20637,NA,NA,NA,83.95616253749563,12.930669931006797,1805628.0610972529,20.04039748928817,9.825403119780198,9678,0,2116,320,0.008674949631896635,0.0013360890608603842,192.95020956371584,0.0020707168308832583,0.0010152307418661085
63,Paruromys_dominator_JAE4870,tip,NA,Paruromys_dominator_JAE4870,NA,NA,NA,56.514304172250405,9.67545857592401,1639399.4939385587,13.392020435437145,7.378603419127632,6839,0,4955,250,0.008263533290283726,0.0014147475619131467,248.80854362400345,0.0019581840086909117,0.0010789009239841544
64,Eropeplus_canus_NMVZ21733,tip,NA,Eropeplus_canus_NMVZ21733,NA,NA,NA,47.22067547070775,8.13443277893507,2780359.8313725526,11.261256192011626,6.18556340992301,9398,0,2396,268,0.0050245451660680725,0.000865549348684302,304.53010201232775,0.001198260927006983,0.0006581786986510971
65,Lenomys_meyeri_LSUMZ39079,tip,NA,Lenomys_meyeri_LSUMZ39079,NA,NA,NA,84.17013075620982,11.962741928276323,2162929.9769778196,19.869334286985378,9.087355352520937,10029,0,1765,349,0.008392674320092712,0.001192815029242828,223.4431794398574,0.0019811879835462537,0.0009061078225666505
66,Chiropodomys_gliroides_Z25153,tip,NA,Chiropodomys_gliroides_Z25153,NA,NA,NA,523.3614120377517,51.849245237211434,44719.424360360645,124.64552157418403,39.419378768730205,8866,0,2928,72,0.05903016152016149,0.005848098943967001,5.0852199636525635,0.014058822645407629,0.004446128893382608
67,Haeromys_minahassae_JAE4996,tip,NA,Haeromys_minahassae_JAE4996,NA,NA,NA,3194.282602643389,41.523328936378455,58352.74509392835,836.7972509830827,31.586828161619703,8374,0,3420,98,0.38145242448571637,0.004958601497059763,7.050839184863261,0.09992802137366642,0.0037720119610245646
68,Apomys_lubangensis_JAE169,tip,NA,Apomys_lubangensis_JAE169,NA,NA,NA,336.56041276599746,42.309660568376394,165591.9403665476,79.80708599676193,32.22870044235676,8985,0,2809,143,0.03745803147089565,0.004708921599151519,18.72788287339376,0.008882257762577844,0.0035869449574131066
69,Archboldomys_luzonensis_EAR1826,tip,NA,Archboldomys_luzonensis_EAR1826,NA,NA,NA,194.63320641702214,27.496190541435347,387293.82546720764,46.309011094293986,20.913816670013336,9074,0,2720,258,0.021449548866764617,0.0030302171634819645,43.930787825227725,0.00510348370005444,0.002304806774301668
70,Rhynchomys_isarogensis_JAE2195,tip,NA,Rhynchomys_isarogensis_JAE2195,NA,NA,NA,194.35952257877676,25.242807029712125,451948.6361877118,46.15702793913737,19.21191406461369,9080,0,2714,231,0.021405233764182463,0.0027800448270608067,51.07341351426283,0.0050833731210503715,0.002115849566587411
71,Chrotomys_whiteheadi_KU168311,tip,NA,Chrotomys_whiteheadi_KU168311,NA,NA,NA,69.4970212447651,11.096615971052373,1521994.5463013356,16.60686202028332,8.434867961474016,9250,0,2544,132,0.007513191485920551,0.001199634159032689,166.92197261475494,0.0017953364346252236,0.0009118776174566503
72,Chrotomys_mindorensis_JAE520,tip,NA,Chrotomys_mindorensis_JAE520,NA,NA,NA,76.48948764339424,10.770944587956636,1822168.0230655707,18.0808171170381,8.21198274266274,9721,0,2073,157,0.007868479337865882,0.0011080078786088507,190.523632691925,0.0018599750146114703,0.0008447672814178314
73,Anisomys_imitator_ABTC45107,tip,NA,Anisomys_imitator_ABTC45107,NA,NA,NA,242.41321412468645,32.699389391268866,458774.7809931505,57.79057900362821,24.84569321327552,10559,0,1235,239,0.022957970842379626,0.0030968263463650786,44.45492063887117,0.005473110995703022,0.002353034682571789
74,Lorentzimys_nouhuysi_ABTC-46314,tip,NA,Lorentzimys_nouhuysi_ABTC-46314,NA,NA,NA,0,0,0,0,0,0,0,11794,0,0,0,0,0,0
75,Macruromys_major_ABTC43909,tip,NA,Macruromys_major_ABTC43909,NA,NA,NA,209.38204814702368,31.002138109340486,352781.7708411502,50.02479736457084,23.544359108300274,8547,0,3247,213,0.0244977241309259,0.0036272537860466227,42.330426066852674,0.005852907144561933,0.0027546927703639024
76,Chiruromys_vates_ABTC43096,tip,NA,Chiruromys_vates_ABTC43096,NA,NA,NA,344.28382079129983,47.56205081357019,145971.43648090228,81.98039612925605,36.19210314282814,10009,0,1785,172,0.03439742439717253,0.004751928345845757,14.839019668689874,0.008190668011715061,0.003615955953924282
77,Hyomys_goliath_ABTC42697,tip,NA,Hyomys_goliath_ABTC42697,NA,NA,NA,274.26427330433853,35.30709512945706,295766.5552410837,65.38887040454038,26.832833104337723,10424,0,1370,222,0.026310847400646445,0.0033870966164099253,28.991036585089564,0.006272915426375709,0.002574139783608761
78,Pogonomys_macrourus_ABTC43144,tip,NA,Pogonomys_macrourus_ABTC43144,NA,NA,NA,341.6340685318666,44.29849633406237,257288.2947148515,81.32399557509494,33.700829974995486,10448,0,1346,187,0.03269851345059979,0.004239902022785449,25.074387946092145,0.007783690234982287,0.003225577141557761
79,Coccymys_ruemmleri_ABTC49489,tip,NA,Coccymys_ruemmleri_ABTC49489,NA,NA,NA,328.2955994775323,40.9202244463389,336810.46859638696,78.03449643210189,31.12311082544644,10466,0,1328,201,0.03136781955642388,0.003909824617460243,32.81154102254135,0.0074560000412862495,0.0029737350301401147
80,Mammelomys_lanosus_ABTC47208,tip,NA,Mammelomys_lanosus_ABTC47208,NA,NA,NA,264.23635648886,33.587310019642636,346100.61018222466,63.09269644829224,25.525244287614502,9520,0,2274,204,0.02775591979925,0.0035280787835759073,37.15120332570037,0.006627384080702966,0.002681223139455305
81,Xenuromys_barbatus_ABTC129204,tip,NA,Xenuromys_barbatus_ABTC129204,NA,NA,NA,256.50480358403087,29.846418286092657,411231.04882412404,61.22453179382701,22.672855299855367,10471,0,1323,197,0.024496686427660286,0.0028503885288981624,40.026382015196035,0.005847056803918156,0.002165299904484325
82,Mallomys_rothschildi_ABTC47402,tip,NA,Mallomys_rothschildi_ABTC47402,NA,NA,NA,165.0576085541602,25.388361522546212,521947.64913455676,39.353362087576826,19.30210452939839,8491,0,3303,249,0.019439124785556493,0.0029900319776876945,63.32779047980548,0.004634714649343638,0.0022732427899421026
83,Abeomelomys_sevia_KUM161018,tip,NA,Abeomelomys_sevia_KUM161018,NA,NA,NA,185.42560491701082,21.66658461982515,498887.3237794846,44.26854528727931,16.452209483802335,9109,0,2685,194,0.020356307488968144,0.0023785909122653586,55.960440132303376,0.004859868842603942,0.0018061488070921434
84,Pogonomelomys_mayeri_AMM21849,tip,NA,Pogonomelomys_mayeri_AMM21849,NA,NA,NA,215.39061151713744,25.354431466491807,464726.52682791604,51.34969471487283,19.273507164880655,9537,0,2257,217,0.022584734352221605,0.002658533235450541,49.86336124763048,0.005384260743931303,0.0020209192791109
85,Crossomys_moncktoni_ABTC46614,tip,NA,Crossomys_moncktoni_ABTC46614,NA,NA,NA,85.02513315645716,11.246186929460503,2444568.7840544307,20.218867441364846,8.55108408598447,10707,0,1087,311,0.00794107902834194,0.001050358357099141,235.14513120954507,0.0018883783918338328,0.00079864425945498
86,Parahydromys_asper_ABTC45798,tip,NA,Parahydromys_asper_ABTC45798,NA,NA,NA,47.52032757505311,6.981429943252723,2435827.282800974,11.253030143509404,5.318854019136165,9670,0,2124,158,0.004914201403831759,0.0007219679362205505,256.0794031540132,0.0011637052888841162,0.0005500366100451049
87,Hydromys_sp-nov_YS391,tip,NA,Hydromys_sp-nov_YS391,NA,NA,NA,0,0,0,0,0,0,0,11794,0,0,0,0,0,0
88,Hydromys_chrysogaster_Z5248,tip,NA,Hydromys_chrysogaster_Z5248,NA,NA,NA,68.5473010011944,5.688445717792985,1347053.2709577666,15.809735585618586,4.339869274452802,6115,0,5679,98,0.011209697628977007,0.0009302445981672911,223.87456721917343,0.00258540238521972,0.0007097087938598204
89,Xeromys_myoides_ABTC30709,tip,NA,Xeromys_myoides_ABTC30709,NA,NA,NA,195.11637062157652,24.14767851817552,517294.8175541762,46.393451670182664,18.373366502416584,10598,0,1196,265,0.018410678488542793,0.002278512787146209,50.062403711814206,0.004377566679579417,0.0017336635688258713
90,Microhydromys_richardsoni_ANWCM35851,tip,NA,Microhydromys_richardsoni_ANWCM35851,NA,NA,NA,133.24467052464905,16.248853729088864,1159762.8436851047,31.7655832498074,12.335208956700164,10281,0,1513,290,0.012960283097427201,0.0015804740520463832,116.08075704985535,0.003089736723062679,0.0011998063375839086
91,Pseudohydromys_pumehanae_ABTC43920,tip,NA,Pseudohydromys_pumehanae_ABTC43920,NA,NA,NA,89.02595053555345,12.064658838159533,2008420.3212513162,21.170405577244512,9.181178346727874,9926,0,1868,276,0.00896896539749682,0.0012154602899616697,208.12645816075815,0.0021328234512638035,0.0009249625575990201
92,Paraleptomys_wilhelmina_H126-ABTC133716,tip,NA,Paraleptomys_wilhelmina_H126-ABTC133716,NA,NA,NA,0,0,0,0,0,0,0,11794,0,0,0,0,0,0
93,Mirzamys_louiseae_ABTC133754,tip,NA,Mirzamys_louiseae_ABTC133754,NA,NA,NA,111.68182393384654,14.565963245207175,1528552.2196732613,26.618558833833834,11.070043339898836,10447,0,1347,287,0.010690324871623101,0.0013942723504553629,150.448053117447,0.002547961982754268,0.001059638493337689
94,Leptomys_elegans_ABTC45741,tip,NA,Leptomys_elegans_ABTC45741,NA,NA,NA,149.92280844141456,19.22665975443746,935226.8913463937,35.69253067213532,14.629667448113704,9975,0,1819,280,0.015029855482848577,0.0019274846871616502,96.46486759632735,0.0035781985636225886,0.0014666333281316997
