node,clade,node.type,branch.length,label,astral,gcf,scf,ds.sum,dn.sum,dn.ds.sum,synonymous.bl.sum,nonsynonymous.bl.sum,num.genes.full,num.genes.partial,num.genes.no.clade,num.genes.no.ds,num.genes.no.dn,avg.ds,avg.dn,avg.dn.ds,avg.synonymous.bl,avg.nonsynonymous.bl,ES.sum,EN.sum,S.sum,N.sum,num.genes.full,num.genes.partial,num.genes.no.clade,avg.ES,avg.EN,avg.S,avg.N,avg.dS,avg.dN,avg.dNdS
11,Crunomys_melanius_KU168558,tip,NA,Crunomys_melanius_KU168558,NA,NA,NA,153.04874964460438,20.823285309563197,1374.737027049108,36.70867825295225,15.795153454614764,10279,0,1515,2821,3252,0.014889459056776378,0.0020258084745172875,0.13374229273753363,0.0035712304944987105,0.0015366430056050944,3508549.408046626,7775311.718239215,48203.210737179485,22131.640544871796,10279,0,1515,341.33178403021947,756.4268623639668,4.689484457357669,2.1530927663072084,0.013738786356158647,0.002846399134449582,0.20717980909380943
12,Crunomys_celebensis_Z21894,tip,NA,Crunomys_celebensis_Z21894,NA,NA,NA,105.25636172085076,15.916695675846253,1336.431454947407,25.045183348175243,12.104953268932517,9142,0,2652,2642,2855,0.011513493953276171,0.001741051813153167,0.14618589531255818,0.0027395737637470187,0.0013241033984831019,3109299.8763641934,6895138.272611658,33828.68630189255,17842.51259920636,9142,0,2652,340.1115594360308,754.2264572972717,3.7003594729700886,1.951707788143334,0.010879840365043704,0.0025876946761284,0.23784307391517553
13,Hyorhinomys_stuempkei_JAE4661,tip,NA,Hyorhinomys_stuempkei_JAE4661,NA,NA,NA,164.72714943553402,22.963398498519982,1504.274320604936,39.18860079672379,17.4606314939449,8872,0,2922,1243,2573,0.0185670817668546,0.002588300101275922,0.16955301179045718,0.004417110098819183,0.0019680603577485233,3195504.140624888,7083320.525318879,55125.082508368105,25233.604570070736,8872,0,2922,360.17855507494227,798.3905010503696,6.213377198869264,2.844184464615728,0.017250824934806147,0.0035623976749145857,0.20650593165124004
14,Sommeromys_macrorhinos_Z21740,tip,NA,Sommeromys_macrorhinos_Z21740,NA,NA,NA,157.55528491740318,23.74557232494964,1492.6855959001832,37.399139406491955,18.084285097127843,8423,0,3371,1303,2308,0.018705364468408307,0.0028191347886678906,0.1772154334441628,0.004440121026533534,0.0021470123586759876,2993686.109643682,6643258.645669118,54223.06782661785,26126.408913308915,8423,0,3371,355.41803509957043,788.7045762399522,6.4375006323896296,3.1017937686464343,0.018112476004731055,0.0039327700917291975,0.21713045144694418
15,Gracilimus_radix_Z08508,tip,NA,Gracilimus_radix_Z08508,NA,NA,NA,160.87460037810067,20.04202397383531,1405.2046519459861,38.4044611498241,15.221026525940573,10010,0,1784,1746,3437,0.016071388649160905,0.0020022001971863445,0.14038008510948913,0.0038366095054769333,0.0015205820705235338,3559873.1317747175,7893429.540631507,49807.3691620879,21050.313988095233,10010,0,1784,355.6316814959758,788.5543996634872,4.975761155053736,2.102928470339184,0.013991332645401673,0.0026668147070596543,0.1906047675834594
16,Waiomys_mamasae_Z20624,tip,NA,Waiomys_mamasae_Z20624,NA,NA,NA,129.1392595492679,17.308822147547787,1321.8396008207817,30.75345936130565,13.154218839130554,9407,0,2387,1875,3226,0.013727996125148072,0.001839993850063547,0.14051659411297776,0.0032692100947491923,0.0013983436631370845,3285132.420163292,7286819.287355058,42865.88367331902,19188.24787903667,9407,0,2387,349.22211333722674,774.6166989853363,4.556807023845968,2.0397839777864006,0.013048449252827474,0.002633281699785579,0.20180801938705262
17,Paucidentomys_vermidax_Z21914,tip,NA,Paucidentomys_vermidax_Z21914,NA,NA,NA,168.1482682398462,21.730487616570088,2422.398600586488,40.01256118888772,16.52804642425643,9455,0,2339,1351,2958,0.01778405798411911,0.002298306463941839,0.25620291915245774,0.00423189436159574,0.001748074714358163,3396823.087226038,7530997.541238542,55933.54519546545,23400.201141530873,9455,0,2339,359.2620927790627,796.5095231346951,5.915763637807028,2.47490228889803,0.01646642870681343,0.0031071848069787705,0.18869816049992
18,Echiothrix_centrosa_Z27993,tip,NA,Echiothrix_centrosa_Z27993,NA,NA,NA,146.86703015433204,21.41597937203304,1394.8795127221147,34.87626863921726,16.31121803715618,8231,0,3563,1378,2511,0.017843157593771357,0.002601868469448796,0.16946659126741764,0.00423718486687125,0.00198168120971403,2860878.592805594,6342947.4818849955,51287.93406435518,22804.215234621694,8231,0,3563,347.573635379127,770.6168730269707,6.231069622689245,2.770527910900461,0.017927336795532572,0.003595207953360626,0.20054333749430864
19,Tateomys_rhinogradoides_Z21785,tip,NA,Tateomys_rhinogradoides_Z21785,NA,NA,NA,99.14372379792022,14.686160606463782,1395.2276934557697,23.60917162020629,11.165344431086213,9751,0,2043,2590,3182,0.010167544231147596,0.0015061184090312564,0.14308560080563734,0.0024212051707728733,0.0011450460907687634,3320612.705987726,7367489.45114933,45197.39926871501,20849.791131689213,9751,0,2043,340.54073489772594,755.5624501229955,4.635155293684239,2.1382208113720864,0.013611162538532454,0.0028299723087403463,0.20791554731117565
20,Melasmothrix_naso_Z21808,tip,NA,Melasmothrix_naso_Z21808,NA,NA,NA,100.5158679300981,15.58218572528054,1393.276332924719,23.907108836369144,11.862861612790008,9448,0,2346,2512,3003,0.010638851389722492,0.0016492575915834611,0.14746785911565613,0.0025303883188367003,0.0012555950055874268,3233658.519707431,7172997.462974233,35163.851604932424,18262.299152930394,9448,0,2346,342.2585224076451,759.208029527332,3.7218301868048713,1.9329275140696862,0.010874324357574378,0.0025459787553525864,0.2341275348825894
21,Tateomys_macrocercus_Z21834,tip,NA,Tateomys_macrocercus_Z21834,NA,NA,NA,80.22379037444229,12.336526709041452,1067.3571677370599,19.06377071457848,9.386718267266607,7764,0,4030,2301,2476,0.010332791135296534,0.0015889395555179614,0.1374751632840108,0.002455405810739114,0.0012090054440065182,2507243.294343645,5567843.678876382,33612.54142299273,16168.802267799249,7764,0,4030,322.93190292937214,717.1359710041709,4.329281481580722,2.082535067980326,0.013406174621674252,0.0029039612460998888,0.21661371181939915
22,Saxatilomys_paulinae_ABTC116266,tip,NA,Saxatilomys_paulinae_ABTC116266,NA,NA,NA,313.07442190767284,33.42423001749155,1474.3467159536756,74.58898367181683,25.42184280608279,10188,0,1606,752,2969,0.03072972339101618,0.0032807449958275965,0.14471404750232386,0.007321258703554852,0.0024952731454733795,3803619.035845884,8426208.307993947,98055.12045940169,32704.42441239317,10188,0,1606,373.3430541662627,827.0718794654443,9.624570127542372,3.2100926985073786,0.02577942731259764,0.0038812741409877645,0.15055703503122822
23,Margaretamys_parvus_NMVZ21833,tip,NA,Margaretamys_parvus_NMVZ21833,NA,NA,NA,118.38792531361969,13.963462046048951,1296.9429712904575,28.167734118378053,10.613195005744725,10677,0,1117,2495,4037,0.011088126375725363,0.0013078076281772923,0.12147072878996512,0.0026381693470429947,0.000994024070969816,3721476.7619818826,8252737.500939737,42382.140376984134,15896.294604700855,10677,0,1117,348.5507878600621,772.9453499053795,3.969480226372964,1.488835309984158,0.011388527481873462,0.0019261844452087258,0.169133757483093
24,Margaretamys_christinae_TMar1,tip,NA,Margaretamys_christinae_TMar1,NA,NA,NA,119.28524662442159,14.92470441706591,1296.6265315108867,28.398381904474608,11.347609865004438,9902,0,1892,2204,3515,0.012046581157788486,0.0015072414075000917,0.13094592319843332,0.002867944042059645,0.0011459917052115166,3541410.525421084,7842176.517237764,39282.72257326008,17310.40654761906,9902,0,1892,357.6459831772454,791.9790463782836,3.96715033056555,1.7481727476892606,0.011092394482729237,0.002207347221727199,0.19899645880463587
25,Leopoldomys_sabanus_Z25191,tip,NA,Leopoldomys_sabanus_Z25191,NA,NA,NA,222.56588549465633,24.782522989176506,1378.0611804706878,52.89548238559676,18.86252111012973,9729,0,2065,1138,3103,0.0228765428609987,0.002547283686830764,0.14164468912228265,0.005436887900667773,0.0019387934124914924,3537385.8907959606,7839267.137583579,74266.14663461539,26744.64823717947,9729,0,2065,363.5919303932532,805.7628880238029,7.633482026376337,2.748961685392072,0.020994640937493106,0.003411626082871746,0.1624998537974099
26,Anonymomys_mindorensis_FMNH2222010,tip,NA,Anonymomys_mindorensis_FMNH2222010,NA,NA,NA,210.382736522073,25.390060694312147,1697.7568126435797,50.161560946355195,19.281978222404828,10431,0,1363,1297,3315,0.020168990175637332,0.002434096509856404,0.1627606952970549,0.00480889281433757,0.0018485263371109987,3845228.761969775,8524177.52096844,70327.08154419815,26464.211546619103,10431,0,1363,368.63471977468845,817.1965795195514,6.742122667452608,2.53707329562066,0.018289440212179226,0.0031046058674306536,0.16974854513935575
27,Niviventer_lepturus_JAE4746,tip,NA,Niviventer_lepturus_JAE4746,NA,NA,NA,166.6366592809018,18.484079068390646,1205.2593844129024,39.65702122589136,14.057237414523293,9139,0,2655,1340,3303,0.018233576899102943,0.002022549411138051,0.13188088241743104,0.004339317346087249,0.001538159253148407,3316572.4152887436,7345848.189177974,54614.45687707886,20706.15397930614,9139,0,2655,362.90320771296024,803.7912451228772,5.975977336369281,2.265691430058665,0.016467138370118803,0.0028187560436942856,0.17117461336264642
28,Niviventer_rapit_LSUMZ38196,tip,NA,Niviventer_rapit_LSUMZ38196,NA,NA,NA,39.29694757540332,5.740193391678654,453.6594298886217,9.305720338315792,4.374338553469865,9454,0,2340,7372,1157,0.0041566477232286144,0.0006071708685930457,0.047985977352297614,0.0009843156693797115,0.0004626971179891967,1225105.9558243118,2734251.571189372,13399.104166666666,7054.344551282052,9454,0,2340,129.5859906731872,289.2163709741244,1.4172947077074958,0.7461756453651419,0.01093709821829336,0.0025799910387227032,0.23589356036022585
29,Niviventer_bukit_LSUMZ38136,tip,NA,Niviventer_bukit_LSUMZ38136,NA,NA,NA,50.03096025629203,6.933723624636431,455.7930237768202,11.881099337260736,5.278651561838097,10070,0,1724,7548,1336,0.004968317801022049,0.0006885524949986526,0.045262465121829215,0.0011798509768878584,0.0005241957856840215,1348375.9164853054,3009935.4002712844,17004.629731379733,7805.416971916973,10070,0,1724,133.90028962118225,298.9012314072775,1.688642475807322,0.7751158859897689,0.012611193602229434,0.0025932174395548397,0.20562823166051508
30,Berylmys_bowersi_ABTC116431,tip,NA,Berylmys_bowersi_ABTC116431,NA,NA,NA,132.89784595188576,14.985975216427336,738.4386003185384,31.538583790200654,11.398144110085697,9837,0,1957,5171,1771,0.013509997555340629,0.001523429421208431,0.07506745962372048,0.0032061181041171754,0.0011587012412407947,2107884.3615371315,4685841.849718378,44434.975606684995,17617.859741300388,9837,0,1957,214.2812200403712,476.34866826454993,4.517126726307309,1.7909789307004562,0.021080366844356536,0.0037598067340576663,0.178355849393779
31,Berylmys_mackenziei_ABTC116402,tip,NA,Berylmys_mackenziei_ABTC116402,NA,NA,NA,49.4658386054173,9.144273600226725,469.87363584363885,11.828447564508412,6.94640139278722,6779,0,5015,4809,804,0.0072969226442568666,0.0013489118749412487,0.06931311931607005,0.0017448661402136617,0.0010246941131121434,1115554.0053175704,2478181.2872215505,18851.307577838834,11212.782165750914,6779,0,5015,164.5602604097316,365.5673826849905,2.7808389995336826,1.654046638995562,0.01689860597333639,0.0045246012564005315,0.26774997082834595
32,Nesokia_indica_ABTC117074,tip,NA,Nesokia_indica_ABTC117074,NA,NA,NA,79.81682749324419,11.267796103041803,993.0729629877711,18.979754346911356,8.57768614289063,8168,0,3626,2608,2701,0.009771893669594049,0.0013795049097749515,0.12158092103180351,0.0023236721776336137,0.0010501574611766198,2711459.5765545284,5997073.33867846,28400.074603174617,15167.401587301587,8168,0,3626,331.9612605967836,734.2156389175391,3.4769924832486065,1.8569296752328093,0.010474091094237446,0.002529133917619213,0.24146571715522624
33,Bandicota_indica_ABTC119185,tip,NA,Bandicota_indica_ABTC119185,NA,NA,NA,95.96853846167384,13.183618291133286,1244.6824225935677,22.855845092313217,10.031862385399501,8792,0,3002,2495,2919,0.010915438860517953,0.001499501625470119,0.1415698842804331,0.002599618413593405,0.0011410216543902981,3028937.2227352667,6699488.822881972,33150.23101106268,16014.32715490926,8792,0,3002,344.51060313185474,761.9982737581861,3.770499432559449,1.8214657819505529,0.010944509104459592,0.0023903804571197493,0.2184091067314964
34,Rattus_exulans_sample1,tip,NA,Rattus_exulans_sample1,NA,NA,NA,133.00742046088754,15.308412343791709,1189.7269834850226,31.63988000888976,11.658348111128364,9326,0,2468,1926,3276,0.014262000907236495,0.0016414767685815686,0.12757098257398913,0.0033926527995807166,0.0012500909405027197,3307241.826864746,7316968.097518486,49313.64709249085,18451.523603479858,9326,0,2468,354.62597328594745,784.5773212007813,5.287759713970711,1.9785034959768237,0.014910807758875022,0.0025217444380736882,0.1691219200765785
35,rnor6,tip,NA,rnor6,NA,NA,NA,141.13313796422227,14.681221265671924,1065.0635593853742,33.658000110436944,11.145777359562697,9105,0,2689,1513,3481,0.015500619216279217,0.001612435064873358,0.11697567922958531,0.00369665020433135,0.0012241380955038657,3386417.1242936985,7508537.288697748,44280.40331196581,14933.199252136757,9105,0,2689,371.9293931129817,824.6608773967873,4.86330623964479,1.6401097476262227,0.013075885718361211,0.0019888293389199794,0.15209901506918627
36,Rattus_argentiventer_LSUMZ38199,tip,NA,Rattus_argentiventer_LSUMZ38199,NA,NA,NA,73.3545616726205,9.943287999917406,981.426700905722,17.446255673570484,7.571997092357022,9760,0,2034,3672,3353,0.007515836236948822,0.0010187795081882587,0.10055601443706168,0.0017875261960625497,0.000775819374216908,3090001.033059197,6847307.144173552,36350.287706043964,14038.58628663004,9760,0,2034,316.5984665019669,701.5683549358148,3.7244147239799146,1.438379742482586,0.011763843221131888,0.002050234638382714,0.1742827237530496
37,Rattus_hoffmanni_LSUMZ39187,tip,NA,Rattus_hoffmanni_LSUMZ39187,NA,NA,NA,87.8553954620979,9.706368348070585,968.1946389973884,20.92848075779606,7.38854238280958,10470,0,1324,3354,4110,0.00839115524948404,0.0009270647896915554,0.09247322244483175,0.001998899785844896,0.000705686951557744,3398310.3179753395,7540777.752996967,40896.781250000015,14084.148237179483,10470,0,1324,324.5759616022292,720.227101527886,3.9060918099331436,1.3451908535988044,0.012034445775501067,0.0018677315123870285,0.15519879745432344
38,Kadarsanomys_sodyi_MZB-Sample,tip,NA,Kadarsanomys_sodyi_MZB-Sample,NA,NA,NA,128.58270508587532,16.442349640566547,1211.0456332387496,30.638632339625193,12.507451578128451,0,0,11794,1570,2753,0.015473249709491614,0.0019786220987444703,0.14573352987229238,0.003686959366982574,0.0015051084931562517,0,0,0,0,0,0,11794,0,0,0,0,0,0,0
39,Tarsomys_apoensis_KU167148,tip,NA,Tarsomys_apoensis_KU167148,NA,NA,NA,88.25728443883249,12.304608082967308,1181.8765636553414,21.035440026683,9.358445956901154,9885,0,1909,3064,3397,0.008928405102562719,0.0012447757291823276,0.11956262657110181,0.0021280161888399592,0.0009467320138493833,3354791.8191809608,7434516.441210476,30679.88034188033,13950.292735042727,9885,0,1909,339.38207578967734,752.1008033596839,3.1036803583085817,1.4112587491191428,0.009145092153399408,0.0018764223396849954,0.20518353541002785
40,Limnomys_sibuanus_FMNH147948,tip,NA,Limnomys_sibuanus_FMNH147948,NA,NA,NA,93.94429512222617,13.557277095220647,1334.7617763523415,22.31220706849075,10.314266909487047,10239,0,1555,3024,3377,0.009175143580645197,0.0013240821462272337,0.13036056024536982,0.002179139278102427,0.0010073510020008837,3488746.4929627366,7735056.420360858,32862.751900183146,14949.522641941392,10239,0,1555,340.73117423212585,755.4503780018417,3.2095665494856087,1.4600569041841382,0.009419644553271975,0.0019326972977973397,0.20517730651800495
41,Rattus_xanthurus_LSUMZ39196,tip,NA,Rattus_xanthurus_LSUMZ39196,NA,NA,NA,53.01558208912059,8.03930893911373,1025.031106877305,12.609200636942399,6.124796756044213,10397,0,1397,4502,3335,0.00509912302482645,0.0007732335230464296,0.09858912252354575,0.0012127729765261516,0.0005890926955895175,3171315.8892495036,7035797.460612696,22560.36923840049,10219.190285409033,10397,0,1397,305.0222072953259,676.7141926144749,2.1698922033664028,0.9828979787832098,0.007113882699253726,0.001452456575479522,0.20417212890393743
42,Rattus_morotaiensis_ASAM29,tip,NA,Rattus_morotaiensis_ASAM29,NA,NA,NA,58.730243375466,7.9203294251999345,940.8927702680539,13.998371471283434,6.020045929435431,10629,0,1165,4412,3618,0.005525472139944115,0.0007451622377646001,0.08852128801091862,0.0013169979745303823,0.0005663793329038886,3282638.2842786256,7282711.684278815,21606.910714285714,9352.672619047617,10629,0,1165,308.8379230669513,685.1737401711182,2.0328262973267206,0.8799202765121475,0.006582178370905684,0.0012842294222957123,0.19510705270039758
43,Rattus_leucopus_sample1,tip,NA,Rattus_leucopus_sample1,NA,NA,NA,35.379543150854246,6.126296859102168,564.0109794247795,8.422761353149438,4.665745237017884,5268,0,6526,2387,1583,0.0067159345388865315,0.0011629265108394396,0.1070635875901252,0.0015988537116836442,0.0008856767724027874,1434983.4852326945,3156143.037895895,11327.838735474292,7289.893581059744,5268,0,6526,272.3962576371857,599.1159904889702,2.150311073552447,1.3838066782573546,0.00789405512470925,0.0023097475284008977,0.29259328594895884
44,Rattus_praetor_sample1,tip,NA,Rattus_praetor_sample1,NA,NA,NA,39.47089949014612,5.363398115236337,417.12249424655477,9.053125000838993,4.089470703755909,4153,0,7641,2384,928,0.009504189619587315,0.0012914515086049452,0.10043883800783886,0.002179900072438958,0.0009847027940659545,928648.22209828,2068995.434524818,12351.903869179188,6846.771639220452,4153,0,7641,223.6090108592054,498.1929772513407,2.9742123450949167,1.6486327086974362,0.013300950322469871,0.003309225107494225,0.24879614067152842
45,Rattus_lutreolus_sample2,tip,NA,Rattus_lutreolus_sample2,NA,NA,NA,37.40978879754022,6.510315603401466,505.5148358546535,8.887893089811122,4.952068300403848,5971,0,5823,3057,1636,0.006265246825915295,0.001090322492614548,0.0846616707175772,0.0014885099798712313,0.0008293532574784539,1600179.9803797877,3539710.95880421,14664.98882152331,9019.431558671213,5971,0,5823,267.99195785961945,592.8171091616497,2.4560356425260945,1.5105395341938055,0.009164587109784184,0.002548070072285837,0.27803435569568624
46,Rattus_tunneyi_RAT130,tip,NA,Rattus_tunneyi_RAT130,NA,NA,NA,2291.867484297484,7.719199575897394,721.6396128862368,584.6473175268428,5.87167897132458,7763,0,4031,3738,2239,0.29522961281688576,0.0009943577967148518,0.0929588577722835,0.07531203368888868,0.0007563672512333608,2268599.962171981,5020175.76962681,23556.87488553115,12226.851854395612,7763,0,4031,292.23237951461823,646.6798621186152,3.0345066192877947,1.5750163408985718,0.01038388225263724,0.0024355425816703093,0.23455028884324491
47,Rattus_colletti_RAT25,tip,NA,Rattus_colletti_RAT25,NA,NA,NA,37.16773990469477,5.562450437330416,581.0133634075441,8.815262991921582,4.237910862915211,9736,0,2058,5833,2360,0.003817557508699134,0.0005713281057241594,0.05967680396544209,0.000905429641733934,0.0004352825454925237,2260480.955517552,5028096.299217097,22503.678342490846,9909.195650183148,9736,0,2058,232.17758376310104,516.4437447840075,2.3113884903955264,1.0177891998955575,0.009955261196765307,0.001970764890029267,0.19796214796148331
48,Rattus_villosissimus_sample1,tip,NA,Rattus_villosissimus_sample1,NA,NA,NA,21.610179502975004,4.635039491633449,332.0986478064617,5.1318033877894536,3.533455048455777,5659,0,6135,3933,1069,0.003818727602575544,0.0008190562805501766,0.05868504113915209,0.0009068392627300677,0.0006243956615048201,983925.1237358683,2180640.9631004143,9326.642062176328,6152.976619142348,5659,0,6135,173.86908000280408,385.3403362962386,1.6481078038834296,1.0872904433897064,0.009479016072649891,0.0028216367220737274,0.297671899746545
49,Sundamys_annandalei_YS118,tip,NA,Sundamys_annandalei_YS118,NA,NA,NA,119.6778846436978,13.620878514914015,1156.0124436172455,28.508003308894924,10.36107766509278,10115,0,1679,2391,3697,0.011831723642481246,0.0013466019293044008,0.11428694449997484,0.0028183888590108674,0.0010243279945717034,3533185.2090011355,7832510.721169724,46192.875389194145,17414.569848901105,10115,0,1679,349.3015530401518,774.3460920583019,4.566769687513015,1.7216579188236387,0.01307400338694764,0.002223370062147885,0.170060385969272
50,Sundamys_muelleri_JAE1283,tip,NA,Sundamys_muelleri_JAE1283,NA,NA,NA,91.94282422150307,11.944628275150079,959.097666285868,21.85300310727943,9.093762445784922,7826,0,3968,2023,2679,0.011748380299195383,0.0015262750159915767,0.12255273016686276,0.0027923592010323833,0.0011619936680021623,2590374.6541141146,5745112.681708583,33625.190254884,15124.105715811964,7826,0,3968,330.9959946478552,734.1058882837443,4.296599828122157,1.9325460919769952,0.012980821211124581,0.0026325168110217277,0.2028004829745022
51,Bullimus_bagobus_JAE1712,tip,NA,Bullimus_bagobus_JAE1712,NA,NA,NA,140.41391622375633,20.368084707166602,1504.0792698849316,33.40644402328531,15.479392132551071,9049,0,2745,1700,2637,0.015517064451735698,0.0022508658091685936,0.16621497070227997,0.0036917277072920003,0.0017106190885789669,3187845.7990454766,7068961.809219364,49889.45030946067,22516.134855374512,9049,0,2745,352.28708133997975,781.1870714133456,5.513255642552842,2.488245646521661,0.01564989445988851,0.003185210991804891,0.20352923145703966
52,Papagomys_armandvillei_WAMM32592,tip,NA,Papagomys_armandvillei_WAMM32592,NA,NA,NA,121.29049168705762,19.072046578444976,1718.660023378312,28.941583212639095,14.497452779373184,10296,0,1498,2218,3127,0.011780350785456258,0.0018523743763058445,0.16692502169564025,0.0028109540804816526,0.0014080665092631296,3661398.7451331564,8115239.408875951,43189.72035256411,20511.452724358973,10296,0,1498,355.61370873476653,788.1934157804925,4.194805784048573,1.9921768380302032,0.011795961969444933,0.002527522811209341,0.2142701729419254
53,Halmaheramys_bokimekot_33262-WD225,tip,NA,Halmaheramys_bokimekot_33262-WD225,NA,NA,NA,98.23229503890147,15.565100882155114,1504.4499391527622,23.405355562679063,11.82891930944434,0,0,11794,2516,3079,0.010060661105991547,0.001594131593829897,0.15408131289970936,0.0023971072882711044,0.0012114829280463273,0,0,0,0,0,0,11794,0,0,0,0,0,0,0
