# CDS alignment filter
# PYTHON VERSION: 3.9.12
# Script call:    06_aln_filter.py -i ../../04-Phylo/morphometrics-coding-bonsai/morpho-coding-nt-aln/ -f 175 -o ../../04-Phylo/morphometrics-coding-bonsai/morpho-coding-nt-aln-stats/ --count
# Runtime:        08/27/2022 19:56:07
# ----------------
# IO OPTIONS
# Input CDS directory:    /mnt/beegfs/gt156213e/murinae-seq/04-Phylo/morphometrics-coding-bonsai/morpho-coding-nt-aln
# Sequence gappiness threshold:20
# Codon site gappiness threshold:50
# Output directory:       /mnt/beegfs/gt156213e/murinae-seq/04-Phylo/morphometrics-coding-bonsai/morpho-coding-nt-aln-stats-f175-seq20-site50
# --count set:            Will not output sequences.
# Log file:               /mnt/beegfs/gt156213e/murinae-seq/04-Phylo/morphometrics-coding-bonsai/morpho-coding-nt-aln-stats-f175-seq20-site50/aln-stats-f175-seq20-site50.tab
# ----------------
# 08.27.2022 | 19:56:07 Beginning filter.
align	pre num seqs	pre codon aln length	pre avg nongap length	pre uniq seqs	pre ident seqs	pre gappy seqs	pre invariant sites	pre variant sites	pre informative sites	pre stop codons	pre percent sites with gap	pre gappy sites
ENSMUSP00000027040-mafft-cds.filter.fa	136	1458	1418.2573529411766	136	0	0	47947	150341	NA	0	602	593
ENSMUSP00000027049-mafft-cds.filter.fa	130	273	246.90769230769232	130	0	0	7121	28369	NA	0	146	144
ENSMUSP00000027050-mafft-cds.filter.fa	73	203	198.3972602739726	71	1	0	4874	9945	NA	0	82	82
ENSMUSP00000027053-mafft-cds.filter.fa	108	202	189.65740740740742	108	0	0	8734	13082	NA	0	37	37
ENSMUSP00000027056-mafft-cds.filter.fa	142	953	892.6901408450705	142	0	0	14268	121058	NA	0	827	826
ENSMUSP00000027061-mafft-cds.filter.fa	125	78	77.768	110	6	0	2723	7027	NA	0	8	8
ENSMUSP00000027071-mafft-cds.filter.fa	115	203	202.6782608695652	115	0	0	5701	17644	NA	0	4	4
ENSMUSP00000027083-mafft-cds.filter.fa	133	454	434.62406015037595	133	0	0	7856	52526	NA	0	310	305
ENSMUSP00000027089-mafft-cds.filter.fa	93	171	169.36559139784947	93	0	0	5825	10078	NA	0	15	14
ENSMUSP00000027103-mafft-cds.filter.fa	102	513	497.5	102	0	0	11352	40974	NA	0	231	227
ENSMUSP00000027111-mafft-cds.filter.fa	152	469	457.25	152	0	0	14108	57180	NA	0	313	313
ENSMUSP00000027114-mafft-cds.filter.fa	72	269	258.90277777777777	72	0	0	5465	13903	NA	0	58	53
ENSMUSP00000027121-mafft-cds.filter.fa	125	276	246.816	125	0	0	5080	29420	NA	0	140	137
ENSMUSP00000027123-mafft-cds.filter.fa	119	579	558.344537815126	119	0	0	7669	61232	NA	0	205	193
ENSMUSP00000027125-mafft-cds.filter.fa	133	96	93.70676691729324	122	5	0	1440	11328	NA	0	13	11
ENSMUSP00000027127-mafft-cds.filter.fa	159	1148	1111.553459119497	159	0	0	39061	143471	NA	0	755	747
ENSMUSP00000027128-mafft-cds.filter.fa	146	564	540.9520547945206	146	0	0	9435	72909	NA	0	411	411
ENSMUSP00000027131-mafft-cds.filter.fa	161	720	691.2484472049689	161	0	0	14395	101525	NA	0	314	312
ENSMUSP00000027139-mafft-cds.filter.fa	118	579	542.5084745762712	118	0	0	11328	56994	NA	0	184	176
ENSMUSP00000027144-mafft-cds.filter.fa	136	1030	954.4558823529412	136	0	0	20869	119211	NA	0	798	798
ENSMUSP00000027146-mafft-cds.filter.fa	152	271	256.3881578947368	148	2	0	13008	28184	NA	0	103	101
ENSMUSP00000027149-mafft-cds.filter.fa	127	84	83.85039370078741	108	6	0	3546	7122	NA	0	2	2
ENSMUSP00000027151-mafft-cds.filter.fa	60	177	150.41666666666666	56	1	0	4682	5938	NA	0	38	31
ENSMUSP00000027153-mafft-cds.filter.fa	130	136	135.5	126	2	0	4477	13203	NA	0	5	5
ENSMUSP00000027164-mafft-cds.filter.fa	156	185	175.73076923076923	150	3	0	2975	25885	NA	0	111	111
ENSMUSP00000027165-mafft-cds.filter.fa	151	156	154.79470198675497	140	4	0	7037	16519	NA	0	16	15
ENSMUSP00000027198-mafft-cds.filter.fa	143	207	204.95104895104896	137	2	0	8360	21241	NA	0	46	46
ENSMUSP00000027178-mafft-cds.filter.fa	157	925	893.5605095541401	157	0	0	24504	120721	NA	0	609	608
ENSMUSP00000027215-mafft-cds.filter.fa	157	202	198.77070063694268	131	11	0	11169	20545	NA	0	15	12
ENSMUSP00000027217-mafft-cds.filter.fa	150	52	51.94	104	14	0	2059	5741	NA	0	1	1
ENSMUSP00000027226-mafft-cds.filter.fa	140	221	210.12857142857143	138	1	0	4601	26339	NA	0	136	136
ENSMUSP00000027231-mafft-cds.filter.fa	160	485	458.1375	160	0	0	10400	67200	NA	0	431	430
ENSMUSP00000027233-mafft-cds.filter.fa	147	574	543.6666666666666	147	0	0	11006	73372	NA	0	311	309
ENSMUSP00000027237-mafft-cds.filter.fa	136	215	212.69117647058823	136	0	0	5269	23971	NA	0	34	33
ENSMUSP00000027241-mafft-cds.filter.fa	138	192	188.69565217391303	136	1	0	3809	22687	NA	0	65	64
ENSMUSP00000027243-mafft-cds.filter.fa	151	54	53.688741721854306	122	9	0	934	7220	NA	0	3	3
ENSMUSP00000027247-mafft-cds.filter.fa	147	146	142.51020408163265	145	1	0	3223	18239	NA	0	29	28
ENSMUSP00000027249-mafft-cds.filter.fa	151	34	33.0	59	18	0	1892	3242	NA	0	1	0
ENSMUSP00000027251-mafft-cds.filter.fa	144	895	848.9375	144	0	0	22263	106617	NA	0	552	542
ENSMUSP00000027263-mafft-cds.filter.fa	73	352	347.7945205479452	73	0	0	9097	16599	NA	0	61	60
ENSMUSP00000027265-mafft-cds.filter.fa	154	411	397.59090909090907	154	0	0	10079	53215	NA	0	163	163
ENSMUSP00000027267-mafft-cds.filter.fa	147	696	672.7687074829932	147	0	0	15863	86449	NA	0	316	308
ENSMUSP00000027271-mafft-cds.filter.fa	159	145	141.52830188679246	138	8	0	6214	16841	NA	0	21	21
ENSMUSP00000027269-mafft-cds.filter.fa	93	247	246.19354838709677	91	1	0	11398	11573	NA	0	25	25
ENSMUSP00000027287-mafft-cds.filter.fa	143	632	605.7832167832167	143	0	0	11886	78490	NA	0	547	547
ENSMUSP00000027291-mafft-cds.filter.fa	134	470	445.3731343283582	134	0	0	7068	55912	NA	0	287	286
ENSMUSP00000027297-mafft-cds.filter.fa	152	50	49.99342105263158	97	20	0	2903	4697	NA	0	0	0
ENSMUSP00000027303-mafft-cds.filter.fa	163	249	247.76073619631902	159	2	0	8739	31848	NA	0	66	66
ENSMUSP00000027302-mafft-cds.filter.fa	158	190	184.09493670886076	154	2	0	5971	24049	NA	0	86	84
ENSMUSP00000027312-mafft-cds.filter.fa	137	116	114.99270072992701	116	6	0	3839	12053	NA	0	23	23
ENSMUSP00000027322-mafft-cds.filter.fa	138	192	190.34782608695653	138	0	0	5975	20521	NA	0	29	28
ENSMUSP00000027331-mafft-cds.filter.fa	86	151	150.19767441860466	84	1	0	4360	8626	NA	0	11	11
ENSMUSP00000027339-mafft-cds.filter.fa	109	72	71.60550458715596	40	10	0	3951	3897	NA	0	13	13
ENSMUSP00000027356-mafft-cds.filter.fa	137	279	277.2919708029197	135	1	0	7932	30291	NA	0	45	45
ENSMUSP00000027366-mafft-cds.filter.fa	142	583	550.0774647887324	142	0	1	8675	74111	NA	0	456	454
ENSMUSP00000027367-mafft-cds.filter.fa	112	223	211.10714285714286	112	0	0	6692	18284	NA	0	83	81
ENSMUSP00000027368-mafft-cds.filter.fa	115	409	371.295652173913	115	0	0	8163	38872	NA	0	282	281
ENSMUSP00000027379-mafft-cds.filter.fa	140	272	260.2142857142857	140	0	0	6027	32053	NA	0	226	224
ENSMUSP00000027384-mafft-cds.filter.fa	114	519	488.640350877193	114	0	0	8442	50724	NA	0	321	312
ENSMUSP00000027393-mafft-cds.filter.fa	147	403	388.734693877551	147	0	0	8870	50371	NA	0	229	222
ENSMUSP00000027396-mafft-cds.filter.fa	119	487	472.38655462184875	119	0	0	15037	42916	NA	0	197	197
ENSMUSP00000027401-mafft-cds.filter.fa	150	229	216.64	142	4	0	11350	23000	NA	0	113	113
ENSMUSP00000027404-mafft-cds.filter.fa	146	689	655.1575342465753	146	0	0	17950	82644	NA	0	429	425
ENSMUSP00000027405-mafft-cds.filter.fa	139	467	456.35971223021585	139	0	0	11964	52949	NA	0	267	263
ENSMUSP00000027409-mafft-cds.filter.fa	148	227	218.27027027027026	148	0	0	9527	24069	NA	0	80	80
ENSMUSP00000027422-mafft-cds.filter.fa	148	411	408.4527027027027	148	0	0	13867	46961	NA	0	95	95
ENSMUSP00000027414-mafft-cds.filter.fa	149	964	925.6040268456376	149	0	0	17303	126333	NA	0	622	617
ENSMUSP00000027425-mafft-cds.filter.fa	117	129	128.64957264957266	110	2	0	6049	9044	NA	0	0	0
ENSMUSP00000027431-mafft-cds.filter.fa	85	478	468.1058823529412	85	0	0	10209	30421	NA	0	116	113
ENSMUSP00000027438-mafft-cds.filter.fa	147	646	616.3197278911565	147	0	0	14864	80098	NA	0	311	291
ENSMUSP00000027429-mafft-cds.filter.fa	148	81	80.1891891891892	132	7	0	1352	10636	NA	0	34	34
ENSMUSP00000027444-mafft-cds.filter.fa	149	55	54.993288590604024	75	10	0	4270	3925	NA	0	0	0
ENSMUSP00000027449-mafft-cds.filter.fa	150	97	95.51333333333334	106	11	0	5380	9170	NA	0	12	11
ENSMUSP00000027432-mafft-cds.filter.fa	153	657	635.3006535947712	153	0	0	21272	79249	NA	0	306	301
ENSMUSP00000027455-mafft-cds.filter.fa	137	367	349.007299270073	137	0	0	6844	43435	NA	0	198	198
ENSMUSP00000027463-mafft-cds.filter.fa	139	383	373.0791366906475	135	2	0	12624	40613	NA	0	200	200
ENSMUSP00000027464-mafft-cds.filter.fa	64	275	273.578125	64	0	0	6253	11347	NA	0	3	2
ENSMUSP00000027467-mafft-cds.filter.fa	153	255	252.73856209150327	151	1	0	10120	28895	NA	0	33	33
ENSMUSP00000027487-mafft-cds.filter.fa	143	399	385.7692307692308	143	0	0	13019	44038	NA	0	266	266
ENSMUSP00000027488-mafft-cds.filter.fa	123	561	526.8211382113822	123	0	0	15904	53099	NA	0	232	229
ENSMUSP00000027491-mafft-cds.filter.fa	96	165	160.73958333333334	94	1	0	3825	12015	NA	0	47	46
ENSMUSP00000027493-mafft-cds.filter.fa	117	1068	998.2478632478633	117	0	0	21130	103826	NA	0	613	607
ENSMUSP00000027498-mafft-cds.filter.fa	146	337	317.4178082191781	146	0	0	14771	34431	NA	0	174	174
ENSMUSP00000027502-mafft-cds.filter.fa	132	356	340.54545454545456	132	0	0	7969	39023	NA	0	272	270
ENSMUSP00000027532-mafft-cds.filter.fa	150	166	164.60666666666665	146	1	0	5306	19594	NA	0	4	3
ENSMUSP00000027503-mafft-cds.filter.fa	154	30	29.974025974025974	37	17	0	2130	2490	NA	0	0	0
ENSMUSP00000027559-mafft-cds.filter.fa	129	287	275.38759689922483	129	0	0	4999	32024	NA	0	140	138
ENSMUSP00000027505-mafft-cds.filter.fa	148	211	201.04054054054055	142	3	0	5996	25232	NA	0	86	85
ENSMUSP00000027517-mafft-cds.filter.fa	140	619	574.6071428571429	140	0	0	16826	69834	NA	0	344	342
ENSMUSP00000027521-mafft-cds.filter.fa	155	707	689.0774193548388	155	0	0	17075	92510	NA	0	441	440
ENSMUSP00000027528-mafft-cds.filter.fa	130	251	243.1076923076923	130	0	0	5112	27518	NA	0	128	128
ENSMUSP00000027529-mafft-cds.filter.fa	147	31	30.98639455782313	79	15	0	1043	3514	NA	0	1	1
ENSMUSP00000027533-mafft-cds.filter.fa	110	337	323.40909090909093	110	0	0	9053	28017	NA	0	117	116
ENSMUSP00000027564-mafft-cds.filter.fa	150	315	308.16	150	0	0	8081	39169	NA	0	79	78
ENSMUSP00000027580-mafft-cds.filter.fa	156	325	317.65384615384613	154	1	0	13047	37653	NA	0	199	199
ENSMUSP00000027566-mafft-cds.filter.fa	143	224	218.41958041958043	143	0	0	6310	25722	NA	0	86	86
ENSMUSP00000027592-mafft-cds.filter.fa	139	140	137.83453237410072	119	7	0	6932	12528	NA	0	3	1
ENSMUSP00000027601-mafft-cds.filter.fa	153	306	297.16993464052285	151	1	0	9955	36863	NA	0	140	140
ENSMUSP00000027602-mafft-cds.filter.fa	146	263	259.0821917808219	142	2	0	14125	24273	NA	0	27	26
ENSMUSP00000027603-mafft-cds.filter.fa	47	94	93.2127659574468	45	1	0	1754	2664	NA	0	4	4
ENSMUSP00000027615-mafft-cds.filter.fa	143	497	485.42657342657344	143	0	0	12609	58462	NA	0	329	328
ENSMUSP00000027623-mafft-cds.filter.fa	156	57	57.0	61	16	0	4413	4479	NA	0	0	0
ENSMUSP00000027629-mafft-cds.filter.fa	79	321	301.1012658227848	79	0	0	4414	20945	NA	0	254	254
ENSMUSP00000027643-mafft-cds.filter.fa	143	27	27.0	51	17	0	1081	2780	NA	0	0	0
ENSMUSP00000027655-mafft-cds.filter.fa	123	385	375.9918699186992	123	0	0	11862	35493	NA	0	113	109
ENSMUSP00000027667-mafft-cds.filter.fa	160	493	478.825	160	0	0	14703	64177	NA	0	271	270
ENSMUSP00000027682-mafft-cds.filter.fa	72	484	468.7361111111111	72	0	0	10085	24763	NA	0	185	182
ENSMUSP00000027684-mafft-cds.filter.fa	90	125	124.94444444444444	73	7	0	5645	5605	NA	0	0	0
ENSMUSP00000027687-mafft-cds.filter.fa	112	145	143.35714285714286	110	1	0	4707	11533	NA	0	16	15
ENSMUSP00000027688-mafft-cds.filter.fa	124	228	220.63709677419354	122	1	0	6796	21476	NA	0	79	78
ENSMUSP00000027693-mafft-cds.filter.fa	99	180	177.15151515151516	99	0	0	5641	12179	NA	0	27	25
ENSMUSP00000027697-mafft-cds.filter.fa	88	368	351.57954545454544	88	0	0	7013	25371	NA	0	214	213
ENSMUSP00000027696-mafft-cds.filter.fa	153	360	352.0	153	0	0	8816	46264	NA	0	114	111
ENSMUSP00000027706-mafft-cds.filter.fa	120	732	718.1416666666667	120	0	0	25266	62574	NA	0	188	185
ENSMUSP00000027726-mafft-cds.filter.fa	142	296	283.8943661971831	142	0	0	5944	36088	NA	0	247	247
ENSMUSP00000027727-mafft-cds.filter.fa	98	244	227.9795918367347	93	2	0	2936	20976	NA	0	138	138
ENSMUSP00000027740-mafft-cds.filter.fa	109	176	165.92660550458714	107	1	0	4629	14555	NA	0	87	86
ENSMUSP00000027741-mafft-cds.filter.fa	151	445	429.72847682119203	149	1	0	9343	57852	NA	0	263	261
ENSMUSP00000027743-mafft-cds.filter.fa	133	118	118.0	96	12	0	7457	8237	NA	0	0	0
ENSMUSP00000027748-mafft-cds.filter.fa	131	111	102.80916030534351	115	7	0	3037	11504	NA	0	22	22
ENSMUSP00000027752-mafft-cds.filter.fa	153	1088	1028.111111111111	153	0	0	20316	146148	NA	0	875	875
ENSMUSP00000027766-mafft-cds.filter.fa	145	466	437.4896551724138	145	0	0	12331	55239	NA	0	283	281
ENSMUSP00000027768-mafft-cds.filter.fa	161	930	900.8074534161491	161	0	0	20539	129191	NA	0	745	739
ENSMUSP00000027769-mafft-cds.filter.fa	75	272	249.65333333333334	75	0	0	5247	15153	NA	0	69	53
ENSMUSP00000027775-mafft-cds.filter.fa	149	51	50.993288590604024	115	15	0	1767	5832	NA	0	0	0
ENSMUSP00000027777-mafft-cds.filter.fa	153	573	545.5294117647059	153	0	0	11629	76040	NA	0	376	375
ENSMUSP00000027780-mafft-cds.filter.fa	138	198	197.79710144927537	130	3	0	11492	15832	NA	0	7	7
ENSMUSP00000027781-mafft-cds.filter.fa	144	104	101.91666666666667	124	10	0	4276	10700	NA	0	7	5
ENSMUSP00000027817-mafft-cds.filter.fa	138	726	687.9927536231884	138	0	0	14716	85472	NA	0	498	498
ENSMUSP00000027802-mafft-cds.filter.fa	148	242	235.98648648648648	148	0	0	4949	30867	NA	0	161	161
ENSMUSP00000027810-mafft-cds.filter.fa	137	226	225.54014598540147	137	0	0	6246	24716	NA	0	21	21
ENSMUSP00000027852-mafft-cds.filter.fa	155	992	953.5548387096774	155	0	0	18423	135337	NA	0	733	730
ENSMUSP00000027853-mafft-cds.filter.fa	58	83	71.8103448275862	44	4	0	2564	2250	NA	0	13	2
ENSMUSP00000027800-mafft-cds.filter.fa	113	481	437.1592920353982	113	0	0	8458	45895	NA	0	319	317
ENSMUSP00000027812-mafft-cds.filter.fa	122	269	261.95081967213116	120	1	0	9749	23069	NA	0	90	90
ENSMUSP00000027830-mafft-cds.filter.fa	164	90	89.97560975609755	155	4	0	1996	12764	NA	0	1	1
ENSMUSP00000027846-mafft-cds.filter.fa	149	253	243.88590604026845	145	2	0	4831	32866	NA	0	141	141
ENSMUSP00000027785-mafft-cds.filter.fa	120	218	206.14166666666668	120	0	0	7268	18892	NA	0	25	24
ENSMUSP00000027792-mafft-cds.filter.fa	154	39	38.993506493506494	64	17	0	1315	4691	NA	0	0	0
ENSMUSP00000027856-mafft-cds.filter.fa	130	642	600.3	130	0	0	22971	60489	NA	0	289	288
ENSMUSP00000027809-mafft-cds.filter.fa	137	275	270.2700729927007	137	0	0	7063	30612	NA	0	77	77
ENSMUSP00000027843-mafft-cds.filter.fa	84	473	421.2142857142857	84	0	0	8524	31208	NA	0	211	202
ENSMUSP00000027797-mafft-cds.filter.fa	151	471	454.17218543046357	151	0	0	11813	59308	NA	0	217	215
ENSMUSP00000027861-mafft-cds.filter.fa	80	143	141.7375	78	1	0	3956	7484	NA	0	2	2
ENSMUSP00000027863-mafft-cds.filter.fa	133	112	111.97744360902256	119	4	0	4846	10050	NA	0	1	1
ENSMUSP00000027867-mafft-cds.filter.fa	143	422	405.73426573426576	143	0	0	10194	50152	NA	0	192	186
ENSMUSP00000027866-mafft-cds.filter.fa	139	328	315.66187050359713	139	0	0	5960	39632	NA	0	162	158
ENSMUSP00000027876-mafft-cds.filter.fa	120	605	539.4916666666667	120	0	0	16246	56354	NA	0	237	236
ENSMUSP00000027885-mafft-cds.filter.fa	155	490	476.9290322580645	155	0	0	7275	68675	NA	0	253	251
ENSMUSP00000027888-mafft-cds.filter.fa	148	1116	1081.2972972972973	148	0	0	38720	126448	NA	0	532	529
ENSMUSP00000027897-mafft-cds.filter.fa	137	91	90.99270072992701	108	11	0	4693	7774	NA	0	0	0
ENSMUSP00000027896-mafft-cds.filter.fa	145	92	91.99310344827586	102	14	0	4716	8624	NA	0	0	0
ENSMUSP00000027916-mafft-cds.filter.fa	157	106	105.7515923566879	140	8	0	3172	13470	NA	0	11	11
ENSMUSP00000027921-mafft-cds.filter.fa	139	182	181.89208633093526	137	1	0	5577	19721	NA	0	4	4
ENSMUSP00000027929-mafft-cds.filter.fa	150	320	310.32	148	1	0	13018	34982	NA	0	126	126
ENSMUSP00000027931-mafft-cds.filter.fa	151	221	212.12582781456953	145	3	0	3414	29957	NA	0	98	98
ENSMUSP00000027940-mafft-cds.filter.fa	150	199	197.86666666666667	145	2	0	8213	21637	NA	0	35	35
ENSMUSP00000027947-mafft-cds.filter.fa	155	428	417.98709677419356	155	0	0	10895	55445	NA	0	187	186
ENSMUSP00000027952-mafft-cds.filter.fa	158	1737	1625.3227848101267	158	0	0	26703	247743	NA	0	1546	1546
ENSMUSP00000027974-mafft-cds.filter.fa	118	276	259.89830508474574	118	0	0	8901	23667	NA	0	88	87
ENSMUSP00000027989-mafft-cds.filter.fa	148	132	131.7027027027027	142	3	0	3366	16170	NA	0	1	1
ENSMUSP00000027991-mafft-cds.filter.fa	87	154	146.20689655172413	85	1	0	4040	9358	NA	0	34	34
ENSMUSP00000027997-mafft-cds.filter.fa	108	55	55.0	55	10	0	3047	2893	NA	0	0	0
ENSMUSP00000028004-mafft-cds.filter.fa	134	326	312.53731343283584	134	0	0	4862	38822	NA	0	226	225
ENSMUSP00000028005-mafft-cds.filter.fa	93	58	58.0	77	5	0	2128	3266	NA	0	0	0
ENSMUSP00000028010-mafft-cds.filter.fa	92	373	365.42391304347825	92	0	0	7770	26546	NA	0	103	101
ENSMUSP00000028020-mafft-cds.filter.fa	100	445	436.53	100	0	0	10734	33766	NA	0	102	102
ENSMUSP00000028024-mafft-cds.filter.fa	63	54	53.80952380952381	48	6	0	1088	2314	NA	0	3	3
ENSMUSP00000028049-mafft-cds.filter.fa	112	525	493.63392857142856	112	0	0	16390	42410	NA	0	272	271
ENSMUSP00000034868-mafft-cds.filter.fa	164	404	395.4573170731707	162	1	0	15972	50284	NA	0	128	125
ENSMUSP00000035065-mafft-cds.filter.fa	156	446	436.9871794871795	156	0	0	8234	61342	NA	0	308	308
ENSMUSP00000048519-mafft-cds.filter.fa	151	249	245.31788079470198	151	0	0	5346	32253	NA	0	44	42
ENSMUSP00000041851-mafft-cds.filter.fa	136	295	272.6470588235294	136	0	0	7484	32636	NA	0	122	122
ENSMUSP00000045291-mafft-cds.filter.fa	128	644	594.6328125	128	0	0	11039	71393	NA	0	502	502
