node,clade,node.type,branch.length,label,astral,gcf,scf,ES.sum,EN.sum,S.sum,N.sum,num.genes.full,num.genes.partial,num.genes.no.clade,avg.ES,avg.EN,avg.S,avg.N,avg.dS,avg.dN,avg.dNdS
62,Taeromys_celebensis_NMVZ20637,tip,NA,Taeromys_celebensis_NMVZ20637,NA,NA,NA,3318912.8311061277,7349343.914749599,30695.14014804639,15066.812232905977,9678,0,2116,342.9337498559752,759.3866413256457,3.1716408501804496,1.5568105221022914,0.009248552676755993,0.002050089423991709,0.22166597257364543
49,Sundamys_annandalei_YS118,tip,NA,Sundamys_annandalei_YS118,NA,NA,NA,3533185.2090011355,7832510.721169724,46192.875389194145,17414.569848901105,10115,0,1679,349.3015530401518,774.3460920583019,4.566769687513015,1.7216579188236387,0.01307400338694764,0.002223370062147885,0.170060385969272
54,Bunomys_andrewsi_sample1,tip,NA,Bunomys_andrewsi_sample1,NA,NA,NA,871490.2630748276,1941843.4328779741,23492.755998168497,10965.426836238472,4046,0,7748,215.39551731953227,479.9415306173935,5.8064152244608245,2.710189529470705,0.026956991940770964,0.005646916044094654,0.20947871544799496
40,Limnomys_sibuanus_FMNH147948,tip,NA,Limnomys_sibuanus_FMNH147948,NA,NA,NA,3488746.4929627366,7735056.420360858,32862.751900183146,14949.522641941392,10239,0,1555,340.73117423212585,755.4503780018417,3.2095665494856087,1.4600569041841382,0.009419644553271975,0.0019326972977973397,0.20517730651800495
39,Tarsomys_apoensis_KU167148,tip,NA,Tarsomys_apoensis_KU167148,NA,NA,NA,3354791.8191809608,7434516.441210476,30679.88034188033,13950.292735042727,9885,0,1909,339.38207578967734,752.1008033596839,3.1036803583085817,1.4112587491191428,0.009145092153399408,0.0018764223396849954,0.20518353541002785
22,Saxatilomys_paulinae_ABTC116266,tip,NA,Saxatilomys_paulinae_ABTC116266,NA,NA,NA,3803619.035845884,8426208.307993947,98055.12045940169,32704.42441239317,10188,0,1606,373.3430541662627,827.0718794654443,9.624570127542372,3.2100926985073786,0.02577942731259764,0.0038812741409877645,0.15055703503122822
9,Maxomys_surifer_JAE3632,tip,NA,Maxomys_surifer_JAE3632,NA,NA,NA,3250894.3598889397,7213043.765584193,90377.56806318685,31823.747138278362,8984,0,2810,361.85378004106633,802.8766435423189,10.05983616019444,3.542269271847547,0.02780083203511861,0.00441197200135121,0.15869927906394715
33,Bandicota_indica_ABTC119185,tip,NA,Bandicota_indica_ABTC119185,NA,NA,NA,3028937.2227352667,6699488.822881972,33150.23101106268,16014.32715490926,8792,0,3002,344.51060313185474,761.9982737581861,3.770499432559449,1.8214657819505529,0.010944509104459592,0.0023903804571197493,0.2184091067314964
55,Bunomys_torajae_NMVZ21736,tip,NA,Bunomys_torajae_NMVZ21736,NA,NA,NA,3012341.9606633964,6665546.693755964,24919.2130586607,12756.49265057261,9159,0,2635,328.8941981289875,727.7592197571748,2.7207351303265317,1.3927822524918234,0.0082723719232636,0.0019137954074378352,0.2313478437853902
46,Rattus_tunneyi_RAT130,tip,NA,Rattus_tunneyi_RAT130,NA,NA,NA,2268599.962171981,5020175.76962681,23556.87488553115,12226.851854395612,7763,0,4031,292.23237951461823,646.6798621186152,3.0345066192877947,1.5750163408985718,0.01038388225263724,0.0024355425816703093,0.23455028884324491
25,Leopoldomys_sabanus_Z25191,tip,NA,Leopoldomys_sabanus_Z25191,NA,NA,NA,3537385.8907959606,7839267.137583579,74266.14663461539,26744.64823717947,9729,0,2065,363.5919303932532,805.7628880238029,7.633482026376337,2.748961685392072,0.020994640937493106,0.003411626082871746,0.1624998537974099
23,Margaretamys_parvus_NMVZ21833,tip,NA,Margaretamys_parvus_NMVZ21833,NA,NA,NA,3721476.7619818826,8252737.500939737,42382.140376984134,15896.294604700855,10677,0,1117,348.5507878600621,772.9453499053795,3.969480226372964,1.488835309984158,0.011388527481873462,0.0019261844452087258,0.169133757483093
59,Taeromys_hamatus_NMVZ63317,tip,NA,Taeromys_hamatus_NMVZ63317,NA,NA,NA,2127597.6446493403,4685517.315204939,15707.726699270559,10181.155219385495,6902,0,4892,308.2581345478615,678.8637083750998,2.275822471641634,1.4751021760917842,0.0073828464412778695,0.0021728988571542997,0.29431722228509477
52,Papagomys_armandvillei_WAMM32592,tip,NA,Papagomys_armandvillei_WAMM32592,NA,NA,NA,3661398.7451331564,8115239.408875951,43189.72035256411,20511.452724358973,10296,0,1498,355.61370873476653,788.1934157804925,4.194805784048573,1.9921768380302032,0.011795961969444933,0.002527522811209341,0.2142701729419254
45,Rattus_lutreolus_sample2,tip,NA,Rattus_lutreolus_sample2,NA,NA,NA,1600179.9803797877,3539710.95880421,14664.98882152331,9019.431558671213,5971,0,5823,267.99195785961945,592.8171091616497,2.4560356425260945,1.5105395341938055,0.009164587109784184,0.002548070072285837,0.27803435569568624
64,Eropeplus_canus_NMVZ21733,tip,NA,Eropeplus_canus_NMVZ21733,NA,NA,NA,2856531.4127673996,6321590.162717548,21385.75331196582,11715.92361111112,9398,0,2396,303.95099093077243,672.6527093762022,2.2755643021883185,1.2466400948192298,0.007486615836388566,0.0018533190715537683,0.24755097791257608
65,Lenomys_meyeri_LSUMZ39079,tip,NA,Lenomys_meyeri_LSUMZ39079,NA,NA,NA,3390082.290194244,7509538.071641976,27966.99362395268,14230.370213359434,10029,0,1765,338.0279479703105,748.7823383828872,2.788612386474492,1.4189221471093263,0.008249650371274685,0.0018949727769670835,0.2297034045909856
66,Chiropodomys_gliroides_Z25153,tip,NA,Chiropodomys_gliroides_Z25153,NA,NA,NA,3268446.798279886,7247073.2158680055,164022.84885531134,53920.61891025639,8866,0,2928,368.6495373652026,817.400543183849,18.500208533195504,6.081730082365936,0.05018372914671062,0.00744033036566999,0.14826180700757427
68,Apomys_lubangensis_JAE169,tip,NA,Apomys_lubangensis_JAE169,NA,NA,NA,3267419.3289363715,7239977.722698321,104423.21441702453,40866.19986868975,8985,0,2809,363.65267990388105,805.7849440955282,11.621949295161327,4.548269323170812,0.03195892657310592,0.005644520112343525,0.17661795052570703
67,Haeromys_minahassae_JAE4996,tip,NA,Haeromys_minahassae_JAE4996,NA,NA,NA,3063507.5803748933,6793437.394573235,115001.48012820513,42790.74025198939,8374,0,3420,365.8356317619887,811.2535699275418,13.733159795582175,5.109952263194338,0.03753915311485273,0.006298834855852456,0.16779373888859153
69,Archboldomys_luzonensis_EAR1826,tip,NA,Archboldomys_luzonensis_EAR1826,NA,NA,NA,3307781.5288839717,7332676.784470504,61770.81930497664,28810.598429013506,9074,0,2720,364.5340014198779,808.0975076559956,6.807451984238114,3.175071460107285,0.01867439513933612,0.003929069734810891,0.21039876823290626
73,Anisomys_imitator_ABTC45107,tip,NA,Anisomys_imitator_ABTC45107,NA,NA,NA,3857432.174613364,8554340.11464896,76721.32368360805,31051.5887706044,10559,0,1235,365.3217326085201,810.146805061934,7.26596492883872,2.9407698428453832,0.01988922169222533,0.0036299221628363614,0.18250699896694766
70,Rhynchomys_isarogensis_JAE2195,tip,NA,Rhynchomys_isarogensis_JAE2195,NA,NA,NA,3286613.360722532,7292596.427911083,58338.919459706965,24335.52962454213,9080,0,2714,361.9618238681203,803.1493863338197,6.424991129923675,2.6801244079892212,0.01775046622669412,0.00333701855917905,0.18799610762677654
72,Chrotomys_mindorensis_JAE520,tip,NA,Chrotomys_mindorensis_JAE520,NA,NA,NA,2509162.920263869,5571736.2002183525,26048.42067307694,12067.048557692313,9721,0,2073,258.1177780335222,573.1649213268545,2.679602990749608,1.2413381913066879,0.010381318989975203,0.0021657609269475847,0.2086209786096514
74,Lorentzimys_nouhuysi_ABTC-46314,tip,NA,Lorentzimys_nouhuysi_ABTC-46314,NA,NA,NA,3666444.285901365,8125230.849061629,133316.01254420867,53279.061846343335,9848,0,1946,372.3034408916902,825.0640585968348,13.537369267283578,5.410140317459721,0.03636111778838446,0.006557236691003857,0.1803364992563172
79,Coccymys_ruemmleri_ABTC49489,tip,NA,Coccymys_ruemmleri_ABTC49489,NA,NA,NA,3915692.4792616665,8681432.981771767,105076.17588141019,41300.82924679488,10466,0,1328,374.13457665408623,829.4891058448086,10.039764559660824,3.946190449722423,0.026834634343201307,0.004757374656178699,0.17728486981914118
71,Chrotomys_whiteheadi_KU168311,tip,NA,Chrotomys_whiteheadi_KU168311,NA,NA,NA,2213175.6078384956,4913054.028113317,27253.833447802186,13968.398237179485,9250,0,2544,239.26222787443197,531.1409760122505,2.9463603727353713,1.5100971067221065,0.012314356507127656,0.00284311919983985,0.23087842212414655
78,Pogonomys_macrourus_ABTC43144,tip,NA,Pogonomys_macrourus_ABTC43144,NA,NA,NA,3911173.1998643526,8672191.433181198,105404.81513278387,42144.87168040293,10448,0,1346,374.3465926363278,830.0336364070826,10.08851599662939,4.033774088859392,0.026949666953240404,0.004859771835657349,0.1803277140340695
77,Hyomys_goliath_ABTC42697,tip,NA,Hyomys_goliath_ABTC42697,NA,NA,NA,3870266.376702546,8585552.361488165,90190.52540024632,36867.75939828849,10424,0,1370,371.2841880950255,823.6331889378516,8.6521992901234,3.536814984486616,0.023303441319480533,0.004294162780214884,0.1842716155671469
80,Mammelomys_lanosus_ABTC47208,tip,NA,Mammelomys_lanosus_ABTC47208,NA,NA,NA,3465999.8651694884,7673451.19088505,84895.85641788761,33713.12618284495,9520,0,2274,364.07561608923197,806.0347889585137,8.917631976668867,3.541294767105562,0.024493900669478583,0.004393476330818559,0.17937021914574808
81,Xenuromys_barbatus_ABTC129204,tip,NA,Xenuromys_barbatus_ABTC129204,NA,NA,NA,3848639.584934296,8530846.178171221,80254.67114239925,30473.967502289393,10471,0,1323,367.55224763005407,814.7116968934411,7.664470551274879,2.9103206477212678,0.02085273753784595,0.0035722092352651206,0.1713064881184959
75,Macruromys_major_ABTC43909,tip,NA,Macruromys_major_ABTC43909,NA,NA,NA,3170199.288989431,7026949.311013862,65840.55742521369,31615.44623778998,8547,0,3247,370.91368772545115,822.1538915425133,7.7033529221029236,3.6990109088323364,0.02076858626960382,0.004499170954348103,0.21663347210748443
84,Pogonomelomys_mayeri_AMM21849,tip,NA,Pogonomelomys_mayeri_AMM21849,NA,NA,NA,3527213.5083579137,7808734.585997995,70303.8067002442,27635.275717338234,9537,0,2257,369.84518279940374,818.7831169128651,7.371689912996141,2.8976906487719654,0.01993182622306694,0.0035390210043624256,0.17755628434421858
83,Abeomelomys_sevia_KUM161018,tip,NA,Abeomelomys_sevia_KUM161018,NA,NA,NA,3375687.071980425,7463145.999595832,60849.50057234433,24425.59466575091,9109,0,2685,370.5881075837551,819.3156218680242,6.6801515613507885,2.681479269486322,0.018025812012440346,0.0032728281969927535,0.18156342664253025
82,Mallomys_rothschildi_ABTC47402,tip,NA,Mallomys_rothschildi_ABTC47402,NA,NA,NA,3133872.0775957857,6935454.934831049,55103.8517094017,27572.6426129426,8491,0,3303,369.08162496711645,816.8007225098397,6.489677506701414,3.2472786023957836,0.017583312383215,0.003975606917214333,0.2261011367237859
85,Crossomys_moncktoni_ABTC46614,tip,NA,Crossomys_moncktoni_ABTC46614,NA,NA,NA,3624807.151299369,8036267.796584353,26945.234100274727,11512.866998626374,10707,0,1087,338.54554509193696,750.5620432039183,2.516599803892288,1.0752654337000442,0.007433563490575157,0.0014326136572402025,0.19272232746200127
88,Hydromys_chrysogaster_Z5248,tip,NA,Hydromys_chrysogaster_Z5248,NA,NA,NA,1223359.606521698,2700457.032924126,12769.526710980592,8000.780065576187,6115,0,5679,200.05880728073555,441.61194324188483,2.088230042678756,1.3083859469462285,0.010438081037584191,0.0029627503670786913,0.28384052168313073
76,Chiruromys_vates_ABTC43096,tip,NA,Chiruromys_vates_ABTC43096,NA,NA,NA,3752407.664923735,8315361.241185233,106386.98958333336,46226.02964743591,10009,0,1785,374.90335347424667,830.7884145454324,10.629132738868353,4.618446363016876,0.028351660875710206,0.005559112623812729,0.19607714158909828
87,Hydromys_sp-nov_YS391,tip,NA,Hydromys_sp-nov_YS391,NA,NA,NA,2295593.88577033,5108434.624048025,14745.024564097303,8088.695847674832,9872,0,1922,232.535847424061,517.4670405235033,1.4936208026840865,0.8193573589621994,0.006423185152869201,0.0015834000908217926,0.2465132256252175
86,Parahydromys_asper_ABTC45798,tip,NA,Parahydromys_asper_ABTC45798,NA,NA,NA,2618261.031388351,5802167.477250322,18095.1875,9417.690705128205,9670,0,2124,270.76122351482434,600.017319260633,1.871270682523268,0.9739080356906107,0.006911147239740608,0.0016231332070392598,0.23485727488279934
93,Mirzamys_louiseae_ABTC133754,tip,NA,Mirzamys_louiseae_ABTC133754,NA,NA,NA,3670157.6806639116,8134706.066201117,38634.063377594626,16479.07343559218,10447,0,1347,351.3121164606022,778.6643118791152,3.6981012135153275,1.577397667808192,0.010526540475668592,0.002025773679034461,0.19244439174645306
