node,clade,node.type,branch.length,label,astral,gcf,scf,cS,cN,cA,mS,mN,mA,num.genes.full,num.genes.partial,num.genes.no.clade
32,Nesokia_indica_ABTC117074,tip,NA,Nesokia_indica_ABTC117074,NA,NA,NA,21532.0,13090.0,3065.0,5377.0,1041.0,15.0,6369,0,1964
20,Melasmothrix_naso_Z21808,tip,NA,Melasmothrix_naso_Z21808,NA,NA,NA,29490.0,16643.0,4136.0,8711.0,1265.0,16.0,7046,0,1287
29,Niviventer_bukit_LSUMZ38136,tip,NA,Niviventer_bukit_LSUMZ38136,NA,NA,NA,14301.0,6392.0,1546.0,6363.0,649.0,10.0,7502,0,831
58,Taeromys_punicans_MVZ225815,tip,NA,Taeromys_punicans_MVZ225815,NA,NA,NA,16150.0,1562.0,460.0,14128.0,521.0,3.0,7787,0,546
62,Taeromys_celebensis_NMVZ20637,tip,NA,Taeromys_celebensis_NMVZ20637,NA,NA,NA,23599.0,14734.0,3626.0,5239.0,680.0,5.0,7349,0,984
13,Hyorhinomys_stuempkei_JAE4661,tip,NA,Hyorhinomys_stuempkei_JAE4661,NA,NA,NA,42008.0,27467.0,6211.0,8330.0,1456.0,24.0,6668,0,1665
59,Taeromys_hamatus_NMVZ63317,tip,NA,Taeromys_hamatus_NMVZ63317,NA,NA,NA,15349.0,8095.0,2344.0,4910.0,986.0,16.0,5647,0,2686
18,Echiothrix_centrosa_Z27993,tip,NA,Echiothrix_centrosa_Z27993,NA,NA,NA,39303.0,23199.0,5519.0,10585.0,1430.0,23.0,6244,0,2089
33,Bandicota_indica_ABTC119185,tip,NA,Bandicota_indica_ABTC119185,NA,NA,NA,24656.0,16004.0,3689.0,4963.0,999.0,19.0,6764,0,1569
63,Paruromys_dominator_JAE4870,tip,NA,Paruromys_dominator_JAE4870,NA,NA,NA,20359.0,8967.0,2151.0,9241.0,1190.0,9.0,5296,0,3037
24,Margaretamys_christinae_TMar1,tip,NA,Margaretamys_christinae_TMar1,NA,NA,NA,28218.0,19702.0,4423.0,4093.0,963.0,18.0,7419,0,914
37,Rattus_hoffmanni_LSUMZ39187,tip,NA,Rattus_hoffmanni_LSUMZ39187,NA,NA,NA,27191.0,13745.0,2477.0,10969.0,604.0,2.0,7678,0,655
41,Rattus_xanthurus_LSUMZ39196,tip,NA,Rattus_xanthurus_LSUMZ39196,NA,NA,NA,16803.0,8858.0,2273.0,5672.0,372.0,3.0,7642,0,691
56,Bunomys_chrysocomus_JAE4867,tip,NA,Bunomys_chrysocomus_JAE4867,NA,NA,NA,24593.0,12620.0,2959.0,9014.0,988.0,12.0,7213,0,1120
36,Rattus_argentiventer_LSUMZ38199,tip,NA,Rattus_argentiventer_LSUMZ38199,NA,NA,NA,26575.0,12353.0,2826.0,11396.0,776.0,6.0,7399,0,934
27,Niviventer_lepturus_JAE4746,tip,NA,Niviventer_lepturus_JAE4746,NA,NA,NA,38224.0,26440.0,4971.0,6813.0,1371.0,15.0,6883,0,1450
31,Berylmys_mackenziei_ABTC116402,tip,NA,Berylmys_mackenziei_ABTC116402,NA,NA,NA,19398.0,8110.0,2305.0,8983.0,1358.0,22.0,5349,0,2984
17,Paucidentomys_vermidax_Z21914,tip,NA,Paucidentomys_vermidax_Z21914,NA,NA,NA,41186.0,28301.0,5887.0,6998.0,1161.0,12.0,7054,0,1279
28,Niviventer_rapit_LSUMZ38196,tip,NA,Niviventer_rapit_LSUMZ38196,NA,NA,NA,12923.0,5329.0,1389.0,6205.0,855.0,16.0,7189,0,1144
10,Maxomys_musschenbroekii_sample1,tip,NA,Maxomys_musschenbroekii_sample1,NA,NA,NA,32651.0,18274.0,4188.0,10189.0,1674.0,20.0,4012,0,4321
19,Tateomys_rhinogradoides_Z21785,tip,NA,Tateomys_rhinogradoides_Z21785,NA,NA,NA,35971.0,16598.0,4091.0,15282.0,1408.0,17.0,7242,0,1091
54,Bunomys_andrewsi_sample1,tip,NA,Bunomys_andrewsi_sample1,NA,NA,NA,23576.0,3821.0,1222.0,18533.0,1466.0,12.0,3237,0,5096
65,Lenomys_meyeri_LSUMZ39079,tip,NA,Lenomys_meyeri_LSUMZ39079,NA,NA,NA,20755.0,12942.0,3198.0,4615.0,500.0,9.0,7493,0,840
66,Chiropodomys_gliroides_Z25153,tip,NA,Chiropodomys_gliroides_Z25153,NA,NA,NA,111387.0,83182.0,15414.0,12791.0,3209.0,18.0,6694,0,1639
68,Apomys_lubangensis_JAE169,tip,NA,Apomys_lubangensis_JAE169,NA,NA,NA,73214.0,52791.0,11821.0,8602.0,2059.0,26.0,6754,0,1579
69,Archboldomys_luzonensis_EAR1826,tip,NA,Archboldomys_luzonensis_EAR1826,NA,NA,NA,44714.0,31117.0,7468.0,6129.0,1594.0,20.0,6802,0,1531
67,Haeromys_minahassae_JAE4996,tip,NA,Haeromys_minahassae_JAE4996,NA,NA,NA,80894.0,61668.0,12066.0,7160.0,2248.0,28.0,6343,0,1990
70,Rhynchomys_isarogensis_JAE2195,tip,NA,Rhynchomys_isarogensis_JAE2195,NA,NA,NA,40543.0,30167.0,6423.0,3953.0,1180.0,19.0,6758,0,1575
71,Chrotomys_whiteheadi_KU168311,tip,NA,Chrotomys_whiteheadi_KU168311,NA,NA,NA,21498.0,11150.0,3214.0,7134.0,1147.0,15.0,7065,0,1268
72,Chrotomys_mindorensis_JAE520,tip,NA,Chrotomys_mindorensis_JAE520,NA,NA,NA,18739.0,9400.0,2173.0,7166.0,1013.0,11.0,7193,0,1140
73,Anisomys_imitator_ABTC45107,tip,NA,Anisomys_imitator_ABTC45107,NA,NA,NA,52713.0,40699.0,9448.0,2566.0,752.0,10.0,7704,0,629
78,Pogonomys_macrourus_ABTC43144,tip,NA,Pogonomys_macrourus_ABTC43144,NA,NA,NA,73232.0,57439.0,13082.0,2711.0,1375.0,20.0,7658,0,675
74,Lorentzimys_nouhuysi_ABTC-46314,tip,NA,Lorentzimys_nouhuysi_ABTC-46314,NA,NA,NA,0,0,0,0,0,0,0,0,8333
75,Macruromys_major_ABTC43909,tip,NA,Macruromys_major_ABTC43909,NA,NA,NA,48388.0,36111.0,9021.0,3256.0,1334.0,18.0,6490,0,1843
79,Coccymys_ruemmleri_ABTC49489,tip,NA,Coccymys_ruemmleri_ABTC49489,NA,NA,NA,72080.0,56789.0,12063.0,3228.0,1456.0,13.0,7668,0,665
76,Chiruromys_vates_ABTC43096,tip,NA,Chiruromys_vates_ABTC43096,NA,NA,NA,75549.0,58716.0,13950.0,2883.0,1634.0,19.0,7454,0,879
81,Xenuromys_barbatus_ABTC129204,tip,NA,Xenuromys_barbatus_ABTC129204,NA,NA,NA,54214.0,42638.0,8793.0,2783.0,977.0,15.0,7673,0,660
83,Abeomelomys_sevia_KUM161018,tip,NA,Abeomelomys_sevia_KUM161018,NA,NA,NA,44070.0,32634.0,6993.0,4443.0,1122.0,21.0,6956,0,1377
80,Mammelomys_lanosus_ABTC47208,tip,NA,Mammelomys_lanosus_ABTC47208,NA,NA,NA,59705.0,44333.0,9890.0,5482.0,1279.0,17.0,7195,0,1138
84,Pogonomelomys_mayeri_AMM21849,tip,NA,Pogonomelomys_mayeri_AMM21849,NA,NA,NA,49618.0,36138.0,7635.0,5845.0,1292.0,19.0,7213,0,1120
85,Crossomys_moncktoni_ABTC46614,tip,NA,Crossomys_moncktoni_ABTC46614,NA,NA,NA,18319.0,13854.0,2974.0,1491.0,365.0,5.0,7785,0,548
89,Xeromys_myoides_ABTC30709,tip,NA,Xeromys_myoides_ABTC30709,NA,NA,NA,43155.0,32820.0,7011.0,3324.0,814.0,12.0,7718,0,615
82,Mallomys_rothschildi_ABTC47402,tip,NA,Mallomys_rothschildi_ABTC47402,NA,NA,NA,42900.0,30123.0,8042.0,4735.0,1421.0,20.0,6513,0,1820
77,Hyomys_goliath_ABTC42697,tip,NA,Hyomys_goliath_ABTC42697,NA,NA,NA,62224.0,46566.0,10595.0,5063.0,1152.0,9.0,7644,0,689
90,Microhydromys_richardsoni_ANWCM35851,tip,NA,Microhydromys_richardsoni_ANWCM35851,NA,NA,NA,30832.0,22820.0,4511.0,3501.0,565.0,7.0,7590,0,743
94,Leptomys_elegans_ABTC45741,tip,NA,Leptomys_elegans_ABTC45741,NA,NA,NA,37922.0,26653.0,5982.0,5287.0,881.0,11.0,7446,0,887
88,Hydromys_chrysogaster_Z5248,tip,NA,Hydromys_chrysogaster_Z5248,NA,NA,NA,13277.0,5042.0,1394.0,6841.0,1318.0,25.0,4896,0,3437
86,Parahydromys_asper_ABTC45798,tip,NA,Parahydromys_asper_ABTC45798,NA,NA,NA,14519.0,7913.0,2129.0,4477.0,762.0,12.0,7267,0,1066
87,Hydromys_sp-nov_YS391,tip,NA,Hydromys_sp-nov_YS391,NA,NA,NA,0,0,0,0,0,0,0,0,8333
95,Solomys_salebrosus_ABTC64864,tip,NA,Solomys_salebrosus_ABTC64864,NA,NA,NA,28570.0,19634.0,4759.0,4177.0,1025.0,22.0,6852,0,1481
92,Paraleptomys_wilhelmina_H126-ABTC133716,tip,NA,Paraleptomys_wilhelmina_H126-ABTC133716,NA,NA,NA,0,0,0,0,0,0,0,0,8333
97,Uromys_sp-nov_YS380,tip,NA,Uromys_sp-nov_YS380,NA,NA,NA,0,0,0,0,0,0,0,0,8333
98,Uromys_caudimaculatus_DT10Uc01,tip,NA,Uromys_caudimaculatus_DT10Uc01,NA,NA,NA,15998.0,9095.0,2183.0,4720.0,664.0,10.0,7585,0,748
93,Mirzamys_louiseae_ABTC133754,tip,NA,Mirzamys_louiseae_ABTC133754,NA,NA,NA,27794.0,19300.0,4253.0,4241.0,622.0,11.0,7668,0,665
102,Conilurus_penicillatus_M14056,tip,NA,Conilurus_penicillatus_M14056,NA,NA,NA,35074.0,20260.0,4199.0,10615.0,1311.0,15.0,7055,0,1278
101,Conilurus_albipes_NMV-c7585,tip,NA,Conilurus_albipes_NMV-c7585,NA,NA,NA,0,0,0,0,0,0,0,0,8333
91,Pseudohydromys_pumehanae_ABTC43920,tip,NA,Pseudohydromys_pumehanae_ABTC43920,NA,NA,NA,23159.0,15370.0,3490.0,4299.0,822.0,15.0,7392,0,941
99,Leporillus_conditor_ABTC13335,tip,NA,Leporillus_conditor_ABTC13335,NA,NA,NA,19918.0,9949.0,2518.0,7451.0,1052.0,11.0,4071,0,4262
104,Mesembriomys_gouldii_ABTC7449,tip,NA,Mesembriomys_gouldii_ABTC7449,NA,NA,NA,28289.0,14353.0,3450.0,10486.0,1011.0,7.0,7381,0,952
96,Melomys_rufescens_ABTC44798,tip,NA,Melomys_rufescens_ABTC44798,NA,NA,NA,36811.0,17750.0,3827.0,15234.0,1442.0,21.0,6858,0,1475
105,Zyzomys_pedunculatus_Z34925,tip,NA,Zyzomys_pedunculatus_Z34925,NA,NA,NA,31163.0,17334.0,3867.0,9962.0,963.0,11.0,7258,0,1075
108,Zyzomys_palatalis_ABTC30744,tip,NA,Zyzomys_palatalis_ABTC30744,NA,NA,NA,22940.0,12985.0,2797.0,7158.0,763.0,4.0,6946,0,1387
100,Leporillus_apicalis_C90,tip,NA,Leporillus_apicalis_C90,NA,NA,NA,16636.0,6565.0,1663.0,8408.0,1096.0,8.0,3170,0,5163
103,Mesembriomys_macrurus_ABTC7337,tip,NA,Mesembriomys_macrurus_ABTC7337,NA,NA,NA,25082.0,12185.0,3006.0,9891.0,1329.0,20.0,6395,0,1938
106,Zyzomys_woodwardi_WAMM21724,tip,NA,Zyzomys_woodwardi_WAMM21724,NA,NA,NA,26844.0,14302.0,3318.0,9224.0,1090.0,17.0,6156,0,2177
113,Pseudomys_chapmani_WAMM29440,tip,NA,Pseudomys_chapmani_WAMM29440,NA,NA,NA,25659.0,15712.0,3294.0,6653.0,786.0,7.0,7189,0,1144
110,Leggadina_lakedownensis_WAMM21623,tip,NA,Leggadina_lakedownensis_WAMM21623,NA,NA,NA,21595.0,10589.0,2441.0,8565.0,820.0,7.0,7249,0,1084
111,Leggadina_forresti_WAMM62323,tip,NA,Leggadina_forresti_WAMM62323,NA,NA,NA,22525.0,11664.0,2699.0,8162.0,873.0,7.0,7208,0,1125
107,Zyzomys_maini_ABTC07900,tip,NA,Zyzomys_maini_ABTC07900,NA,NA,NA,27196.0,15263.0,3350.0,8583.0,942.0,17.0,7276,0,1057
109,Zyzomys_argurus_ABTC61630,tip,NA,Zyzomys_argurus_ABTC61630,NA,NA,NA,24809.0,11242.0,2689.0,10878.0,790.0,8.0,7071,0,1262
118,Notomys_fuscus_M22830,tip,NA,Notomys_fuscus_M22830,NA,NA,NA,19536.0,7571.0,1635.0,10330.0,715.0,7.0,7025,0,1308
115,Pseudomys_patrius_JM10865,tip,NA,Pseudomys_patrius_JM10865,NA,NA,NA,21690.0,11543.0,2607.0,7540.0,763.0,11.0,6935,0,1398
124,Pseudomys_apodemoides_M16672,tip,NA,Pseudomys_apodemoides_M16672,NA,NA,NA,21755.0,11104.0,2424.0,8227.0,655.0,9.0,7270,0,1063
120,Notomys_alexis_U1308,tip,NA,Notomys_alexis_U1308,NA,NA,NA,17555.0,4724.0,1380.0,11451.0,782.0,13.0,6684,0,1649
116,Notomys_cervinus_M22857,tip,NA,Notomys_cervinus_M22857,NA,NA,NA,33191.0,18824.0,3951.0,10416.0,1068.0,16.0,6953,0,1380
112,Pseudomys_calabyi_U4324,tip,NA,Pseudomys_calabyi_U4324,NA,NA,NA,28310.0,15545.0,3383.0,9382.0,819.0,9.0,7377,0,956
114,Pseudomys_johnsoni_ABTC08053,tip,NA,Pseudomys_johnsoni_ABTC08053,NA,NA,NA,22063.0,8166.0,1939.0,11958.0,700.0,4.0,7296,0,1037
117,Notomys_mitchellii_M21518,tip,NA,Notomys_mitchellii_M21518,NA,NA,NA,21402.0,8532.0,2103.0,10767.0,1398.0,19.0,5695,0,2638
125,Pseudomys_gracilicaudatus_ABTC08163,tip,NA,Pseudomys_gracilicaudatus_ABTC08163,NA,NA,NA,23833.0,10867.0,2261.0,10705.0,790.0,8.0,6974,0,1359
128,Pseudomys_desertor_ABTC41464,tip,NA,Pseudomys_desertor_ABTC41464,NA,NA,NA,17291.0,8616.0,1934.0,6741.0,725.0,7.0,7049,0,1284
119,Notomys_aquilo_M-32455,tip,NA,Notomys_aquilo_M-32455,NA,NA,NA,0,0,0,0,0,0,0,0,8333
127,Pseudomys_oralis_RAT7,tip,NA,Pseudomys_oralis_RAT7,NA,NA,NA,31243.0,19759.0,4024.0,7460.0,626.0,5.0,7491,0,842
121,Pseudomys_occidentalis_ABTC08043,tip,NA,Pseudomys_occidentalis_ABTC08043,NA,NA,NA,33385.0,21858.0,4499.0,7028.0,722.0,16.0,7120,0,1213
