,Taxon,states,Locomotor Mode Notes,Source (Author; Title; Year),Scoring_1,Locomotor type,Add. Notes,Geographic Region,Taxon_Loc1,Taxon_Loc2,Taxon_clade,Geo_1,Multiple_Geo,Total Length,Head/Body Length,Tail Length,TAIL_Index,Hind Foot Length,Ear Length,Adult.mass.g,Tail/Body ratio,HindFoot/Body ratio,litter size,Genus,Species,"Mass(from lit, not averages)",Sequence_data _NOT UPDATED
Pseudomys_delicatulus,Pseudomys_delicatulus,T,"Nine specimens were collected using pit-traps placed in tall mixed savannah (Waithman 1979). / Sleep in hollow logs, under pieces of bark, or in burrows, often in sand dunes","Flannery, Mammals of New Guniea p.259 / Strahan, Complete Book of Australian Mammals p. 406 / Van Dyck and Strahan, The Mammals of Australia 3rd edition / Watts Rodents of Australia",2,,,New Guinea/ Australia,3,,1,5,,155,75,80,0.516129032,18,12,11.78,1.066666667,0.24,3.1425,Pseudomys,delicatulus,15,Y
Mus_fragilicauda,Mus_fragilicauda,T,Has been found in dry ricefields and patches of scrub,"Francis, A Guide to the Mammals of Southeast Asia p. 370",2,,,"Thailand, Laos",,,,2,,138,77,61,0.442028986,15,,12,0.792207792,0.194805195,NA,Mus,fragilicauda,12,Y
Mus_phillipsi,Mus_phillipsi,T,"nocturnal, terrestrial, lives in rocky areas near scrub","Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 858 / 2005 Rodent CAMP report",2,,,India,,,,1,,,,,#DIV/0!,,,12.3,#DIV/0!,#DIV/0!,4.265,Mus,phillipsi,12.3,N
Mus_triton,Mus_triton,T,Terrestrial. Individuals run on the ground. Do not dig burrows,"Kingdon, Mammals of Africa p. 498",2,,,Africa,,,,8,,129.7,75.7,54,0.416345413,15.9,12.7,12.36,0.71334214,0.21003963,4.8,Mus,triton,12.1,N
Haeromys_margarettae,Haeromys_margarettae,A,Hands and feet adapted for arboreal life; the great toe is opposable,"Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 776 / Musser 1983 Sumatra",1,,Locomotor mode notes general for genus,Borneo,,,,3,,220,76,144,0.654545455,20,,12.7,1.894736842,0.263157895,NA,Haeromys,margarettae,12.7,N
Vandeleuria_oleracea,Vandeleuria_oleracea,A,"Lives in tall cane. Builds a nest a couple metres above the ground in cane or a tall bush. Nestfuls are raised in the lab by their mothers are active, agile climbers. / Arboreal, climbing on small branches and tall grasses / Nocturnal, sometimes Diurnal, Arboreal","Lekagul and McNeely, Mammals of Thailand p. 420 / Francis, A Guide to the Mammals of Southeast Asia p. 372 / 2005 Rodent CAMP report",1,,,"Thailand/ Vietnam, Myanmar, Cambodia, India, Sri Lanka, Nepal, China, Laos",,,,2,"1,2",186.3,75,111.3,0.597423511,17.8,13,13.3,1.484,0.237333333,3.24,Vandeleuria,oleracea,13.3,Y
Mus_booduga,Mus_booduga,T,"In india occurs in wet ricefields, build burrows in mounds in the fields","Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 858 / Francis, A Guide to the Mammals of Southeast Asia p. 371 / Singh et al 2009 Mus booduga and terricolor",2,,,"India, Burma, Sri Lanka",,,,1,,130.8,75.5,55.3,0.422782875,15.6,16.8,13.69,0.732450331,0.206622517,6.15,Mus,booduga,13.6,Y
Pseudomys_hermannsburgensis,Pseudomys_hermannsburgensis,T,"Burrow up to half a metre below the surface of the soil, in sand dunes","Strahan, Complete Book of Australian Mammals p. 407 / Van Dyck and Strahan, The Mammals of Australia 3rd edition / Watts Rodents of Australia",2,,,Australia,3,,1,6,,155,75,80,0.516129032,19,15,13.94,1.066666667,0.253333333,2.1875,Pseudomys,hermannsburgensis,14.5,Y
Hylomyscus_parvus,Hylomyscus_parvus,C,"Terrestrial, scansorial, and arboreal","Kingdon, Mammals of Africa p. 437",1,,,Africa,,,,8,,155,60,95,0.612903226,14,14,13.945,1.583333333,0.233333333,NA,Hylomyscus,parvus,13.4,Y
Pseudomys_patrius,Pseudomys_patrius,T,Build pebble mounds over their burrows,"Ford and Johnson 2007 Pseudomys / Van Dyck and Strahan, The Mammals of Australia 3rd edition",2,,,Australia,3,,1,6,,135,63,72,0.533333333,,,14,1.142857143,0,NA,Pseudomys,patrius,14,Y
Mus_caroli,Mus_caroli,T,"Caught in traps on the ground, digs tunnels by biting off mouthfuls/ occurs in ricefields","Lekagul and McNeely, Mammals of Thailand p. 434 / Francis, A Guide to the Mammals of Southeast Asia p. 369 / Smith and Xie, A Guide to the Mammals of China p. 263",2,,,Thailand/ China,,,,2,,154,76,78,0.506493507,18,14,14.30333333,1.026315789,0.236842105,5.805,Mus,caroli,12,Y
Haeromys_minahassae,Haeromys_minahassae,A,"Arboreal habits, The scansorial facility of this tree mouse- its ability to climb and scamper along vines and other cylindrical substrates above ground- is impressive.","Musser, Novitates # 2989 Sulawesi Rodents: Species Traits and Chromosomes of Haeromys minahassae and Echiothrix leucura(Muridae:Murinae) p.3 ",1,,Locomotor mode notes general for genus,Sulawesi,2,,NA,4,,182,72,110,0.604395604,20,16,14.7,1.527777778,0.277777778,NA,Haeromys,minahassae,14.7,Y
Lorentzimys_nouhuysi,Lorentzimys_nouhuysi,A,"nest found in an Asplenium fern perched on a tree limb approximately two metres from the ground, the females found in the nest did not hop or jump, nor use the tail as a prehensile organ they were very fast while running, even over small diameter branches/ seems to be completely arboreal but may prefer open or disturbed forest with abundant low shrubbery rather than mature forest. Its morphology suggests that it runs and jumps through the branches rather than climbs.","Flannery, Mammals of New Guniea p.281 / Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 814",1,,,New Guinea,3,1,1,5,,186.6,74.2,112.4,0.602357985,18.6,16.3,14.97,1.514824798,0.250673854,2.75,Lorentzimys,nouhuysi,15.5,Y
Mus_cypriacus,Mus_cypriacus,T,found in rice fields and vineyards,Cucchi 2006 Mus cypriacus,2,,,Cypres,,,,7,,156,84,72,0.461538462,18,,15,0.857142857,0.214285714,NA,Mus,cypriacus,,Y
Musseromys_gulantang,Musseromys_gulantang,A,"Suspect that it is largely arboreal/ We speculate, based on the location of capture, and on its exceptionally long vibrissae, long tufted tail, and long hind feet, that it is arboreal and often forages in dense tangles of leaves and vines.","Heany, The Mammals of Luzon Island p. 131 / Voss and Carleton, Systematic mammaology contributions in honor of Guy G. Musser p. 226",1,,,Philippines,1,,1,9,,178,77,101,0.56741573,20,16,15.5,1.311688312,0.25974026,NA,Musseromys,gulantang,15.5,Y
Mus_cervicolor,Mus_cervicolor,T,"The clay is moved by biting it off with the incisors to be dropped outside the burrow or placed in a heap to be pushed out by propelling with the hind feet whilst embracing the load of mouthfuls agaisnt the arms, throat and chest / Occurs in rice fields","Lekagul and McNeely, Mammals of Thailand p. 436/ Francis, A Guide to the Mammals of Southeast Asia p. 370 / Smith and Xie, A Guide to the Mammals of China p. 263",2,,,Thailand/ China/ Vietnam,,,,2,,148,81.6,67,0.452702703,16.8,14.6,15.6,0.821078431,0.205882353,4.3325,Mus,cervicolor,15.6,N
Mus_spretus,Mus_spretus,T,Terrestrial,"Kingdon, Mammals of Africa",2,,,Africa,,,,8,,201.8,139.7,62.1,0.307730426,16,12.8,15.61,0.44452398,0.114531138,5.4775,Mus,spretus,13.9,N
Heimyscus_fumosus,Heimyscus_fumosus,T,Strictly terrestrial,"Kingdon, Mammals of Africa p. 419",2,,,Africa,,,,8,,181.3,76.8,104.5,0.576392719,17.5,14.4,15.75,1.360677083,0.227864583,NA,Heimyscus,fumosus,14.3,Y
Pseudomys_bolami,Pseudomys_bolami,T,"reas of sparse mallee, shrublands, and acacia woodland, with scattered shrubland on loamy or clay soils","Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 818 / Van Dyck and Strahan, The Mammals of Australia 3rd edition",2,,,Australia,3,,1,6,,183,80,103,0.56284153,,,15.75,1.2875,0,2.375,Pseudomys,bolami,16,Y
Pseudomys_johnsoni,Pseudomys_johnsoni,T,Build pebble mounds over their burrows,"Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 820 / Ford and Johnson 2007 Pseudomys. / Van Dyck and Strahan, The Mammals of Australia 3rd edition",2,,Laborifex is now considered conspecific,Australia,3,,1,6,,171,76,95,0.555555556,17.4,12.2,16,1.25,0.228947368,NA,Pseudomys,johnsoni,20,Y
Pseudohydromys_murinus,Pseudohydromys_murinus,T,Four specimen were trapped under a log / appear to be nonaquatic; their feet have pads and soles of a type associated with terrestrial life,"Flannery, Mammals of New Guniea p.255 / Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 866",2,,Nowak note general about species,New Guinea,3,,1,5,,174.4,83.2,91.2,0.52293578,18.9,10.4,16.495,1.096153846,0.227163462,0.97,Pseudohydromys,murinus,16.2,N
Mus_macedonicus,Mus_macedonicus,T,"Rarely climbs experimantally, much less than M. musculus",Frynta 1994 12 species Mus,2,,,Eurasia,,,,7,,,,,#DIV/0!,,,16.65,#DIV/0!,#DIV/0!,6.07,Mus,macedonicus,15,N
Mus_spicilegus,Mus_spicilegus,T,"Terrestrial, very rarely climbs in captive experiments ","Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 859 / Marinova 2000 Mus spicilegus",2,,,"Mediterranean region, steppe country from Austria to western Iran",,,,7,,,,,#DIV/0!,,,16.65,#DIV/0!,#DIV/0!,6.38,Mus,spicilegus,14,Y
Pseudomys_calabyi,Pseudomys_calabyi,T,Build pebble mounds over their burrows,"Ford and Johnson 2007 Pseudomys / Van Dyck and Strahan, The Mammals of Australia 3rd edition",2,,,Australia,3,,1,6,,162.8,84.4,78.4,0.481572482,18,13,16.7,0.928909953,0.213270142,NA,Pseudomys,calabyi,16.7,Y
Pseudomys_apodemoides,Pseudomys_apodemoides,T,"Dig extensive burrow systems, which can be seen by the piles under shrubs and rocks","Strahan, Complete Book of Australian Mammals p. 412 / Cockburn 1981 Pseudomys apodemoides / Van Dyck and Strahan, The Mammals of Australia 3rd edition",2,,,Australia,3,,1,6,,200,90,110,0.55,23,19,17,1.222222222,0.255555556,4.8,Pseudomys,apodemoides,20,Y
Mus_musculus,Mus_musculus,C,Terrestrial and scansorial / swims well,"Kingdon, Mammals of Africa p. 488 / Strahan, Complete Book of Australian Mammals p. 455 / Heany, The Mammals of Luzon Island pg. 175 / Lekagul and McNeely, Mammals of Thailand p. 440/ Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 861",1,,,Africa/ Australia/ Philippines/ Thailand/ Vietnam,,,,8,,161.5,81.4,80.1,0.495975232,17.8,13.7,17.05,0.984029484,0.218673219,5.805,Mus,musculus,15.2,Y
Musseromys_inopinatus,Musseromys_inopinatus,A,All individuals where capture 0.5  to 5 m above the ground,"Heany, The Mammals of Luzon Island p. 132",1,,,Philippines,1,,1,9,,164.5,78,86.5,0.525835866,18.5,17,18.25,1.108974359,0.237179487,NA,Musseromys,inopinatus,18.25,Y
Muriculus_imberbis,Muriculus_imberbis,T,"Probably terrestrial, found in grassland","Kingdon, Mammals of Africa p. 473",2,,,Africa,,,,8,,125,74,51,0.408,16.5,11.5,18.5,0.689189189,0.222972973,NA,Muriculus,imberbis,18.5,Y
Leggadina_lakedownensis,Leggadina_lakedownensis,T,"A specimen was taken from many mice which were running about on a road through seeding sorghun fields at Lakelan Downs. / most habitats are mesic, being associated with riparian, lake, littoral or seasonally inundated or waterlogged areas; the habitats are structurally quite diverse, ranging from hummock grasslands, tussock grasslands, swamps, sedgelands, to open grassy woodlands, though the presence of a solid ground layer seems consistent; ","Strahan, Complete Book of Australian Mammals p. 421 / Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 822 / Van Dyck and Strahan, The Mammals of Australia 3rd edition",2,,,Australia/ Queensland,3,2,1,6,,113,70,43,0.380530974,15,11,18.75,0.614285714,0.214285714,3,Leggadina,lakedownensis,20,Y
Mastomys_pernanus,Mastomys_pernanus,T,Elton Traits,"Kingdon, Mammals of Africa p. 470 / Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 834",,,"Very rare, noting known","Africa/ Kenya, Tanzania, Rwanda",,,,8,,144,78,66,0.458333333,16.1,14.9,19,0.846153846,0.206410256,NA,Mastomys,pernanus,19,N
Musseromys_anacuao,Musseromys_anacuao,A,Captured individuals all 1-3 m above the ground,"Heany, The Mammals of Luzon Island p. 129",1,,,Philippines,1,,1,9,,162.5,78.5,84,0.516923077,18,15.5,19,1.070063694,0.229299363,NA,Musseromys,anacuao,19,Y
Pseudohydromys_fuscus,Pseudohydromys_fuscus,T,A specimen was collected in dense bracken and long grass on moss covered ground/ terrestial ,"Flannery, Mammals of New Guniea p.249 / Voss and Carleton, Systematic mammaology contributions in honor of Guy G. Musser p. 273",2,,Vulnerable as Neohydromys fuscus,New Guinea,3,,1,5,,180,92.5,87.5,0.486111111,21.5,12.5,19.12,0.945945946,0.232432432,NA,Pseudohydromys,fuscus,19.5,N
Hylomyscus_stella,Hylomyscus_stella,C,"Primarily arboreal, but also terrestrial. Very active and agile when climbing amongst creepers and shrubs. Holds on to narrow twigs using long opposable Digit 5 of hindfoot, and uses long tail for balance.","Kingdon, Mammals of Africa p. 439",1,,,Africa,,,,8,,222,91.5,130.5,0.587837838,18,18,19.395,1.426229508,0.196721312,3.0825,Hylomyscus,stella,19.8,Y
Hylomyscus_alleni,Hylomyscus_alleni,C,"Arboreal, although known to spend some time on ground. Agile climber; climbing ability is enhanced because of elongated Digit 5 is almost opposable and is used for gripping small twigs, and the long tail is used as a counterbalance while climbing.","Kingdon, Mammals of Africa p. 432",1,,,Africa,,,,8,,214.9,83.6,131.3,0.610981852,19.8,15.6,19.57,1.570574163,0.236842105,3,Hylomyscus,alleni,19.2,Y
Pseudomys_novaehollandiae,Pseudomys_novaehollandiae,T,nocturnal and constructs long burrows up to 5m long.,"Strahan, Complete Book of Australian Mammals p. 409 / Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 720 / Van Dyck and Strahan, The Mammals of Australia 3rd edition / Watts Rodents of Australia",2,,,Australia,3,,1,6,,195,90,105,0.538461539,22,18,19.9,1.166666667,0.244444444,4.24,Pseudomys,novaehollandiae,23,Y
Musseromys_beneficus,Musseromys_beneficus,A,All captures were made 3 m above the ground,"Heany, The Mammals of Luzon Island p. 130",1,,,Philippines,1,,1,9,,160,78,82,0.5125,18,16,20,1.051282051,0.230769231,NA,Musseromys,beneficus,20,Y
Mus_vulcani,Mus_vulcani,T,Elton Traits,"Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 858",,,,Java,,,,3,,,,,#DIV/0!,,,20.2,#DIV/0!,#DIV/0!,3.665,Mus,vulcani,20.2,N
Apomys_musculus,Apomys_musculus,A,"Usually in the forest canopy but sometimes on or near the ground, arboreal","Heany, The Mammals of Luzon Island pg. 139",1,,,Philippines,1,,2,9,,197.5,88.5,109,0.551898734,22.5,15.5,20.6,1.231638418,0.254237288,NA,Apomys,musculus,20,Y
Apodemus_witherbyi,Apodemus_witherbyi,T,"Terrestrial, inhabits steppe and deserts",IUNC redlist/ Concova and Frenta 2009,2,,,"Armenia (Armenia); Azerbaijan; Georgia; Greece (East Aegean Is.); Iran, Islamic Republic of; Israel; Jordan; Lebanon; Pakistan; Russian Federation; Syrian Arab Republic; Turkey; Turkmenistan; Ukraine",,,,7,,,,,#DIV/0!,,,20.66,#DIV/0!,#DIV/0!,NA,Apodemus,witherbyi,20.66,Y
Mus_mayori,Mus_mayori,T,"Nocturnal, fossorial, Found in wet undergrowth in low country, wet and mountain wet zones, rainforests, wet patana grasslands","Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 858 / 2005 Rodent CAMP report",2,,,Sri Lanka,,,,1,,,,,#DIV/0!,,,20.78,#DIV/0!,#DIV/0!,2.9625,Mus,mayori,20.78,N
Apodemus_uralensis,Apodemus_uralensis,C,Climbs to the top of cereal stalks to harvest grains,"Smith and Xie, A Guide to the Mammals of China p. 256/ Heroldova et al 2011",1,,,China/Russia,,,,7,,183.5,93.5,90,0.490463215,20,15,21.03,0.962566845,0.213903743,5.46,Apodemus,uralensis,17.1,Y
Mus_saxicola,Mus_saxicola,T,"Nocturnal, fossorial/terrestrial","Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 858 / 2005 Rodent CAMP report",2,,,"Pakistan, India, Nepal",,,,1,,,,,#DIV/0!,,,21.4,#DIV/0!,#DIV/0!,NA,Mus,saxicola,21.4,N
Apodemus_agrarius,Apodemus_agrarius,T,"predominantly field-dwelling and associated with crop-fields, grasslands, and open wet habitats, especially along rivers and streams","Schon, Belgian Journal of Zoology Volume 139 (2)- July 2009 p.133-146",2,,,"central and eastern Europe, central Asia and southern Siberia, Machuria, Korea, eastern and southern China, Taiwan",,,,7,,169.2,96.3,72.9,0.430851064,19.4,12.1,21.505,0.757009346,0.20145379,5.66,Apodemus,agrarius,21.9,Y
Hylomyscus_carillus,Hylomyscus_carillus,A,Elton Traits,"Kingdon, Mammals of Africa p. 433",,,,Africa,,,,8,,224.5,96,128.5,0.572383074,18.6,16,21.56,1.338541667,0.19375,NA,Hylomyscus,carillus,21.56,N
Mus_cookii,Mus_cookii,T,"Restricted to mountains, where it occupies grass beneath pine forest, lalang clearings within forest, and fields of upland rice grown by the Hill Tribes.","Lekagul and McNeely, Mammals of Thailand p. 438 / Smith and Xie, A Guide to the Mammals of China p. 264",2,,,Thailand/ China,,,,2,,174.7,89.7,85,0.486548369,19,15,21.6,0.947603122,0.211817168,NA,Mus,cookii,21.6,Y
Mus_fernandoni,Mus_fernandoni,T,"Nocturnal, terrestrial, Tropical and sub tropical dry thorny scrub forest","Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 858 / 2005 Rodent CAMP report",2,,,Sri Lanka,,,,1,,,,,#DIV/0!,,,21.82,#DIV/0!,#DIV/0!,NA,Mus,fernandoni,21.82,N
Leggadina_forresti,Leggadina_forresti,T,"Lives in desert environments, nests in tussocks of grass or cracks in the soil","Strahan, Complete Book of Australian Mammals p. 419 / Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 822 / Read, D.G. (1984) Diet and habitat preference of Leggadina forresti (Rodentia: Muridae) in Western New South Wales. Australian Mammalogy (7) 215-217",2,,,"Australia/ Queensland, New South Wales",3,2,1,6,,176,104,72,0.409090909,19,15,21.94,0.692307692,0.182692308,3.5,Leggadina,forresti,20,Y
Pseudohydromys_ellermani,Pseudohydromys_ellermani,T,Trapped four specimen in moss forest under some large logs/ available evidence suggests that it is entirely terrestrial.,"Flannery, Mammals of New Guniea p.245 / Voss and Carleton, Systematic mammaology contributions in honor of Guy G. Musser p. 279",2,,Vulnerable as Mayermys ellermani,New Guinea,3,,1,5,,198,97,101,0.51010101,20.9,11.2,21.95,1.041237113,0.215463918,NA,Pseudohydromys,ellermani,22.5,Y
Mus_famulus,Mus_famulus,T,"Nocturnal, terrestrial, lives in grasslands","Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 858 / 2005 Rodent CAMP report",2,,,India,,,,1,,,,,#DIV/0!,,,22.88,#DIV/0!,#DIV/0!,NA,Mus,famulus,22.88,Y
Pseudohydromys_occidentalis,Pseudohydromys_occidentalis,T,nothing has been recorded of its habits / appear to be nonaquatic; their feet have pads and soles of a type associated with terrestrial life (genus comments),"Flannery, Mammals of New Guniea p.256 / Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 866",2,,Nowak note general about genus ,New Guinea,3,,1,5,,185,100,85,0.45945946,21,12,22.95,0.85,0.21,NA,Pseudohydromys,occidentalis,24,N
Apodemus_sylvaticus,Apodemus_sylvaticus,C,Terrestrial. Construct burrows often under rocks / A. flavicollis and A. sylvaticus are known to exhibit considerable arboreal activity. Hopping was reported only in A. sylvaticus,"Kingdon, Mammals of Africa p. 379 / Schon, Belgian Journal of Zoology Volume 139 (2)- July 2009 p.133-146",1,,,"Africa/ Europe, parts of central and southwestern Asia, Himalayas, northwestern Africa, British Isles and many nearby islands, Iceland",,,,7,,188.7,96.5,92.2,0.488606253,22,17,23.33333333,0.955440415,0.227979275,5.17,Apodemus,sylvaticus,24.3,Y
Mus_pahari,Mus_pahari,T,Does not dig burrows in the terrarium. It does enlarge crevices by hauling off mouthfuls of sod. Makes nests in bamboo tubes/ do not dig burrows/ Terrestrial,"Lekagul and McNeely, Mammals of Thailand p. 432 / Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 861/Smith and Xie, A Guide to the Mammals of China p. 264",2,,,Thailand/ China,,,,2,,175,90,85,0.485714286,20.3,14,23.6,0.944444444,0.225555556,NA,Mus,pahari,23.6,Y
