# CDS alignment filter
# PYTHON VERSION: 3.8.8
# Script call:    06_aln_filter.py -i test-2-mafft-175/nt/ -o test-2-filter-175/ --overwrite
# Runtime:        03/16/2021 13:53:59
# ----------------
# IO OPTIONS
# Input CDS directory:    /mnt/beegfs/gt156213e/murinae-seq/03-Alignment-scripts/test-2-mafft-175/nt
# Output directory:       /mnt/beegfs/gt156213e/murinae-seq/03-Alignment-scripts/test-2-filter-175
# --overwrite set:        Overwriting previous files in output directory.
# Log file:               /mnt/beegfs/gt156213e/murinae-seq/03-Alignment-scripts/test-2-filter-175/aln-stats.tab
# ----------------
# 03.16.2021 | 13:53:59 Beginning filter.
align	pre num seqs	pre codon aln length	pre avg nongap length	pre uniq seqs	pre ident seqs	pre 20 gap seqs	pre invariant sites	pre stop codons	pre percent sites with gap	pre percent sites 20 gap	sites filtered	post num seqs	post codon aln length	post avg nongap length	post uniq seqs	post ident seqs	post 20 gap seqs	post invariant sites	post stop codons	post percent sites with gap	post percent sites 20 gap
ENSMUSP00000031347-mafft-cds.fa	190	152	142.6421052631579	178	5	21	0	0	152	152	0	169	152	150.50887573964496	160	4	0	6	0	44	44
ENSMUSP00000001806-mafft-cds.fa	193	562	528.7461139896373	189	2	9	10	1	408	406	21	184	541	534.2228260869565	180	2	0	15	1	178	176
ENSMUSP00000099760-mafft-cds.fa	193	418	394.1502590673575	193	0	18	1	13	312	307	8	175	410	400.58285714285716	175	0	0	2	12	224	223
ENSMUSP00000140864-mafft-cds.fa	194	391	375.00515463917526	194	0	7	0	0	391	387	4	187	387	380.24064171122996	187	0	0	15	0	144	143
ENSMUSP00000028656-mafft-cds.fa	193	245	195.43523316062175	191	1	73	0	0	245	226	21	120	224	219.70833333333334	118	1	0	9	0	61	61
ENSMUSP00000045154-mafft-cds.fa	191	116	109.10994764397905	176	7	6	1	1	46	42	5	185	111	107.92432432432433	170	7	0	1	1	24	23
ENSMUSP00000055528-mafft-cds.fa	193	161	154.7979274611399	174	7	12	1	0	110	108	4	181	157	156.31491712707182	162	7	0	5	0	34	34
ENSMUSP00000125746-mafft-cds.fa	193	300	255.99481865284974	191	1	36	0	0	300	275	29	157	271	263.8089171974522	154	1	0	10	0	84	82
ENSMUSP00000031349-mafft-cds.fa	192	250	238.34375	192	0	10	0	1	197	191	10	182	240	239.02197802197801	180	1	0	2	0	59	59
ENSMUSP00000119606-mafft-cds.fa	194	342	332.2216494845361	168	10	6	8	0	300	300	0	188	342	335.57978723404256	162	10	0	20	0	197	197
ENSMUSP00000028340-mafft-cds.fa	191	138	123.72774869109948	173	9	40	0	0	96	93	4	151	134	131.2980132450331	137	7	0	20	0	20	19
ENSMUSP00000139667-mafft-cds.fa	194	242	226.58247422680412	192	1	12	0	0	199	199	0	182	242	231.06043956043956	180	1	0	0	0	176	176
ENSMUSP00000106166-mafft-cds.fa	192	254	208.50520833333334	192	0	87	0	0	254	235	21	105	233	232.5047619047619	105	0	0	17	0	5	5
ENSMUSP00000105358-mafft-cds.fa	194	257	241.0463917525773	183	5	18	4	0	217	213	0	176	257	248.6931818181818	165	5	0	7	0	136	132
ENSMUSP00000099360-mafft-cds.fa	193	212	203.38860103626942	178	7	19	0	0	212	212	0	174	212	211.52298850574712	159	7	0	16	0	22	22
ENSMUSP00000106809-mafft-cds.fa	192	589	427.8489583333333	192	0	124	0	0	589	567	0	68	589	511.61764705882354	68	0	0	30	0	384	362
ENSMUSP00000122288-mafft-cds.fa	190	29	29.0	49	26	0	4	0	0	0	0	190	29	29.0	49	26	0	4	0	0	0
ENSMUSP00000153308-mafft-cds.fa	193	334	297.9222797927461	191	1	34	0	0	306	291	15	159	319	307.9496855345912	157	1	0	6	0	129	123
ENSMUSP00000030915-mafft-cds.fa	192	178	155.47395833333334	176	8	43	0	1	178	173	5	149	173	166.61744966442953	135	7	0	8	0	91	89
ENSMUSP00000120759-mafft-cds.fa	189	42	40.301587301587304	66	20	1	3	0	3	3	5	188	37	37.0	58	17	0	3	0	0	0
ENSMUSP00000048239-mafft-cds.fa	192	140	114.58854166666667	172	7	50	0	9	140	121	18	142	122	113.90140845070422	128	5	0	10	5	13	5
ENSMUSP00000145942-mafft-cds.fa	137	41	40.97080291970803	40	18	0	5	5	1	1	0	137	41	40.97080291970803	40	18	0	5	5	1	1
ENSMUSP00000027974-mafft-cds.fa	193	403	319.48704663212436	193	0	77	0	1	403	400	4	116	399	354.62068965517244	116	0	0	12	1	197	196
ENSMUSP00000105561-mafft-cds.fa	193	258	243.93264248704662	186	3	8	0	0	232	232	0	185	258	247.38378378378377	178	3	0	13	0	74	74
ENSMUSP00000043138-mafft-cds.fa	194	923	864.3144329896908	194	0	8	1	5	706	689	12	186	911	870.1182795698925	186	0	0	22	5	539	530
ENSMUSP00000123990-mafft-cds.fa	189	111	101.98412698412699	175	7	25	0	0	111	108	4	164	107	105.84756097560975	150	7	0	4	0	2	1
ENSMUSP00000035154-mafft-cds.fa	192	160	143.18229166666666	178	4	34	0	14	160	153	8	158	152	147.89240506329114	146	3	0	2	14	34	31
ENSMUSP00000053175-mafft-cds.fa	193	301	283.1243523316062	189	2	12	0	1	301	299	0	181	301	289.7900552486188	177	2	0	3	1	165	163
ENSMUSP00000078469-mafft-cds.fa	194	714	671.5360824742268	192	1	14	8	1	603	594	6	180	708	683.7444444444444	178	1	0	20	1	424	419
ENSMUSP00000021056-mafft-cds.fa	194	1796	1499.6855670103093	194	0	42	0	0	1734	1606	155	152	1641	1518.2434210526317	152	0	0	19	0	1106	1097
ENSMUSP00000034854-mafft-cds.fa	194	465	428.4381443298969	194	0	19	0	0	465	460	4	175	461	441.2	175	0	0	14	0	194	191
ENSMUSP00000099668-mafft-cds.fa	194	928	760.6546391752578	192	1	61	0	0	928	900	38	133	890	809.8796992481203	131	1	0	11	0	673	670
ENSMUSP00000099468-mafft-cds.fa	194	1200	1085.0360824742268	192	1	20	0	0	1023	1007	20	174	1180	1108.8908045977012	172	1	0	52	0	711	709
ENSMUSP00000062037-mafft-cds.fa	193	139	132.07253886010363	167	10	21	1	0	97	97	0	172	139	138.2325581395349	146	10	0	7	0	24	24
ENSMUSP00000028179-mafft-cds.fa	194	211	176.98453608247422	192	1	72	0	4	211	210	0	122	211	199.69672131147541	122	0	0	1	3	148	147
ENSMUSP00000127662-mafft-cds.fa	192	168	157.15104166666666	190	1	19	0	0	168	167	0	173	168	165.6184971098266	171	1	0	9	0	28	27
ENSMUSP00000041173-mafft-cds.fa	193	533	424.80829015544043	191	1	46	0	0	508	444	86	147	447	434.59183673469386	145	1	0	29	0	107	104
ENSMUSP00000075658-mafft-cds.fa	194	471	386.8917525773196	194	0	75	0	2	471	462	9	119	462	425.73949579831935	119	0	0	9	2	405	403
ENSMUSP00000002735-mafft-cds.fa	190	206	186.68947368421053	182	4	32	0	0	206	203	0	158	206	198.9240506329114	150	4	0	13	0	33	30
ENSMUSP00000147560-mafft-cds.fa	194	488	400.78350515463916	194	0	62	0	0	488	481	5	132	483	439.65909090909093	132	0	0	19	0	284	280
ENSMUSP00000154340-mafft-cds.fa	190	92	87.32631578947368	169	9	1	0	0	21	17	4	189	88	85.41798941798942	167	8	0	0	0	13	11
ENSMUSP00000002737-mafft-cds.fa	193	152	150.56476683937825	169	9	3	6	0	53	53	0	190	152	151.37894736842105	166	9	0	7	0	20	20
ENSMUSP00000024104-mafft-cds.fa	193	381	345.0673575129534	193	0	25	2	9	343	329	11	168	370	356.8154761904762	168	0	0	4	9	175	168
ENSMUSP00000024880-mafft-cds.fa	193	443	396.81865284974094	193	0	27	0	1	391	388	4	166	439	408.6385542168675	166	0	0	6	0	234	233
ENSMUSP00000109234-mafft-cds.fa	194	405	297.08247422680415	194	0	119	0	0	352	275	0	75	405	336.76	75	0	0	29	0	102	49
ENSMUSP00000135064-mafft-cds.fa	16	30	29.6875	10	2	0	17	25	1	1	0	16	30	29.6875	10	2	0	17	25	1	1
ENSMUSP00000002740-mafft-cds.fa	189	156	147.84656084656083	164	12	19	0	0	156	155	0	170	156	153.3764705882353	145	12	0	1	0	46	45
ENSMUSP00000022623-mafft-cds.fa	193	276	270.30051813471505	187	3	8	0	0	214	214	0	185	276	274.31891891891894	179	3	0	23	0	83	83
ENSMUSP00000091895-mafft-cds.fa	191	321	283.1256544502618	189	1	51	0	2	321	313	8	140	313	306.8285714285714	138	1	0	17	2	41	37
ENSMUSP00000101644-mafft-cds.fa	193	368	325.0	188	2	39	1	1	339	312	29	154	339	334.62987012987014	149	2	0	13	1	80	78
ENSMUSP00000033602-mafft-cds.fa	193	194	187.75129533678756	153	14	17	3	0	161	161	0	176	194	193.14204545454547	138	13	0	35	0	55	55
ENSMUSP00000086615-mafft-cds.fa	194	1016	379.87113402061857	194	0	194	0	74	974	347	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSP00000023630-mafft-cds.fa	184	24	24.0	50	20	0	1	0	0	0	0	184	24	24.0	50	20	0	1	0	0	0
ENSMUSP00000022511-mafft-cds.fa	194	1375	1011.7422680412371	194	0	155	22	0	1265	1045	0	39	1375	1129.820512820513	39	0	0	433	0	378	174
ENSMUSP00000049663-mafft-cds.fa	194	533	459.5103092783505	194	0	38	1	1	464	445	23	156	510	477.3397435897436	156	0	0	3	0	396	396
ENSMUSP00000052989-mafft-cds.fa	188	501	472.2925531914894	188	0	21	0	1	475	474	0	167	501	493.0	167	0	0	8	1	109	108
ENSMUSP00000037890-mafft-cds.fa	188	80	71.79255319148936	157	10	6	1	4	47	40	11	182	69	68.74175824175825	149	11	0	1	4	11	11
ENSMUSP00000074581-mafft-cds.fa	191	337	323.05759162303667	189	1	15	7	0	258	258	0	176	337	331.28409090909093	174	1	0	16	0	92	92
ENSMUSP00000130176-mafft-cds.fa	194	335	307.5412371134021	185	4	43	11	0	303	303	0	151	335	327.07284768211923	142	4	0	43	0	128	128
ENSMUSP00000047325-mafft-cds.fa	193	780	727.7823834196892	193	0	12	11	0	646	620	30	181	750	730.8674033149172	181	0	0	15	0	481	481
ENSMUSP00000006565-mafft-cds.fa	193	453	412.35751295336786	193	0	17	0	10	424	407	14	176	439	415.92045454545456	176	0	0	4	9	288	279
ENSMUSP00000076224-mafft-cds.fa	193	757	703.0310880829015	193	0	10	25	0	572	571	0	183	757	712.8360655737705	183	0	0	39	0	413	412
ENSMUSP00000109951-mafft-cds.fa	194	821	799.3092783505155	192	1	6	24	0	618	618	0	188	821	808.3617021276596	186	1	0	29	0	485	485
ENSMUSP00000017348-mafft-cds.fa	194	379	361.5103092783505	194	0	11	2	1	266	265	0	183	379	368.8415300546448	183	0	0	3	1	262	261
ENSMUSP00000121046-mafft-cds.fa	193	395	373.3316062176166	193	0	7	3	0	297	297	0	186	395	376.51075268817203	186	0	0	10	0	194	194
ENSMUSP00000031246-mafft-cds.fa	193	248	197.6580310880829	191	1	30	0	1	248	207	45	163	203	194.01226993865032	161	1	0	3	1	20	12
ENSMUSP00000080443-mafft-cds.fa	185	305	288.3891891891892	185	0	15	2	1	260	257	0	170	305	297.0	170	0	0	9	1	97	94
ENSMUSP00000007814-mafft-cds.fa	194	606	567.139175257732	194	0	7	2	3	546	534	16	187	590	568.5935828877006	187	0	0	7	3	308	306
ENSMUSP00000030289-mafft-cds.fa	194	700	649.5309278350516	194	0	16	8	6	627	611	15	178	685	661.6685393258427	178	0	0	16	5	443	436
ENSMUSP00000049705-mafft-cds.fa	193	1086	866.7098445595855	193	0	60	0	5	1086	1058	38	133	1048	986.3383458646616	133	0	0	32	2	653	649
ENSMUSP00000006557-mafft-cds.fa	194	263	240.79896907216494	176	8	3	10	0	146	126	21	191	242	240.3979057591623	171	9	0	34	0	8	7
ENSMUSP00000157119-mafft-cds.fa	184	25	24.92391304347826	74	16	0	1	0	2	2	0	184	25	24.92391304347826	74	16	0	1	0	2	2
ENSMUSP00000072724-mafft-cds.fa	191	757	654.9057591623036	191	0	45	0	1	757	748	5	146	752	727.0068493150685	146	0	0	34	0	360	354
ENSMUSP00000125836-mafft-cds.fa	193	493	402.4611398963731	193	0	74	0	1	493	484	15	119	478	435.0420168067227	119	0	0	10	1	369	369
ENSMUSP00000031287-mafft-cds.fa	193	370	319.48704663212436	193	0	48	0	1	370	359	17	145	353	349.36551724137934	145	0	0	18	1	110	110
ENSMUSP00000045608-mafft-cds.fa	192	179	172.67708333333334	179	6	6	0	0	142	140	4	186	175	173.09139784946237	172	6	0	19	0	32	32
ENSMUSP00000105497-mafft-cds.fa	193	839	717.7875647668394	193	0	52	0	0	838	829	11	141	828	754.7304964539007	141	0	0	2	0	767	765
ENSMUSP00000020490-mafft-cds.fa	193	171	160.84455958549222	157	14	26	0	0	171	171	0	167	171	168.7305389221557	135	12	0	4	0	44	44
ENSMUSP00000154299-mafft-cds.fa	192	105	98.23958333333333	156	13	12	0	1	105	105	0	180	105	100.63888888888889	144	13	0	4	1	22	22
ENSMUSP00000156500-mafft-cds.fa	194	582	544.2731958762887	192	1	5	3	10	388	370	18	189	564	547.1746031746031	187	1	0	4	10	358	357
ENSMUSP00000013845-mafft-cds.fa	193	205	166.19689119170985	193	0	51	0	16	205	185	21	142	184	175.6267605633803	142	0	0	0	14	35	34
ENSMUSP00000034749-mafft-cds.fa	193	271	249.21243523316062	191	1	36	0	0	271	269	0	157	271	263.9171974522293	155	1	0	19	0	117	115
ENSMUSP00000104550-mafft-cds.fa	192	217	196.38020833333334	190	1	30	0	0	217	215	0	162	217	206.30246913580248	160	1	0	4	0	131	129
ENSMUSP00000018556-mafft-cds.fa	194	915	856.2886597938144	194	0	10	9	1	739	716	21	184	894	865.6684782608696	184	0	0	128	1	420	416
ENSMUSP00000027966-mafft-cds.fa	193	284	261.8134715025907	193	0	7	1	0	221	213	10	186	274	261.4032258064516	186	0	0	1	0	211	210
ENSMUSP00000098288-mafft-cds.fa	194	479	460.08762886597935	194	0	7	0	6	266	266	0	187	479	465.18716577540107	187	0	0	15	6	229	229
ENSMUSP00000034793-mafft-cds.fa	193	246	234.82901554404145	191	1	16	7	0	96	91	4	177	242	238.135593220339	175	1	0	12	0	43	40
ENSMUSP00000099881-mafft-cds.fa	194	216	207.63917525773195	182	6	13	0	0	175	175	0	181	216	212.66298342541435	169	6	0	11	0	95	95
ENSMUSP00000000304-mafft-cds.fa	193	109	101.88082901554404	163	12	32	0	0	109	109	0	161	109	108.9751552795031	139	8	0	8	0	0	0
ENSMUSP00000077606-mafft-cds.fa	194	345	312.2628865979381	192	1	21	0	0	311	306	7	173	338	318.04046242774564	171	1	0	0	0	276	276
ENSMUSP00000128271-mafft-cds.fa	194	354	346.12886597938143	181	6	5	12	0	180	180	0	189	354	348.78306878306876	176	6	0	24	0	95	95
ENSMUSP00000152473-mafft-cds.fa	193	519	477.8756476683938	191	1	7	0	1	460	459	27	186	492	471.7903225806452	184	1	0	13	1	265	264
ENSMUSP00000082952-mafft-cds.fa	193	430	228.3782383419689	193	0	192	0	0	430	331	0	1	430	365.0	1	0	0	430	0	0	0
ENSMUSP00000142807-mafft-cds.fa	193	364	333.5284974093264	193	0	29	0	0	364	357	9	164	355	346.6890243902439	164	0	0	4	0	263	263
ENSMUSP00000102240-mafft-cds.fa	193	283	224.84455958549222	189	2	69	0	0	283	269	15	124	268	245.03225806451613	120	2	0	7	0	157	154
ENSMUSP00000157208-mafft-cds.fa	193	261	247.11917098445596	189	2	21	0	0	261	261	0	172	261	257.16279069767444	168	2	0	19	0	83	83
ENSMUSP00000110859-mafft-cds.fa	193	774	564.1450777202073	193	0	166	0	0	748	667	0	27	774	652.2962962962963	27	0	0	134	0	366	285
ENSMUSP00000030436-mafft-cds.fa	189	145	135.24867724867724	171	6	7	1	2	91	85	4	182	141	134.94505494505495	164	6	0	1	2	48	44
ENSMUSP00000043691-mafft-cds.fa	193	1084	643.0051813471503	193	0	192	0	1	1082	736	0	1	1084	926.0	1	0	0	1084	0	0	0
ENSMUSP00000017365-mafft-cds.fa	193	440	379.62176165803106	190	1	33	0	1	440	405	38	160	402	394.28125	157	1	0	19	0	196	195
ENSMUSP00000120830-mafft-cds.fa	194	574	435.80927835051546	194	0	111	0	0	574	558	0	83	574	506.144578313253	83	0	0	33	0	390	374
ENSMUSP00000037356-mafft-cds.fa	193	529	478.32124352331607	193	0	19	0	1	529	520	13	174	516	484.2298850574713	174	0	0	17	1	272	270
ENSMUSP00000027802-mafft-cds.fa	193	321	278.9896373056995	193	0	44	0	1	321	318	5	149	316	296.22147651006713	149	0	0	5	1	242	242
ENSMUSP00000108326-mafft-cds.fa	193	380	345.0362694300518	193	0	25	0	1	380	373	7	168	373	356.0059523809524	168	0	0	0	1	185	183
ENSMUSP00000110593-mafft-cds.fa	194	1330	1247.2113402061855	194	0	12	1	0	1226	1220	4	182	1326	1275.8846153846155	182	0	0	28	0	871	867
ENSMUSP00000117583-mafft-cds.fa	184	37	35.84782608695652	101	16	3	0	1	12	11	0	181	37	35.966850828729285	98	16	0	0	1	2	1
ENSMUSP00000156847-mafft-cds.fa	192	131	124.77604166666667	177	4	8	0	1	60	59	4	184	127	124.8804347826087	166	4	0	0	1	21	20
ENSMUSP00000078540-mafft-cds.fa	194	889	725.8659793814433	194	0	68	0	2	889	851	47	126	842	783.2460317460317	126	0	0	21	1	614	613
ENSMUSP00000092242-mafft-cds.fa	193	229	195.41450777202073	193	0	46	0	4	168	147	21	147	208	202.8843537414966	147	0	0	16	1	39	37
ENSMUSP00000106410-mafft-cds.fa	194	786	706.2061855670103	194	0	32	0	0	685	673	17	162	769	733.6851851851852	162	0	0	26	0	556	555
ENSMUSP00000133216-mafft-cds.fa	179	863	809.4860335195531	179	0	27	1	0	676	674	0	152	863	846.2763157894736	152	0	0	42	0	208	206
ENSMUSP00000084838-mafft-cds.fa	192	223	174.59375	187	2	97	0	0	223	223	0	95	223	207.1157894736842	90	2	0	22	0	119	119
ENSMUSP00000037257-mafft-cds.fa	193	59	30.243523316062177	85	25	185	0	0	59	58	0	8	59	59.0	8	0	0	13	0	0	0
ENSMUSP00000136467-mafft-cds.fa	193	438	316.6839378238342	193	0	117	0	0	438	416	0	76	438	387.36842105263156	76	0	0	34	0	319	297
ENSMUSP00000064084-mafft-cds.fa	194	735	644.9329896907217	194	0	42	0	10	717	700	17	152	718	673.5657894736842	152	0	0	18	10	414	406
ENSMUSP00000037238-mafft-cds.fa	193	197	179.23834196891193	188	2	38	0	1	197	196	0	155	197	191.9806451612903	150	2	0	9	0	75	74
ENSMUSP00000113527-mafft-cds.fa	193	646	600.7979274611399	193	0	17	0	0	646	645	0	176	646	617.7556818181819	176	0	0	1	0	605	604
ENSMUSP00000128391-mafft-cds.fa	193	444	391.2746113989637	193	0	58	0	0	444	444	0	135	444	426.1111111111111	135	0	0	12	0	300	300
ENSMUSP00000013559-mafft-cds.fa	194	613	386.2113402061856	194	0	186	0	11	613	498	0	8	613	499.375	8	0	0	355	0	117	2
ENSMUSP00000034594-mafft-cds.fa	187	313	285.96256684491976	185	1	31	0	0	272	262	9	156	304	296.71153846153845	154	1	0	8	0	105	100
ENSMUSP00000146101-mafft-cds.fa	194	522	475.6082474226804	194	0	13	0	0	466	452	14	181	508	483.34806629834253	181	0	0	4	0	392	387
ENSMUSP00000156005-mafft-cds.fa	191	72	67.32984293193718	115	18	27	0	0	72	72	0	164	72	71.82926829268293	100	15	0	10	0	9	9
ENSMUSP00000113499-mafft-cds.fa	193	434	369.7979274611399	193	0	53	0	0	434	410	33	140	401	388.55	140	0	0	16	0	110	108
ENSMUSP00000094882-mafft-cds.fa	193	1721	1324.19689119171	193	0	103	0	0	1721	1617	0	90	1721	1470.6222222222223	90	0	0	113	0	1131	1058
ENSMUSP00000068971-mafft-cds.fa	193	300	290.65284974093265	189	2	13	0	0	300	299	0	180	300	296.0111111111111	176	2	0	7	0	128	127
ENSMUSP00000107233-mafft-cds.fa	193	700	629.0362694300518	191	1	33	0	0	635	633	0	160	700	658.78125	158	1	0	8	0	506	504
ENSMUSP00000118125-mafft-cds.fa	193	119	107.97409326424871	187	3	41	0	0	89	89	0	152	119	118.46052631578948	148	2	0	5	0	21	21
ENSMUSP00000158711-mafft-cds.fa	167	48	47.868263473053894	103	17	1	2	0	0	0	0	166	48	48.0	102	17	0	2	0	0	0
ENSMUSP00000102923-mafft-cds.fa	190	185	157.9	171	8	35	0	1	153	135	18	155	167	165.8516129032258	138	7	0	19	1	5	4
ENSMUSP00000088057-mafft-cds.fa	194	209	176.46907216494844	188	2	81	2	53	173	164	9	113	200	189.24778761061947	113	0	0	8	48	107	103
ENSMUSP00000039452-mafft-cds.fa	194	4138	1254.4175257731958	194	0	194	0	1	4077	1299	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSP00000065877-mafft-cds.fa	193	405	352.10362694300517	193	0	43	0	0	405	396	8	150	397	383.18666666666667	150	0	0	8	0	144	141
ENSMUSP00000038653-mafft-cds.fa	193	892	699.7979274611399	193	0	74	4	0	865	817	63	119	829	770.5378151260504	119	0	0	46	0	315	306
ENSMUSP00000036721-mafft-cds.fa	193	294	249.66839378238342	191	1	59	0	0	294	294	0	134	294	273.1044776119403	132	1	0	15	0	156	156
ENSMUSP00000052444-mafft-cds.fa	184	368	345.6630434782609	178	3	25	5	0	314	312	9	159	359	356.9496855345912	153	3	0	33	0	57	57
ENSMUSP00000129591-mafft-cds.fa	190	121	115.19473684210526	168	7	7	0	1	64	60	0	183	121	116.74863387978142	161	7	0	0	1	29	25
ENSMUSP00000108207-mafft-cds.fa	194	1469	1327.3350515463917	194	0	4	12	1	1241	1210	77	190	1392	1308.8526315789475	190	0	0	60	1	993	991
ENSMUSP00000101759-mafft-cds.fa	193	153	140.87564766839378	175	7	35	0	0	153	152	0	158	153	151.873417721519	142	6	0	14	0	2	1
ENSMUSP00000029178-mafft-cds.fa	193	291	265.26943005181346	191	1	20	0	0	291	283	10	173	281	272.94797687861274	171	1	0	10	0	185	185
ENSMUSP00000125253-mafft-cds.fa	194	503	473.1958762886598	192	1	30	18	0	294	294	0	164	503	499.2621951219512	162	1	0	46	0	124	124
ENSMUSP00000062327-mafft-cds.fa	176	371	340.0681818181818	176	0	43	5	0	284	284	0	133	371	364.77443609022555	133	0	0	8	0	125	125
ENSMUSP00000077873-mafft-cds.fa	183	168	143.12568306010928	178	2	54	0	0	168	168	0	129	168	166.74418604651163	129	0	0	8	0	29	29
ENSMUSP00000156983-mafft-cds.fa	194	788	695.7989690721649	190	2	40	0	2	788	784	0	154	788	763.2272727272727	150	2	0	13	2	208	204
ENSMUSP00000074360-mafft-cds.fa	194	963	874.6237113402062	194	0	18	0	1	824	816	35	176	928	885.2613636363636	176	0	0	10	1	642	639
ENSMUSP00000079592-mafft-cds.fa	193	401	344.42487046632124	193	0	42	1	1	346	343	0	151	401	382.49006622516555	151	0	0	15	1	105	103
ENSMUSP00000065397-mafft-cds.fa	193	212	188.47150259067357	193	0	28	0	0	198	187	16	165	196	190.1090909090909	165	0	0	6	0	42	38
ENSMUSP00000112852-mafft-cds.fa	194	1950	1867.2577319587629	194	0	5	24	0	1373	1339	46	189	1904	1871.7777777777778	187	1	0	123	0	833	833
ENSMUSP00000133555-mafft-cds.fa	194	107	104.83505154639175	147	14	9	1	0	106	106	0	185	107	106.41621621621621	138	14	0	10	0	21	21
ENSMUSP00000112683-mafft-cds.fa	193	57	54.129533678756474	134	20	15	0	0	26	25	0	178	57	56.07865168539326	123	18	0	3	0	1	0
ENSMUSP00000021217-mafft-cds.fa	189	163	79.58201058201058	189	0	186	0	5	163	114	0	3	163	150.66666666666666	3	0	0	113	0	12	0
ENSMUSP00000050014-mafft-cds.fa	193	280	254.0621761658031	188	2	28	0	0	280	278	0	165	280	265.4787878787879	160	2	0	14	0	172	170
ENSMUSP00000091452-mafft-cds.fa	194	630	614.6340206185567	190	2	2	9	1	408	405	4	192	626	614.2395833333334	188	2	0	16	0	379	378
ENSMUSP00000037525-mafft-cds.fa	192	170	158.83854166666666	181	5	26	0	0	170	170	0	166	170	168.05421686746988	155	5	0	10	0	37	37
