# CDS alignment filter
# PYTHON VERSION: 3.8.8
# Script call:    06_aln_filter.py -i ../03-Alignments/roycroft/original_used_for_analysis-fa/ -f NA --count -o roycroft-stats-2
# Runtime:        03/23/2021 11:15:58
# ----------------
# IO OPTIONS
# Input CDS directory:    /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/roycroft/original_used_for_analysis-fa
# Sequence gappiness threshold:20
# Codon site gappiness threshold:50
# Output directory:       /mnt/beegfs/gt156213e/murinae-seq/03-Alignment-scripts/roycroft-stats-2-fNA-seq20-site50
# --count set:            Will not output sequences.
# Log file:               /mnt/beegfs/gt156213e/murinae-seq/03-Alignment-scripts/roycroft-stats-2-fNA-seq20-site50/aln-stats-fNA-seq20-site50.tab
# ----------------
# 03.23.2021 | 11:15:58 Beginning filter.
align	pre num seqs	pre codon aln length	pre avg nongap length	pre uniq seqs	pre ident seqs	pre gappy seqs	pre invariant sites	pre stop codons	pre percent sites with gap	pre gappy sites
CCDS291511Mm106chr18.fa	38	288	242.21052631578948	33	1	6	0	0	288	283
CCDS291441Mm106chr18.fa	38	397	365.3421052631579	38	0	4	48	0	213	213
CCDS525291Mm106chr8.fa	38	298	239.60526315789474	38	0	14	4	6	265	265
CCDS567221Mm106chr10.fa	38	87	78.5	38	0	5	10	0	48	46
CCDS300601Mm106chrX.fa	38	142	134.81578947368422	38	0	3	5	0	74	74
CCDS229111Mm106chr9.fa	38	136	111.84210526315789	36	1	12	0	0	110	102
CCDS274261Mm106chr15.fa	38	31	23.105263157894736	24	4	10	0	0	31	31
CCDS198901Mm106chr5.fa	38	1044	946.6578947368421	38	0	3	68	0	555	542
CCDS511681Mm106chr4.fa	38	236	198.55263157894737	38	0	13	19	0	178	178
CCDS286571Mm106chr17.fa	38	436	368.5263157894737	38	0	10	0	0	413	413
CCDS195121Mm106chr5.fa	38	180	151.73684210526315	38	0	16	19	0	111	110
CCDS286421Mm106chr17.fa	38	134	124.71052631578948	38	0	4	8	0	93	92
CCDS253021Mm106chr11.fa	38	70	59.973684210526315	38	0	7	0	0	56	56
CCDS223871Mm106chr8.fa	38	35	24.94736842105263	29	2	16	0	0	35	35
CCDS253171Mm106chr11.fa	38	738	686.9473684210526	38	0	3	11	1	507	504
CCDS388901Mm106chr4.fa	38	45	38.026315789473685	36	1	10	0	1	45	45
CCDS210881Mm106chr7.fa	38	626	524.6578947368421	38	0	9	67	0	415	415
CCDS358361Mm106chr10.fa	38	173	125.5	38	0	21	14	0	154	152
CCDS355501Mm106chr1.fa	38	228	201.07894736842104	38	0	7	23	0	121	121
CCDS295581Mm106chr19.fa	38	277	259.07894736842104	38	0	2	0	0	188	188
CCDS289582Mm106chr17.fa	38	1697	1584.421052631579	38	0	0	220	0	663	661
CCDS237781Mm106chr10.fa	38	409	354.8157894736842	38	0	12	98	0	172	167
CCDS498431Mm106chr16.fa	38	112	103.89473684210526	36	1	5	17	0	36	36
CCDS190671Mm106chr5.fa	38	47	42.89473684210526	36	1	5	0	0	47	47
CCDS408401Mm106chrX.fa	38	794	682.3157894736842	38	0	10	61	0	586	581
CCDS482451Mm106chr1.fa	38	361	305.2631578947368	38	0	9	0	0	331	331
CCDS386501Mm106chr3.fa	38	531	487.86842105263156	38	0	2	17	0	331	331
CCDS224131Mm106chr8.fa	38	227	202.3684210526316	38	0	5	25	0	123	122
CCDS225431Mm106chr8.fa	38	341	313.3421052631579	38	0	3	59	0	135	135
CCDS192861Mm106chr5.fa	38	374	361.6842105263158	38	0	0	117	0	73	73
CCDS272671Mm106chr14.fa	38	651	629.3947368421053	38	0	0	128	0	130	127
CCDS810821Mm106chr9.fa	38	502	440.7105263157895	38	0	5	0	0	427	415
CCDS173142Mm106chr3.fa	38	488	439.92105263157896	38	0	5	39	0	293	291
CCDS212691Mm106chr7.fa	38	386	336.2631578947368	38	0	6	34	0	270	266
CCDS297051Mm106chr19.fa	38	59	51.421052631578945	28	3	8	0	0	44	44
CCDS219921Mm106chr7.fa	38	357	320.0	38	0	7	19	0	207	207
CCDS213391Mm106chr7.fa	38	641	577.8684210526316	38	0	6	46	0	422	421
CCDS388871Mm106chr4.fa	38	210	185.97368421052633	38	0	6	0	0	192	191
CCDS491181Mm106chr12.fa	38	346	309.0263157894737	38	0	4	56	0	129	120
CCDS194551Mm106chr5.fa	38	267	223.3421052631579	38	0	11	25	0	237	236
CCDS279901Mm106chr16.fa	38	639	572.6315789473684	38	0	5	88	0	371	369
CCDS298721Mm106chr19.fa	38	67	46.44736842105263	31	2	19	0	0	67	67
CCDS195051Mm106chr5.fa	38	321	290.39473684210526	38	0	4	42	0	154	147
CCDS366241Mm106chr13.fa	38	569	514.578947368421	38	0	5	33	0	369	369
CCDS364711Mm106chr12.fa	38	514	458.2105263157895	38	0	3	80	0	233	230
CCDS364641Mm106chr12.fa	38	184	171.0	38	0	3	0	0	134	134
CCDS223901Mm106chr8.fa	38	156	124.15789473684211	38	0	17	11	0	108	108
CCDS191201Mm106chr5.fa	38	371	335.3421052631579	38	0	5	50	0	193	191
CCDS190701Mm106chr5.fa	38	1822	1605.0	38	0	4	114	0	1007	992
CCDS245211Mm106chr11.fa	38	387	375.5	38	0	0	74	0	76	76
CCDS483021Mm106chr1.fa	38	82	69.57894736842105	38	0	12	0	0	60	60
CCDS526321Mm106chr8.fa	38	813	621.7105263157895	38	0	21	5	0	782	776
CCDS245341Mm106chr11.fa	38	784	728.421052631579	38	0	1	99	0	334	333
CCDS355471Mm106chr1.fa	38	358	309.3421052631579	38	0	8	14	0	256	256
CCDS269032Mm106chr14.fa	38	49	37.078947368421055	34	2	15	0	0	49	49
CCDS167591Mm106chr2.fa	38	59	48.31578947368421	38	0	12	0	0	45	45
CCDS225541Mm106chr8.fa	38	123	119.47368421052632	38	0	1	21	0	23	23
CCDS280981Mm106chr16.fa	38	255	224.94736842105263	38	0	5	0	0	228	224
CCDS192911Mm106chr5.fa	38	344	312.94736842105266	38	0	4	18	0	179	178
CCDS381531Mm106chr2.fa	38	279	277.0	38	0	0	71	0	17	17
CCDS289201Mm106chr17.fa	38	210	182.97368421052633	38	0	8	25	0	143	142
CCDS219851Mm106chr7.fa	38	433	403.86842105263156	38	0	1	73	0	171	170
CCDS289351Mm106chr17.fa	38	26	22.5	10	2	8	0	0	26	26
CCDS293821Mm106chr18.fa	38	221	207.76315789473685	38	0	3	17	0	82	82
CCDS221711Mm106chr8.fa	38	153	129.18421052631578	38	0	12	0	0	108	108
CCDS149151Mm106chr1.fa	38	44	42.3421052631579	35	1	2	0	0	17	17
CCDS284911Mm106chr17.fa	38	196	186.81578947368422	38	0	1	38	0	56	56
CCDS284841Mm106chr17.fa	38	245	213.07894736842104	38	0	6	27	0	136	136
CCDS227081Mm106chr8.fa	38	32	21.026315789473685	28	2	19	0	0	32	32
CCDS226581Mm106chr8.fa	38	264	236.44736842105263	38	0	6	7	0	178	178
CCDS404051Mm106chr8.fa	38	75	68.02631578947368	38	0	5	9	0	48	48
CCDS214071Mm106chr7.fa	38	130	119.05263157894737	36	1	5	0	0	130	130
CCDS211721Mm106chr7.fa	38	221	194.3684210526316	38	0	6	2	0	137	134
CCDS210221Mm106chr7.fa	38	237	168.21052631578948	35	1	18	0	0	237	236
CCDS406641Mm106chr9.fa	38	62	57.6578947368421	36	1	6	10	0	21	21
CCDS407341Mm106chr9.fa	38	543	522.5526315789474	38	0	1	45	0	110	110
CCDS160701Mm106chr2.fa	38	750	627.2631578947369	38	0	17	176	0	229	229
CCDS575881Mm106chr7.fa	38	242	199.07894736842104	38	0	16	19	0	173	172
CCDS219381Mm106chr7.fa	38	316	287.2105263157895	38	0	5	64	0	143	143
CCDS161201Mm106chr2.fa	38	566	525.3947368421053	38	0	1	137	0	214	213
CCDS218681Mm106chr7.fa	38	317	280.5	38	0	6	13	2	252	244
CCDS248901Mm106chr11.fa	38	308	283.94736842105266	38	0	4	25	0	210	208
CCDS232022Mm106chr9.fa	38	62	58.10526315789474	32	3	2	0	0	38	37
CCDS248851Mm106chr11.fa	38	610	564.1052631578947	38	0	3	76	0	256	256
CCDS266032Mm106chr13.fa	38	228	213.47368421052633	38	0	2	22	0	112	111
CCDS403911Mm106chr8.fa	38	89	79.3157894736842	36	1	6	0	0	89	89
CCDS305021Mm106chrX.fa	38	401	356.2105263157895	38	0	7	31	0	246	246
CCDS197591Mm106chr5.fa	38	453	386.63157894736844	38	0	10	12	0	388	388
CCDS513231Mm106chr4.fa	38	386	344.60526315789474	38	0	4	21	0	236	236
CCDS196091Mm106chr5.fa	38	288	268.8157894736842	38	0	2	45	0	116	116
CCDS370781Mm106chr15.fa	38	153	133.23684210526315	38	0	8	4	0	94	93
CCDS301271Mm106chrX.fa	38	212	188.18421052631578	38	0	11	18	1	148	148
CCDS159302Mm106chr2.fa	38	299	264.3421052631579	38	0	5	6	0	201	201
CCDS243681Mm106chr11.fa	38	167	145.71052631578948	38	0	8	21	0	92	92
CCDS229061Mm106chr9.fa	38	352	319.2368421052632	38	0	6	90	0	186	186
CCDS241281Mm106chr10.fa	38	482	443.07894736842104	38	0	3	57	0	185	184
CCDS198871Mm106chr5.fa	38	242	218.44736842105263	38	0	6	28	0	152	148
CCDS369241Mm106chr14.fa	38	270	232.1315789473684	38	0	11	42	0	169	168
CCDS165051Mm106chr2.fa	38	654	576.921052631579	38	0	2	141	0	269	269
CCDS164551Mm106chr2.fa	38	359	337.4736842105263	38	0	3	64	0	159	155
CCDS369311Mm106chr14.fa	38	44	35.55263157894737	34	2	12	0	0	44	44
CCDS299581Mm106chrX.fa	38	392	340.8421052631579	38	0	8	2	0	365	359
CCDS379721Mm106chr19.fa	38	114	95.0	38	0	13	0	0	114	114
CCDS239971Mm106chr10.fa	38	56	46.0	38	0	11	0	0	56	56
CCDS239821Mm106chr10.fa	38	125	101.02631578947368	38	0	17	0	0	55	52
CCDS379671Mm106chr19.fa	38	1520	1407.1315789473683	38	0	1	63	0	771	758
CCDS203341Mm106chr6.fa	38	230	200.31578947368422	38	0	7	0	0	139	137
CCDS179831Mm106chr4.fa	38	305	277.7105263157895	38	0	3	75	0	96	86
CCDS202641Mm106chr6.fa	38	596	541.9473684210526	38	0	1	107	0	217	212
CCDS281151Mm106chr16.fa	38	656	626.3421052631579	38	0	4	63	0	204	203
CCDS267781Mm106chr13.fa	38	554	530.8947368421053	38	0	1	99	0	156	155
CCDS281001Mm106chr16.fa	38	567	308.86842105263156	34	1	33	0	0	567	402
CCDS277781Mm106chr15.fa	38	398	344.7368421052632	38	0	4	25	0	251	244
CCDS150951Mm106chr1.fa	38	725	573.921052631579	38	0	15	85	9	367	294
CCDS373211Mm106chr16.fa	38	247	223.05263157894737	38	0	4	11	0	132	131
CCDS490801Mm106chr12.fa	38	28	24.210526315789473	24	6	4	0	0	28	27
CCDS152741Mm106chr1.fa	38	265	241.57894736842104	38	0	5	21	0	147	147
CCDS153241Mm106chr1.fa	38	985	873.3157894736842	38	0	4	97	0	510	504
CCDS265301Mm106chr13.fa	38	242	224.76315789473685	38	0	5	22	0	81	81
CCDS254481Mm106chr11.fa	38	99	95.86842105263158	36	1	0	18	0	18	18
CCDS176131Mm106chr3.fa	38	1038	964.421052631579	38	0	2	236	0	408	389
CCDS171071Mm106chr2.fa	38	362	305.10526315789474	38	0	13	49	0	240	238
CCDS503011Mm106chr18.fa	38	899	842.078947368421	38	0	0	125	0	316	313
CCDS170571Mm106chr2.fa	38	186	152.1315789473684	38	0	13	23	0	118	118
CCDS157661Mm106chr2.fa	38	263	238.44736842105263	38	0	3	16	0	145	143
CCDS576851Mm106chr9.fa	38	643	544.0526315789474	38	0	8	25	2	430	418
CCDS275301Mm106chr15.fa	38	97	74.07894736842105	38	0	20	0	0	87	87
CCDS259651Mm106chr12.fa	38	456	249.8421052631579	34	1	30	0	0	456	350
CCDS259701Mm106chr12.fa	38	55	51.526315789473685	26	2	5	0	0	20	20
CCDS575502Mm106chr7.fa	38	328	257.0	30	1	8	0	0	328	328
CCDS252141Mm106chr11.fa	38	1191	1114.6052631578948	38	0	2	166	0	498	497
CCDS395781Mm106chr6.fa	38	425	408.94736842105266	38	0	0	126	0	103	103
CCDS182361Mm106chr4.fa	38	141	116.07894736842105	38	0	11	19	0	72	58
CCDS263791Mm106chr13.fa	38	229	221.8684210526316	32	2	2	21	0	60	60
CCDS252011Mm106chr11.fa	38	179	164.57894736842104	36	1	6	0	0	179	179
CCDS394281Mm106chr6.fa	38	125	103.10526315789474	38	0	13	0	0	125	124
CCDS150281Mm106chr1.fa	38	222	221.92105263157896	35	1	0	161	0	0	0
CCDS399971Mm106chr7.fa	38	367	334.57894736842104	38	0	2	31	0	163	162
CCDS278941Mm106chr15.fa	38	242	235.89473684210526	32	2	2	47	0	38	37
CCDS249081Mm106chr11.fa	38	363	355.13157894736844	38	0	1	40	0	44	43
CCDS361972Mm106chr11.fa	38	1006	823.1842105263158	38	0	15	0	0	856	837
CCDS359201Mm106chr10.fa	38	567	533.8157894736842	38	0	0	97	0	188	187
CCDS359351Mm106chr10.fa	38	890	715.5526315789474	38	0	15	39	0	356	243
CCDS186131Mm106chr4.fa	38	22	16.07894736842105	19	3	10	0	0	22	22
CCDS187431Mm106chr4.fa	38	329	228.97368421052633	36	1	24	0	0	329	309
CCDS273791Mm106chr15.fa	38	280	273.10526315789474	38	0	1	43	0	42	42
CCDS230861Mm106chr9.fa	38	254	240.57894736842104	38	0	1	36	0	63	62
CCDS200381Mm106chr6.fa	38	336	249.92105263157896	35	1	15	0	8	336	331
CCDS178201Mm106chr3.fa	38	704	677.6842105263158	38	0	1	84	0	141	141
CCDS201681Mm106chr6.fa	38	337	336.8157894736842	36	1	0	230	0	0	0
CCDS285091Mm106chr17.fa	38	447	409.8157894736842	38	0	1	36	0	237	237
CCDS232671Mm106chr9.fa	38	153	124.0	38	0	15	0	0	130	130
CCDS250491Mm106chr11.fa	38	170	145.18421052631578	38	0	10	11	0	104	104
CCDS153991Mm106chr1.fa	38	233	215.57894736842104	38	0	2	19	0	121	120
CCDS181871Mm106chr4.fa	38	1757	1611.578947368421	38	0	1	227	0	796	795
CCDS507521Mm106chr2.fa	38	49	43.473684210526315	33	2	7	0	0	14	14
CCDS499481Mm106chr17.fa	38	104	90.97368421052632	38	0	10	8	0	64	64
CCDS193192Mm106chr5.fa	38	296	275.5263157894737	38	0	2	70	0	114	114
CCDS296131Mm106chr19.fa	38	37	30.18421052631579	9	7	7	0	0	37	37
CCDS158051Mm106chr2.fa	38	447	429.42105263157896	38	0	1	50	0	66	66
CCDS159551Mm106chr2.fa	38	268	226.42105263157896	38	0	9	21	0	177	177
CCDS267871Mm106chr13.fa	38	706	629.1578947368421	38	0	4	51	0	419	419
CCDS235601Mm106chr9.fa	38	588	525.8684210526316	38	0	3	0	0	511	511
CCDS288521Mm106chr17.fa	38	600	376.0263157894737	38	0	36	89	0	426	251
CCDS288471Mm106chr17.fa	38	160	136.26315789473685	38	0	11	14	0	107	107
CCDS486531Mm106chr10.fa	38	31	26.973684210526315	33	2	5	0	0	31	31
CCDS211842Mm106chr7.fa	38	97	67.21052631578948	38	0	21	0	0	97	95
CCDS277871Mm106chr15.fa	38	253	221.42105263157896	38	0	6	16	0	101	96
CCDS231451Mm106chr9.fa	38	208	171.1315789473684	38	0	12	0	0	192	184
CCDS392181Mm106chr5.fa	38	552	475.86842105263156	38	0	8	49	0	307	302
CCDS709461Mm106chr19.fa	38	19	17.5	10	6	3	0	0	19	19
CCDS173481Mm106chr3.fa	38	2742	2252.3947368421054	38	0	13	81	0	2195	2085
CCDS157481Mm106chr2.fa	38	345	313.92105263157896	38	0	3	34	0	174	174
CCDS299001Mm106chr19.fa	38	446	412.55263157894734	38	0	2	47	0	188	188
CCDS299151Mm106chr19.fa	38	223	195.42105263157896	38	0	9	8	0	147	147
CCDS532231Mm106chrX.fa	38	243	230.42105263157896	36	1	2	75	0	106	105
CCDS185311Mm106chr4.fa	38	105	88.3157894736842	38	0	10	0	0	79	79
CCDS184611Mm106chr4.fa	38	349	322.44736842105266	38	0	2	65	2	114	108
CCDS244531Mm106chr11.fa	38	286	274.92105263157896	38	0	4	91	0	96	96
CCDS244461Mm106chr11.fa	38	312	299.0	38	0	0	43	0	126	126
CCDS217402Mm106chr7.fa	38	519	476.92105263157896	38	0	3	78	0	214	214
CCDS520591Mm106chr7.fa	38	44	42.36842105263158	31	3	3	12	0	11	11
CCDS158961Mm106chr2.fa	38	26	24.894736842105264	21	3	1	0	0	7	7
CCDS391141Mm106chr5.fa	38	920	843.0263157894736	38	0	0	125	0	423	420
CCDS571291Mm106chr19.fa	38	64	54.44736842105263	38	0	8	0	0	36	36
CCDS263931Mm106chr13.fa	38	37	27.763157894736842	32	1	11	0	0	37	35
CCDS154231Mm106chr1.fa	38	354	292.0	38	0	14	15	1	258	248
CCDS397371Mm106chr7.fa	38	583	512.8947368421053	38	0	7	63	0	378	378
CCDS273931Mm106chr15.fa	38	749	712.1315789473684	38	0	0	228	0	210	206
CCDS151561Mm106chr1.fa	38	82	70.57894736842105	38	0	11	0	0	82	82
CCDS236911Mm106chr10.fa	38	87	82.3157894736842	32	1	2	0	0	54	54
CCDS150061Mm106chr1.fa	38	180	159.8421052631579	38	0	7	26	0	60	59
CCDS273861Mm106chr15.fa	38	439	350.6842105263158	38	0	14	45	0	312	305
CCDS172251Mm106chr2.fa	38	30	21.710526315789473	25	3	13	0	1	30	29
CCDS368431Mm106chr14.fa	38	518	471.55263157894734	38	0	2	31	1	246	242
CCDS174611Mm106chr3.fa	38	304	235.57894736842104	36	1	8	0	0	304	304
CCDS175311Mm106chr3.fa	38	87	79.76315789473684	32	3	5	0	0	87	87
CCDS193372Mm106chr5.fa	38	2196	1992.342105263158	38	0	1	252	0	1097	1092
CCDS204331Mm106chr6.fa	38	824	751.1842105263158	38	0	2	32	0	511	511
CCDS176801Mm106chr3.fa	38	719	655.5526315789474	38	0	2	101	0	262	246
CCDS571211Mm106chr18.fa	38	483	413.2631578947368	38	0	7	10	0	387	385
CCDS200161Mm106chr6.fa	38	308	198.89473684210526	38	0	30	0	0	298	263
CCDS268871Mm106chr14.fa	38	945	910.7368421052631	38	0	1	159	0	167	167
CCDS268921Mm106chr14.fa	38	216	187.31578947368422	38	0	14	7	0	132	132
CCDS201461Mm106chr6.fa	38	194	155.78947368421052	32	2	10	0	0	194	193
CCDS242121Mm106chr10.fa	38	233	213.3684210526316	38	0	5	0	0	108	107
CCDS232491Mm106chr9.fa	38	82	72.36842105263158	36	1	5	0	0	82	82
CCDS410141Mm106chrX.fa	38	78	69.47368421052632	38	0	6	0	0	51	51
CCDS264421Mm106chr13.fa	38	228	207.07894736842104	38	0	6	0	0	211	211
CCDS302051Mm106chrX.fa	38	494	457.4736842105263	38	0	4	46	0	292	292
CCDS404961Mm106chr8.fa	38	101	91.02631578947368	38	0	5	0	0	101	101
CCDS264571Mm106chr13.fa	38	87	74.36842105263158	38	0	7	11	0	49	49
CCDS214941Mm106chr7.fa	38	231	183.1578947368421	38	0	15	0	0	231	214
CCDS502661Mm106chr18.fa	38	177	139.3684210526316	38	0	15	10	0	144	138
CCDS387771Mm106chr4.fa	38	606	534.4473684210526	38	0	2	5	0	266	246
CCDS384881Mm106chr3.fa	38	228	211.0	38	0	2	61	0	64	64
CCDS841691Mm106chr15.fa	38	3812	3602.3684210526317	38	0	0	502	1	1156	1149
CCDS167771Mm106chr2.fa	38	32	31.289473684210527	24	4	2	5	0	7	7
CCDS183902Mm106chr4.fa	38	56	45.76315789473684	38	0	12	0	0	56	56
CCDS291351Mm106chr18.fa	38	171	141.52631578947367	38	0	16	8	0	123	123
CCDS485831Mm106chr10.fa	38	108	108.0	21	2	0	67	0	0	0
CCDS274421Mm106chr15.fa	38	118	114.47368421052632	38	0	0	22	0	24	24
CCDS258171Mm106chr12.fa	38	170	158.81578947368422	38	0	3	21	0	80	80
CCDS258021Mm106chr12.fa	38	513	459.86842105263156	38	0	7	70	0	379	379
CCDS567461Mm106chr10.fa	38	906	830.1842105263158	38	0	1	114	0	396	393
CCDS403021Mm106chr8.fa	38	196	164.0	38	0	12	0	0	196	196
CCDS257721Mm106chr11.fa	38	262	217.39473684210526	38	0	12	0	0	252	252
CCDS257671Mm106chr11.fa	38	340	272.2368421052632	35	1	10	0	0	340	329
CCDS501901Mm106chr17.fa	38	124	98.02631578947368	38	0	17	12	0	88	80
CCDS402521Mm106chr8.fa	38	50	46.5	38	0	3	4	0	16	16
CCDS405461Mm106chr9.fa	38	383	365.7368421052632	38	0	1	135	0	88	87
CCDS247961Mm106chr11.fa	38	54	38.31578947368421	38	0	30	0	0	34	25
CCDS198141Mm106chr5.fa	38	144	142.31578947368422	38	0	0	29	0	9	9
CCDS529421Mm106chr9.fa	38	1715	1489.5	38	0	10	102	0	1173	1165
CCDS165961Mm106chr2.fa	38	86	80.5	38	0	4	17	0	30	30
CCDS199231Mm106chr6.fa	38	162	138.73684210526315	38	0	10	22	0	101	101
CCDS180212Mm106chr4.fa	38	277	248.31578947368422	38	0	5	17	0	204	204
CCDS293681Mm106chr18.fa	38	248	236.0	38	0	1	57	0	74	74
CCDS372531Mm106chr16.fa	38	873	812.6315789473684	38	0	2	166	0	341	339
CCDS187082Mm106chr4.fa	38	281	221.92105263157896	38	0	18	5	0	253	238
