target_name,protein_coding,feature_type,chrom,strand,gene_id,gene_start,gene_end,gene_length,transcript_id,transcript_start,transcript_end,transcript_length,protein_id,protein_start,protein_end,protein_length,exon_id,exon_no,exon_start,exon_end,exon_length,matching_sample_count,rat_exon_id
chr1_trid-ENSMUST00000001027_exid-ENSMUSE00001053344,TRUE,CDS,1,+,ENSMUSG00000063558,58029931,58106413,76482,ENSMUST00000001027,58029931,58106413,76482,ENSMUSP00000001027,58030020,58106075,76055,ENSMUSE00001053344,21,58076064,58076188,124,155,ENSRNOE00000149850
chr1_trid-ENSMUST00000001027_exid-ENSMUSE00001216170,TRUE,CDS,1,+,ENSMUSG00000063558,58029931,58106413,76482,ENSMUST00000001027,58029931,58106413,76482,ENSMUSP00000001027,58030020,58106075,76055,ENSMUSE00001216170,17,58068270,58068439,169,203,ENSRNOE00000149404
chr1_trid-ENSMUST00000001027_exid-ENSMUSE00001227814,TRUE,CDS,1,+,ENSMUSG00000063558,58029931,58106413,76482,ENSMUST00000001027,58029931,58106413,76482,ENSMUSP00000001027,58030020,58106075,76055,ENSMUSE00001227814,7,58054648,58054737,89,93,ENSRNOE00000147802
chr1_trid-ENSMUST00000001027_exid-ENSMUSE00001237381,TRUE,CDS,1,+,ENSMUSG00000063558,58029931,58106413,76482,ENSMUST00000001027,58029931,58106413,76482,ENSMUSP00000001027,58030020,58106075,76055,ENSMUSE00001237381,6,58053664,58053725,61,19,NA
chr1_trid-ENSMUST00000001027_exid-ENSMUSE00001238923,TRUE,CDS,1,+,ENSMUSG00000063558,58029931,58106413,76482,ENSMUST00000001027,58029931,58106413,76482,ENSMUSP00000001027,58030020,58106075,76055,ENSMUSE00001238923,16,58065274,58065366,92,47,NA
chr1_trid-ENSMUST00000001027_exid-ENSMUSE00001254388,TRUE,CDS,1,+,ENSMUSG00000063558,58029931,58106413,76482,ENSMUST00000001027,58029931,58106413,76482,ENSMUSP00000001027,58030020,58106075,76055,ENSMUSE00001254388,2,58041436,58041493,57,188,NA
chr1_trid-ENSMUST00000001027_exid-ENSMUSE00001263861,TRUE,CDS,1,+,ENSMUSG00000063558,58029931,58106413,76482,ENSMUST00000001027,58029931,58106413,76482,ENSMUSP00000001027,58030020,58106075,76055,ENSMUSE00001263861,15,58063372,58063534,162,201,ENSRNOE00000149271
chr1_trid-ENSMUST00000001027_exid-ENSMUSE00001264662,TRUE,CDS,1,+,ENSMUSG00000063558,58029931,58106413,76482,ENSMUST00000001027,58029931,58106413,76482,ENSMUSP00000001027,58030020,58106075,76055,ENSMUSE00001264662,5,58049363,58049489,126,185,ENSRNOE00000463300
chr1_trid-ENSMUST00000001027_exid-ENSMUSE00001269900,TRUE,CDS,1,+,ENSMUSG00000063558,58029931,58106413,76482,ENSMUST00000001027,58029931,58106413,76482,ENSMUSP00000001027,58030020,58106075,76055,ENSMUSE00001269900,8,58056214,58056294,80,197,NA
chr1_trid-ENSMUST00000001027_exid-ENSMUSE00001272031,TRUE,CDS,1,+,ENSMUSG00000063558,58029931,58106413,76482,ENSMUST00000001027,58029931,58106413,76482,ENSMUSP00000001027,58030020,58106075,76055,ENSMUSE00001272031,18,58068732,58068846,114,171,NA
chr1_trid-ENSMUST00000001027_exid-ENSMUSE00001275135,TRUE,CDS,1,+,ENSMUSG00000063558,58029931,58106413,76482,ENSMUST00000001027,58029931,58106413,76482,ENSMUSP00000001027,58030020,58106075,76055,ENSMUSE00001275135,9,58057414,58057558,144,200,ENSRNOE00000148182
chr1_trid-ENSMUST00000001027_exid-ENSMUSE00001291615,TRUE,CDS,1,+,ENSMUSG00000063558,58029931,58106413,76482,ENSMUST00000001027,58029931,58106413,76482,ENSMUSP00000001027,58030020,58106075,76055,ENSMUSE00001291615,3,58043542,58043638,96,193,NA
chr1_trid-ENSMUST00000001027_exid-ENSMUSE00001294890,TRUE,CDS,1,+,ENSMUSG00000063558,58029931,58106413,76482,ENSMUST00000001027,58029931,58106413,76482,ENSMUSP00000001027,58030020,58106075,76055,ENSMUSE00001294890,4,58047135,58047243,108,184,ENSRNOE00000147275
chr1_trid-ENSMUST00000001284_exid-ENSMUSE00000658694,FALSE,exon,1,+,ENSMUSG00000026641,171411313,171419142,7829,ENSMUST00000001284,171411313,171418121,6808,NA,NA,NA,NA,ENSMUSE00000658694,10,171418032,171418121,89,172,ENSRNOE00000041291
chr1_trid-ENSMUST00000001284_exid-ENSMUSE00000863220,FALSE,exon,1,+,ENSMUSG00000026641,171411313,171419142,7829,ENSMUST00000001284,171411313,171418121,6808,NA,NA,NA,NA,ENSMUSE00000863220,1,171411313,171411440,127,43,NA
chr1_trid-ENSMUST00000001284_exid-ENSMUSE00000872242,TRUE,CDS,1,+,ENSMUSG00000026641,171411313,171419142,7829,ENSMUST00000001284,171411313,171418121,6808,ENSMUSP00000001284,171414525,171416135,1610,ENSMUSE00000872242,4,171415715,171415799,84,207,ENSRNOE00000040071
chr1_trid-ENSMUST00000001284_exid-ENSMUSE00001220848,FALSE,exon,1,+,ENSMUSG00000026641,171411313,171419142,7829,ENSMUST00000001284,171411313,171418121,6808,NA,NA,NA,NA,ENSMUSE00001220848,7,171417242,171417329,87,205,ENSRNOE00000040545
chr1_trid-ENSMUST00000001284_exid-ENSMUSE00001229789,FALSE,exon,1,+,ENSMUSG00000026641,171411313,171419142,7829,ENSMUST00000001284,171411313,171418121,6808,NA,NA,NA,NA,ENSMUSE00001229789,8,171417473,171417531,58,202,ENSRNOE00000040728
chr1_trid-ENSMUST00000001284_exid-ENSMUSE00001236285,TRUE,CDS,1,+,ENSMUSG00000026641,171411313,171419142,7829,ENSMUST00000001284,171411313,171418121,6808,ENSMUSP00000001284,171414525,171416135,1610,ENSMUSE00001236285,2,171414522,171414529,7,180,ENSRNOE00000447385
chr1_trid-ENSMUST00000001284_exid-ENSMUSE00001267216,TRUE,CDS,1,+,ENSMUSG00000026641,171411313,171419142,7829,ENSMUST00000001284,171411313,171418121,6808,ENSMUSP00000001284,171414525,171416135,1610,ENSMUSE00001267216,3,171415505,171415554,49,203,NA
chr1_trid-ENSMUST00000001284_exid-ENSMUSE00001275008,FALSE,exon,1,+,ENSMUSG00000026641,171411313,171419142,7829,ENSMUST00000001284,171411313,171418121,6808,NA,NA,NA,NA,ENSMUSE00001275008,6,171416810,171417005,195,197,ENSRNOE00000040374
chr1_trid-ENSMUST00000001284_exid-ENSMUSE00001296253,TRUE,CDS,1,+,ENSMUSG00000026641,171411313,171419142,7829,ENSMUST00000001284,171411313,171418121,6808,ENSMUSP00000001284,171414525,171416135,1610,ENSMUSE00001296253,5,171416135,171416135,0,164,ENSRNOE00000040212
chr1_trid-ENSMUST00000001284_exid-ENSMUSE00001309703,FALSE,exon,1,+,ENSMUSG00000026641,171411313,171419142,7829,ENSMUST00000001284,171411313,171418121,6808,NA,NA,NA,NA,ENSMUSE00001309703,9,171417641,171417864,223,204,ENSRNOE00000041082
chr1_trid-ENSMUST00000001339_exid-ENSMUSE00000160988,TRUE,CDS,1,-,ENSMUSG00000001305,186720978,186749358,28380,ENSMUST00000001339,186720978,186749358,28380,ENSMUSP00000001339,186721406,186749305,27899,ENSMUSE00000160988,2,186739604,186739863,259,178,ENSRNOE00000023538
chr1_trid-ENSMUST00000001339_exid-ENSMUSE00000160989,TRUE,CDS,1,-,ENSMUSG00000001305,186720978,186749358,28380,ENSMUST00000001339,186720978,186749358,28380,ENSMUSP00000001339,186721406,186749305,27899,ENSMUSE00000160989,3,186737588,186737685,97,143,ENSRNOE00000023577
chr1_trid-ENSMUST00000001339_exid-ENSMUSE00000860097,TRUE,CDS,1,-,ENSMUSG00000001305,186720978,186749358,28380,ENSMUST00000001339,186720978,186749358,28380,ENSMUSP00000001339,186721406,186749305,27899,ENSMUSE00000860097,1,186749164,186749308,144,108,ENSRNOE00000339009
chr1_trid-ENSMUST00000001339_exid-ENSMUSE00000864338,TRUE,CDS,1,-,ENSMUSG00000001305,186720978,186749358,28380,ENSMUST00000001339,186720978,186749358,28380,ENSMUSP00000001339,186721406,186749305,27899,ENSMUSE00000864338,5,186721406,186721546,140,148,ENSRNOE00000023650
chr1_trid-ENSMUST00000001339_exid-ENSMUSE00001233688,TRUE,CDS,1,-,ENSMUSG00000001305,186720978,186749358,28380,ENSMUST00000001339,186720978,186749358,28380,ENSMUSP00000001339,186721406,186749305,27899,ENSMUSE00001233688,4,186736116,186736314,198,202,ENSRNOE00000023614
chr1_trid-ENSMUST00000001724_exid-ENSMUSE00000158194,TRUE,CDS,1,-,ENSMUSG00000001674,121553835,121567989,14154,ENSMUST00000001724,121553835,121567989,14154,ENSMUSP00000001724,121553999,121567872,13873,ENSMUSE00000158194,8,121559166,121559327,161,198,ENSRNOE00000223614
chr1_trid-ENSMUST00000001724_exid-ENSMUSE00000158195,TRUE,CDS,1,-,ENSMUSG00000001674,121553835,121567989,14154,ENSMUST00000001724,121553835,121567989,14154,ENSMUSP00000001724,121553999,121567872,13873,ENSMUSE00000158195,6,121561281,121561595,314,207,ENSRNOE00000223622
chr1_trid-ENSMUST00000001724_exid-ENSMUSE00000158196,TRUE,CDS,1,-,ENSMUSG00000001674,121553835,121567989,14154,ENSMUST00000001724,121553835,121567989,14154,ENSMUSP00000001724,121553999,121567872,13873,ENSMUSE00000158196,7,121560132,121560271,139,203,ENSRNOE00000223617
chr1_trid-ENSMUST00000001724_exid-ENSMUSE00000222681,TRUE,CDS,1,-,ENSMUSG00000001674,121553835,121567989,14154,ENSMUST00000001724,121553835,121567989,14154,ENSMUSP00000001724,121553999,121567872,13873,ENSMUSE00000222681,4,121562059,121562194,135,205,ENSRNOE00000223633
chr1_trid-ENSMUST00000001724_exid-ENSMUSE00000222688,TRUE,CDS,1,-,ENSMUSG00000001674,121553835,121567989,14154,ENSMUST00000001724,121553835,121567989,14154,ENSMUSP00000001724,121553999,121567872,13873,ENSMUSE00000222688,3,121564493,121564603,110,149,NA
chr1_trid-ENSMUST00000001724_exid-ENSMUSE00000337241,TRUE,CDS,1,-,ENSMUSG00000001674,121553835,121567989,14154,ENSMUST00000001724,121553835,121567989,14154,ENSMUSP00000001724,121553999,121567872,13873,ENSMUSE00000337241,1,121567791,121567875,84,161,ENSRNOE00000348053
chr1_trid-ENSMUST00000001724_exid-ENSMUSE00000383177,TRUE,CDS,1,-,ENSMUSG00000001674,121553835,121567989,14154,ENSMUST00000001724,121553835,121567989,14154,ENSMUSP00000001724,121553999,121567872,13873,ENSMUSE00000383177,13,121553999,121554138,139,205,ENSRNOE00000293381
chr1_trid-ENSMUST00000001724_exid-ENSMUSE00000492125,TRUE,CDS,1,-,ENSMUSG00000001674,121553835,121567989,14154,ENSMUST00000001724,121553835,121567989,14154,ENSMUSP00000001724,121553999,121567872,13873,ENSMUSE00000492125,5,121561690,121561790,100,205,ENSRNOE00000223628
chr1_trid-ENSMUST00000001724_exid-ENSMUSE00000498442,TRUE,CDS,1,-,ENSMUSG00000001674,121553835,121567989,14154,ENSMUST00000001724,121553835,121567989,14154,ENSMUSP00000001724,121553999,121567872,13873,ENSMUSE00000498442,12,121555216,121555393,177,206,ENSRNOE00000223590
chr1_trid-ENSMUST00000001724_exid-ENSMUSE00001248398,TRUE,CDS,1,-,ENSMUSG00000001674,121553835,121567989,14154,ENSMUST00000001724,121553835,121567989,14154,ENSMUSP00000001724,121553999,121567872,13873,ENSMUSE00001248398,9,121558411,121558563,152,194,ENSRNOE00000223608
chr1_trid-ENSMUST00000001724_exid-ENSMUSE00001252691,TRUE,CDS,1,-,ENSMUSG00000001674,121553835,121567989,14154,ENSMUST00000001724,121553835,121567989,14154,ENSMUSP00000001724,121553999,121567872,13873,ENSMUSE00001252691,11,121555691,121555747,56,200,ENSRNOE00000223597
chr1_trid-ENSMUST00000001724_exid-ENSMUSE00001297979,TRUE,CDS,1,-,ENSMUSG00000001674,121553835,121567989,14154,ENSMUST00000001724,121553835,121567989,14154,ENSMUSP00000001724,121553999,121567872,13873,ENSMUSE00001297979,2,121565881,121566168,287,186,NA
chr1_trid-ENSMUST00000001724_exid-ENSMUSE00001372189,TRUE,CDS,1,-,ENSMUSG00000001674,121553835,121567989,14154,ENSMUST00000001724,121553835,121567989,14154,ENSMUSP00000001724,121553999,121567872,13873,ENSMUSE00001372189,10,121557405,121557518,113,203,ENSRNOE00000223602
chr1_trid-ENSMUST00000003135_exid-ENSMUSE00000158943,TRUE,CDS,1,-,ENSMUSG00000003051,135253575,135258568,4993,ENSMUST00000003135,135253575,135258568,4993,ENSMUSP00000003135,135254269,135257771,3502,ENSMUSE00000158943,5,135256471,135256590,119,197,NA
chr1_trid-ENSMUST00000003135_exid-ENSMUSE00000158944,TRUE,CDS,1,-,ENSMUSG00000003051,135253575,135258568,4993,ENSMUST00000003135,135253575,135258568,4993,ENSMUSP00000003135,135254269,135257771,3502,ENSMUSE00000158944,2,135257615,135257774,159,200,ENSRNOE00000058568
chr1_trid-ENSMUST00000003135_exid-ENSMUSE00000158945,TRUE,CDS,1,-,ENSMUSG00000003051,135253575,135258568,4993,ENSMUST00000003135,135253575,135258568,4993,ENSMUSP00000003135,135254269,135257771,3502,ENSMUSE00000158945,6,135256234,135256323,89,196,ENSRNOE00000059244
chr1_trid-ENSMUST00000003135_exid-ENSMUSE00000158946,TRUE,CDS,1,-,ENSMUSG00000003051,135253575,135258568,4993,ENSMUST00000003135,135253575,135258568,4993,ENSMUSP00000003135,135254269,135257771,3502,ENSMUSE00000158946,8,135254925,135255120,195,203,ENSRNOE00000059573
chr1_trid-ENSMUST00000003135_exid-ENSMUSE00000158947,TRUE,CDS,1,-,ENSMUSG00000003051,135253575,135258568,4993,ENSMUST00000003135,135253575,135258568,4993,ENSMUSP00000003135,135254269,135257771,3502,ENSMUSE00000158947,4,135256779,135256874,95,179,NA
chr1_trid-ENSMUST00000003135_exid-ENSMUSE00000158948,TRUE,CDS,1,-,ENSMUSG00000003051,135253575,135258568,4993,ENSMUST00000003135,135253575,135258568,4993,ENSMUSP00000003135,135254269,135257771,3502,ENSMUSE00000158948,7,135255975,135256091,116,192,ENSRNOE00000059409
chr1_trid-ENSMUST00000003135_exid-ENSMUSE00000158950,TRUE,CDS,1,-,ENSMUSG00000003051,135253575,135258568,4993,ENSMUST00000003135,135253575,135258568,4993,ENSMUSP00000003135,135254269,135257771,3502,ENSMUSE00000158950,3,135257005,135257286,281,199,ENSRNOE00000058728
chr1_trid-ENSMUST00000003135_exid-ENSMUSE00000403880,TRUE,CDS,1,-,ENSMUSG00000003051,135253575,135258568,4993,ENSMUST00000003135,135253575,135258568,4993,ENSMUSP00000003135,135254269,135257771,3502,ENSMUSE00000403880,9,135254269,135254380,111,121,ENSRNOE00000274201
chr1_trid-ENSMUST00000003135_exid-ENSMUSE00001329429,FALSE,exon,1,-,ENSMUSG00000003051,135253575,135258568,4993,ENSMUST00000003135,135253575,135258568,4993,NA,NA,NA,NA,ENSMUSE00001329429,1,135258349,135258568,219,1,ENSRNOE00000344203
chr1_trid-ENSMUST00000003554_exid-ENSMUSE00000160485,TRUE,CDS,1,-,ENSMUSG00000007122,172209894,172219868,9974,ENSMUST00000003554,172209894,172219868,9974,ENSMUSP00000003554,172210348,172219687,9339,ENSMUSE00000160485,2,172217890,172217974,84,180,ENSRNOE00000063948
chr1_trid-ENSMUST00000003554_exid-ENSMUSE00000160489,TRUE,CDS,1,-,ENSMUSG00000007122,172209894,172219868,9974,ENSMUST00000003554,172209894,172219868,9974,ENSMUSP00000003554,172210348,172219687,9339,ENSMUSE00000160489,6,172215012,172215142,130,180,ENSRNOE00000064577
chr1_trid-ENSMUST00000003554_exid-ENSMUSE00000160490,TRUE,CDS,1,-,ENSMUSG00000007122,172209894,172219868,9974,ENSMUST00000003554,172209894,172219868,9974,ENSMUSP00000003554,172210348,172219687,9339,ENSMUSE00000160490,7,172213806,172213851,45,77,ENSRNOE00000064755
chr1_trid-ENSMUST00000003554_exid-ENSMUSE00000160491,TRUE,CDS,1,-,ENSMUSG00000007122,172209894,172219868,9974,ENSMUST00000003554,172209894,172219868,9974,ENSMUSP00000003554,172210348,172219687,9339,ENSMUSE00000160491,5,172215477,172215550,73,194,ENSRNOE00000064403
chr1_trid-ENSMUST00000003554_exid-ENSMUSE00000296182,TRUE,CDS,1,-,ENSMUSG00000007122,172209894,172219868,9974,ENSMUST00000003554,172209894,172219868,9974,ENSMUSP00000003554,172210348,172219687,9339,ENSMUSE00000296182,4,172215909,172216020,111,167,ENSRNOE00000064231
chr1_trid-ENSMUST00000003554_exid-ENSMUSE00000296190,TRUE,CDS,1,-,ENSMUSG00000007122,172209894,172219868,9974,ENSMUST00000003554,172209894,172219868,9974,ENSMUSP00000003554,172210348,172219687,9339,ENSMUSE00000296190,3,172216794,172216894,100,38,NA
chr1_trid-ENSMUST00000003554_exid-ENSMUSE00000296196,TRUE,CDS,1,-,ENSMUSG00000007122,172209894,172219868,9974,ENSMUST00000003554,172209894,172219868,9974,ENSMUSP00000003554,172210348,172219687,9339,ENSMUSE00000296196,1,172219412,172219690,278,207,ENSRNOE00000063557
chr1_trid-ENSMUST00000003554_exid-ENSMUSE00000367748,TRUE,CDS,1,-,ENSMUSG00000007122,172209894,172219868,9974,ENSMUST00000003554,172209894,172219868,9974,ENSMUSP00000003554,172210348,172219687,9339,ENSMUSE00000367748,11,172210348,172210503,155,134,ENSRNOE00000472665
chr1_trid-ENSMUST00000003554_exid-ENSMUSE00001234958,TRUE,CDS,1,-,ENSMUSG00000007122,172209894,172219868,9974,ENSMUST00000003554,172209894,172219868,9974,ENSMUSP00000003554,172210348,172219687,9339,ENSMUSE00001234958,10,172211948,172212022,74,144,ENSRNOE00000065266
