node.label,clade,node.type,orig.node.label,num.genes.full,num.genes.partial,num.genes.descendant.counted,num.genes.discordant,num.genes.missing,total subs,total mns,S,N,A,mS,mN,mA
Rattus_hoffmanni_LSUMZ39187,Rattus_hoffmanni_LSUMZ39187,tip,NA,7678.0,0.0,0.0,0.0,655.0,52546.0,1032.0,17872.0,5013.0,29661.0,42.0,516.0,474.0
Rattus_exulans_sample1,Rattus_exulans_sample1,tip,NA,7007.0,0.0,0.0,0.0,1326.0,57228.0,1721.0,30184.0,9207.0,17837.0,120.0,977.0,624.0
Tarsomys_apoensis_KU167148,Tarsomys_apoensis_KU167148,tip,NA,7443.0,0.0,0.0,0.0,890.0,37034.0,1236.0,19635.0,7195.0,10204.0,93.0,720.0,423.0
Limnomys_sibuanus_FMNH147948,Limnomys_sibuanus_FMNH147948,tip,NA,7562.0,0.0,0.0,0.0,771.0,37561.0,1086.0,20466.0,7759.0,9336.0,60.0,682.0,344.0
Rattus_xanthurus_LSUMZ39196,Rattus_xanthurus_LSUMZ39196,tip,NA,7642.0,0.0,0.0,0.0,691.0,30688.0,597.0,11572.0,4319.0,14797.0,28.0,332.0,237.0
Rattus_villosissimus_sample1,Rattus_villosissimus_sample1,tip,NA,4503.0,0.0,0.0,0.0,3830.0,22056.0,1732.0,4343.0,2337.0,15376.0,93.0,849.0,790.0
Rattus_colletti_RAT25,Rattus_colletti_RAT25,tip,NA,7135.0,0.0,0.0,0.0,1198.0,42997.0,1706.0,7647.0,2766.0,32584.0,47.0,460.0,1199.0
Rattus_tunneyi_RAT130,Rattus_tunneyi_RAT130,tip,NA,5992.0,0.0,0.0,0.0,2341.0,41861.0,2536.0,10414.0,4445.0,27002.0,124.0,1139.0,1273.0
Rattus_lutreolus_sample2,Rattus_lutreolus_sample2,tip,NA,4744.0,0.0,0.0,0.0,3589.0,27612.0,2014.0,7687.0,3598.0,16327.0,129.0,1055.0,830.0
Rattus_leucopus_sample1,Rattus_leucopus_sample1,tip,NA,4253.0,0.0,0.0,0.0,4080.0,19742.0,1480.0,6981.0,3328.0,9433.0,91.0,797.0,592.0
Rattus_praetor_sample1,Rattus_praetor_sample1,tip,NA,3299.0,0.0,0.0,0.0,5034.0,27146.0,1686.0,5025.0,2528.0,19593.0,94.0,686.0,906.0
Rattus_morotaiensis_ASAM29,Rattus_morotaiensis_ASAM29,tip,NA,7744.0,0.0,0.0,0.0,589.0,27340.0,687.0,12613.0,4494.0,10233.0,30.0,329.0,328.0
Kadarsanomys_sodyi_MZB-Sample,Kadarsanomys_sodyi_MZB-Sample,tip,NA,6413.0,0.0,0.0,0.0,1920.0,48277.0,1854.0,29874.0,10109.0,8294.0,149.0,1205.0,500.0
Nesokia_indica_ABTC117074,Nesokia_indica_ABTC117074,tip,NA,6369.0,0.0,0.0,0.0,1964.0,39062.0,1700.0,16826.0,6330.0,15906.0,106.0,1002.0,592.0
Bandicota_indica_ABTC119185,Bandicota_indica_ABTC119185,tip,NA,6764.0,0.0,0.0,0.0,1569.0,40621.0,1641.0,20652.0,7430.0,12539.0,104.0,932.0,605.0
Genus_sp-nov_NMVZ21816,Genus_sp-nov_NMVZ21816,tip,NA,7556.0,0.0,0.0,0.0,777.0,37176.0,689.0,20558.0,8007.0,8611.0,39.0,389.0,261.0
Taeromys_celebensis_NMVZ20637,Taeromys_celebensis_NMVZ20637,tip,NA,7349.0,0.0,0.0,0.0,984.0,38507.0,1076.0,19028.0,7318.0,12161.0,62.0,577.0,437.0
Paruromys_dominator_JAE4870,Paruromys_dominator_JAE4870,tip,NA,5296.0,0.0,0.0,0.0,3037.0,34042.0,1941.0,11488.0,4885.0,17669.0,99.0,926.0,916.0
Lenomys_meyeri_LSUMZ39079,Lenomys_meyeri_LSUMZ39079,tip,NA,7493.0,0.0,0.0,0.0,840.0,35234.0,792.0,16892.0,6884.0,11458.0,46.0,453.0,293.0
Eropeplus_canus_NMVZ21733,Eropeplus_canus_NMVZ21733,tip,NA,7163.0,0.0,0.0,0.0,1170.0,34189.0,1031.0,10668.0,4646.0,18875.0,76.0,456.0,499.0
Taeromys_hamatus_NMVZ63317,Taeromys_hamatus_NMVZ63317,tip,NA,5647.0,0.0,0.0,0.0,2686.0,25311.0,1712.0,10439.0,5184.0,9688.0,138.0,989.0,585.0
Taeromys_taerae_LSUMZ39224,Taeromys_taerae_LSUMZ39224,tip,NA,7052.0,0.0,0.0,0.0,1281.0,27548.0,1388.0,12894.0,5677.0,8977.0,76.0,868.0,444.0
Taeromys_punicans_MVZ225815,Taeromys_punicans_MVZ225815,tip,NA,7787.0,0.0,0.0,0.0,546.0,43358.0,813.0,1921.0,921.0,40516.0,31.0,227.0,555.0
Taeromys_callitrichus_LSUMZ37153,Taeromys_callitrichus_LSUMZ37153,tip,NA,7488.0,0.0,0.0,0.0,845.0,16172.0,824.0,4964.0,2675.0,8533.0,41.0,412.0,371.0
Bunomys_torajae_NMVZ21736,Bunomys_torajae_NMVZ21736,tip,NA,7030.0,0.0,0.0,0.0,1303.0,33990.0,1291.0,14610.0,5682.0,13698.0,77.0,648.0,566.0
Bunomys_andrewsi_sample1,Bunomys_andrewsi_sample1,tip,NA,3237.0,0.0,0.0,0.0,5096.0,58180.0,2542.0,5095.0,2726.0,50359.0,97.0,666.0,1779.0
Bunomys_chrysocomus_JAE4867,Bunomys_chrysocomus_JAE4867,tip,NA,7213.0,0.0,0.0,0.0,1120.0,39887.0,1519.0,16556.0,6157.0,17174.0,51.0,684.0,784.0
Halmaheramys_bokimekot_33262-WD225,Halmaheramys_bokimekot_33262-WD225,tip,NA,7341.0,0.0,0.0,0.0,992.0,42354.0,1175.0,22379.0,8877.0,11098.0,85.0,637.0,453.0
Bullimus_bagobus_JAE1712,Bullimus_bagobus_JAE1712,tip,NA,6786.0,0.0,0.0,0.0,1547.0,62122.0,2214.0,30799.0,11388.0,19935.0,96.0,1147.0,971.0
Papagomys_armandvillei_WAMM32592,Papagomys_armandvillei_WAMM32592,tip,NA,7612.0,0.0,0.0,0.0,721.0,50575.0,990.0,26968.0,10794.0,12813.0,43.0,581.0,366.0
Sundamys_annandalei_YS118,Sundamys_annandalei_YS118,tip,NA,7541.0,0.0,0.0,0.0,792.0,53730.0,1254.0,26400.0,7570.0,19760.0,69.0,560.0,625.0
Sundamys_muelleri_JAE1283,Sundamys_muelleri_JAE1283,tip,NA,5988.0,0.0,0.0,0.0,2345.0,45291.0,1939.0,19300.0,6608.0,19383.0,94.0,923.0,922.0
Berylmys_bowersi_ABTC116431,Berylmys_bowersi_ABTC116431,tip,NA,7273.0,0.0,0.0,0.0,1060.0,57101.0,2150.0,23385.0,7199.0,26517.0,79.0,992.0,1079.0
Berylmys_mackenziei_ABTC116402,Berylmys_mackenziei_ABTC116402,tip,NA,5349.0,0.0,0.0,0.0,2984.0,34397.0,2329.0,10105.0,4538.0,19754.0,195.0,1290.0,844.0
Saxatilomys_paulinae_ABTC116266,Saxatilomys_paulinae_ABTC116266,tip,NA,7570.0,0.0,0.0,0.0,763.0,95109.0,1858.0,67948.0,18463.0,8698.0,164.0,1338.0,356.0
Niviventer_lepturus_JAE4746,Niviventer_lepturus_JAE4746,tip,NA,6883.0,0.0,0.0,0.0,1450.0,61264.0,2173.0,34958.0,10263.0,16043.0,117.0,1130.0,926.0
Niviventer_rapit_LSUMZ38196,Niviventer_rapit_LSUMZ38196,tip,NA,7189.0,0.0,0.0,0.0,1144.0,22957.0,1409.0,6631.0,2761.0,13565.0,122.0,895.0,392.0
Niviventer_bukit_LSUMZ38136,Niviventer_bukit_LSUMZ38136,tip,NA,7502.0,0.0,0.0,0.0,831.0,25130.0,1060.0,8105.0,2919.0,14106.0,71.0,694.0,295.0
Anonymomys_mindorensis_FMNH2222010,Anonymomys_mindorensis_FMNH2222010,tip,NA,7705.0,0.0,0.0,0.0,628.0,73387.0,1492.0,45497.0,14490.0,13400.0,80.0,1008.0,404.0
Leopoldomys_sabanus_Z25191,Leopoldomys_sabanus_Z25191,tip,NA,7239.0,0.0,0.0,0.0,1094.0,79579.0,2162.0,48717.0,13434.0,17428.0,141.0,1122.0,899.0
Margaretamys_parvus_NMVZ21833,Margaretamys_parvus_NMVZ21833,tip,NA,7814.0,0.0,0.0,0.0,519.0,48034.0,825.0,23698.0,7256.0,17080.0,45.0,398.0,382.0
Margaretamys_christinae_TMar1,Margaretamys_christinae_TMar1,tip,NA,7419.0,0.0,0.0,0.0,914.0,44934.0,1597.0,25437.0,8553.0,10944.0,139.0,978.0,480.0
Paucidentomys_vermidax_Z21914,Paucidentomys_vermidax_Z21914,tip,NA,7054.0,0.0,0.0,0.0,1279.0,62863.0,1774.0,36456.0,12016.0,14391.0,92.0,949.0,733.0
Echiothrix_centrosa_Z27993,Echiothrix_centrosa_Z27993,tip,NA,6244.0,0.0,0.0,0.0,2089.0,64236.0,2317.0,30192.0,10717.0,23327.0,119.0,1154.0,1044.0
Tateomys_rhinogradoides_Z21785,Tateomys_rhinogradoides_Z21785,tip,NA,7242.0,0.0,0.0,0.0,1091.0,64884.0,2272.0,21480.0,8329.0,35075.0,59.0,776.0,1437.0
Melasmothrix_naso_Z21808,Melasmothrix_naso_Z21808,tip,NA,7046.0,0.0,0.0,0.0,1287.0,45392.0,2042.0,21754.0,8612.0,15026.0,118.0,1008.0,916.0
Tateomys_macrocercus_Z21834,Tateomys_macrocercus_Z21834,tip,NA,5881.0,0.0,0.0,0.0,2452.0,49990.0,2418.0,17068.0,6675.0,26247.0,99.0,1021.0,1298.0
Gracilimus_radix_Z08508,Gracilimus_radix_Z08508,tip,NA,7368.0,0.0,0.0,0.0,965.0,54030.0,1552.0,32509.0,11134.0,10387.0,56.0,914.0,582.0
Waiomys_mamasae_Z20624,Waiomys_mamasae_Z20624,tip,NA,7000.0,0.0,0.0,0.0,1333.0,52516.0,1931.0,26122.0,9152.0,17242.0,71.0,919.0,941.0
Sommeromys_macrorhinos_Z21740,Sommeromys_macrorhinos_Z21740,tip,NA,6396.0,0.0,0.0,0.0,1937.0,67369.0,2365.0,34348.0,13088.0,19933.0,120.0,1285.0,960.0
Hyorhinomys_stuempkei_JAE4661,Hyorhinomys_stuempkei_JAE4661,tip,NA,6668.0,0.0,0.0,0.0,1665.0,65203.0,2273.0,35491.0,12902.0,16810.0,126.0,1139.0,1008.0
Maxomys_surifer_JAE3632,Maxomys_surifer_JAE3632,tip,NA,6707.0,0.0,0.0,0.0,1626.0,101196.0,3025.0,53959.0,14665.0,32572.0,147.0,1563.0,1315.0
Maxomys_musschenbroekii_sample1,Maxomys_musschenbroekii_sample1,tip,NA,4012.0,0.0,0.0,0.0,4321.0,60142.0,2863.0,23703.0,8304.0,28135.0,169.0,1297.0,1397.0
Crunomys_melanius_KU168558,Crunomys_melanius_KU168558,tip,NA,7594.0,0.0,0.0,0.0,739.0,50619.0,1554.0,29550.0,11309.0,9760.0,135.0,1055.0,364.0
Crunomys_celebensis_Z21894,Crunomys_celebensis_Z21894,tip,NA,6852.0,0.0,0.0,0.0,1481.0,43555.0,2053.0,19899.0,8446.0,15210.0,104.0,1078.0,871.0
Zyzomys_pedunculatus_Z34925,Zyzomys_pedunculatus_Z34925,tip,NA,7258.0,0.0,0.0,0.0,1075.0,54791.0,1492.0,22196.0,8177.0,24418.0,68.0,704.0,720.0
Zyzomys_woodwardi_WAMM21724,Zyzomys_woodwardi_WAMM21724,tip,NA,6156.0,0.0,0.0,0.0,2177.0,43860.0,1782.0,17980.0,6528.0,19352.0,122.0,866.0,794.0
Zyzomys_palatalis_ABTC30744,Zyzomys_palatalis_ABTC30744,tip,NA,6946.0,0.0,0.0,0.0,1387.0,36525.0,1246.0,16427.0,5534.0,14564.0,77.0,618.0,551.0
Zyzomys_argurus_ABTC61630,Zyzomys_argurus_ABTC61630,tip,NA,7071.0,0.0,0.0,0.0,1262.0,43342.0,1258.0,14367.0,4987.0,23988.0,64.0,477.0,717.0
Zyzomys_maini_ABTC07900,Zyzomys_maini_ABTC07900,tip,NA,7276.0,0.0,0.0,0.0,1057.0,44222.0,1407.0,19569.0,6696.0,17957.0,53.0,711.0,643.0
Pseudomys_oralis_RAT7,Pseudomys_oralis_RAT7,tip,NA,7491.0,0.0,0.0,0.0,842.0,48597.0,976.0,25150.0,7328.0,16119.0,37.0,428.0,511.0
Pseudomys_shortridgei_Z25113,Pseudomys_shortridgei_Z25113,tip,NA,6984.0,0.0,0.0,0.0,1349.0,38716.0,1810.0,12218.0,5144.0,21354.0,84.0,866.0,860.0
Pseudomys_desertor_ABTC41464,Pseudomys_desertor_ABTC41464,tip,NA,7049.0,0.0,0.0,0.0,1284.0,28391.0,1095.0,10716.0,3811.0,13864.0,47.0,519.0,529.0
Pseudomys_nanus_U1448,Pseudomys_nanus_U1448,tip,NA,7105.0,0.0,0.0,0.0,1228.0,51314.0,1334.0,13350.0,4219.0,33745.0,58.0,436.0,840.0
Pseudomys_gracilicaudatus_ABTC08163,Pseudomys_gracilicaudatus_ABTC08163,tip,NA,6974.0,0.0,0.0,0.0,1359.0,43597.0,1260.0,13864.0,4299.0,25434.0,68.0,488.0,704.0
Pseudomys_higginsi_UC1421,Pseudomys_higginsi_UC1421,tip,NA,7669.0,0.0,0.0,0.0,664.0,47925.0,1025.0,21276.0,6016.0,20633.0,26.0,357.0,642.0
Pseudomys_bolami_ABTC107389,Pseudomys_bolami_ABTC107389,tip,NA,6898.0,0.0,0.0,0.0,1435.0,36117.0,1676.0,9189.0,3743.0,23185.0,89.0,825.0,762.0
Pseudomys_novaehollandiae_ABTC08140,Pseudomys_novaehollandiae_ABTC08140,tip,NA,7266.0,0.0,0.0,0.0,1067.0,29814.0,819.0,9824.0,3481.0,16509.0,35.0,326.0,458.0
Pseudomys_delicatulus_U1509,Pseudomys_delicatulus_U1509,tip,NA,7084.0,0.0,0.0,0.0,1249.0,30366.0,982.0,10314.0,3927.0,16125.0,58.0,484.0,440.0
Pseudomys_hermannsburgensis_ABTC08067,Pseudomys_hermannsburgensis_ABTC08067,tip,NA,6973.0,0.0,0.0,0.0,1360.0,36339.0,1113.0,13037.0,4622.0,18680.0,57.0,487.0,569.0
Mastacomys_fuscus_M13957,Mastacomys_fuscus_M13957,tip,NA,7456.0,0.0,0.0,0.0,877.0,40347.0,958.0,20340.0,6720.0,13287.0,54.0,515.0,389.0
Pseudomys_australis_M25541,Pseudomys_australis_M25541,tip,NA,7294.0,0.0,0.0,0.0,1039.0,48636.0,1002.0,21307.0,6399.0,20930.0,38.0,359.0,605.0
Pseudomys_fumeus_ABTC08168,Pseudomys_fumeus_ABTC08168,tip,NA,7247.0,0.0,0.0,0.0,1086.0,48302.0,886.0,25367.0,7646.0,15289.0,39.0,407.0,440.0
Pseudomys_apodemoides_M16672,Pseudomys_apodemoides_M16672,tip,NA,7270.0,0.0,0.0,0.0,1063.0,35992.0,1024.0,14041.0,4698.0,17253.0,40.0,427.0,557.0
Pseudomys_albocinereus_WAMM18855,Pseudomys_albocinereus_WAMM18855,tip,NA,6948.0,0.0,0.0,0.0,1385.0,34577.0,1355.0,13257.0,4810.0,16510.0,56.0,577.0,722.0
Pseudomys_occidentalis_ABTC08043,Pseudomys_occidentalis_ABTC08043,tip,NA,7120.0,0.0,0.0,0.0,1213.0,51792.0,1109.0,27786.0,8481.0,15525.0,58.0,542.0,509.0
Pseudomys_patrius_JM10865,Pseudomys_patrius_JM10865,tip,NA,6935.0,0.0,0.0,0.0,1398.0,35741.0,1212.0,14771.0,4987.0,15983.0,96.0,577.0,539.0
Pseudomys_johnsoni_ABTC08053,Pseudomys_johnsoni_ABTC08053,tip,NA,7296.0,0.0,0.0,0.0,1037.0,43149.0,1079.0,10367.0,3518.0,29264.0,37.0,343.0,699.0
Pseudomys_chapmani_WAMM29440,Pseudomys_chapmani_WAMM29440,tip,NA,7189.0,0.0,0.0,0.0,1144.0,41761.0,1165.0,20387.0,6703.0,14671.0,47.0,595.0,523.0
Pseudomys_calabyi_U4324,Pseudomys_calabyi_U4324,tip,NA,7377.0,0.0,0.0,0.0,956.0,48319.0,1285.0,20109.0,6684.0,21526.0,72.0,590.0,623.0
Notomys_mitchellii_M21518,Notomys_mitchellii_M21518,tip,NA,5695.0,0.0,0.0,0.0,2638.0,35916.0,2223.0,10738.0,4491.0,20687.0,144.0,1150.0,929.0
Notomys_alexis_U1308,Notomys_alexis_U1308,tip,NA,6684.0,0.0,0.0,0.0,1649.0,33736.0,1201.0,5929.0,2715.0,25092.0,61.0,534.0,606.0
Notomys_fuscus_M22830,Notomys_fuscus_M22830,tip,NA,7025.0,0.0,0.0,0.0,1308.0,34242.0,1059.0,9704.0,3358.0,21180.0,40.0,396.0,623.0
Notomys_aquilo_M-32455,Notomys_aquilo_M-32455,tip,NA,7173.0,0.0,0.0,0.0,1160.0,31007.0,861.0,11690.0,3735.0,15582.0,33.0,352.0,476.0
Notomys_cervinus_M22857,Notomys_cervinus_M22857,tip,NA,6953.0,0.0,0.0,0.0,1380.0,52928.0,1689.0,23897.0,7277.0,21754.0,87.0,765.0,837.0
Leggadina_lakedownensis_WAMM21623,Leggadina_lakedownensis_WAMM21623,tip,NA,7249.0,0.0,0.0,0.0,1084.0,41096.0,1248.0,13524.0,4885.0,22687.0,50.0,588.0,610.0
Leggadina_forresti_WAMM62323,Leggadina_forresti_WAMM62323,tip,NA,7208.0,0.0,0.0,0.0,1125.0,39261.0,1409.0,14689.0,5392.0,19180.0,83.0,677.0,649.0
Uromys_sp-nov_YS380,Uromys_sp-nov_YS380,tip,NA,7339.0,0.0,0.0,0.0,994.0,25581.0,1238.0,10394.0,3868.0,11319.0,105.0,601.0,532.0
Uromys_caudimaculatus_DT10Uc01,Uromys_caudimaculatus_DT10Uc01,tip,NA,7585.0,0.0,0.0,0.0,748.0,24880.0,1036.0,11237.0,3899.0,9744.0,62.0,560.0,414.0
Solomys_salebrosus_ABTC64864,Solomys_salebrosus_ABTC64864,tip,NA,6852.0,0.0,0.0,0.0,1481.0,46311.0,1661.0,24589.0,9463.0,12259.0,137.0,1113.0,411.0
Melomys_rufescens_ABTC44798,Melomys_rufescens_ABTC44798,tip,NA,6858.0,0.0,0.0,0.0,1475.0,66818.0,2370.0,22190.0,6994.0,37634.0,90.0,812.0,1468.0
Mesembriomys_macrurus_ABTC7337,Mesembriomys_macrurus_ABTC7337,tip,NA,6395.0,0.0,0.0,0.0,1938.0,39674.0,2130.0,15306.0,6177.0,18191.0,145.0,1058.0,927.0
Mesembriomys_gouldii_ABTC7449,Mesembriomys_gouldii_ABTC7449,tip,NA,7381.0,0.0,0.0,0.0,952.0,47292.0,1610.0,18202.0,7031.0,22059.0,78.0,706.0,826.0
Conilurus_penicillatus_M14056,Conilurus_penicillatus_M14056,tip,NA,7055.0,0.0,0.0,0.0,1278.0,56088.0,2108.0,25808.0,8304.0,21976.0,105.0,1015.0,988.0
Conilurus_albipes_NMV-c7585,Conilurus_albipes_NMV-c7585,tip,NA,6636.0,0.0,0.0,0.0,1697.0,48977.0,2143.0,21702.0,7179.0,20096.0,154.0,1146.0,843.0
Leporillus_conditor_ABTC13335,Leporillus_conditor_ABTC13335,tip,NA,4071.0,0.0,0.0,0.0,4262.0,32150.0,1665.0,12567.0,4979.0,14604.0,92.0,792.0,781.0
Leporillus_apicalis_C90,Leporillus_apicalis_C90,tip,NA,3170.0,0.0,0.0,0.0,5163.0,29576.0,1784.0,8355.0,3354.0,17867.0,105.0,705.0,974.0
Paraleptomys_wilhelmina_H126-ABTC133716,Paraleptomys_wilhelmina_H126-ABTC133716,tip,NA,7560.0,0.0,0.0,0.0,773.0,43441.0,1042.0,25913.0,9004.0,8524.0,75.0,679.0,288.0
Mirzamys_louiseae_ABTC133754,Mirzamys_louiseae_ABTC133754,tip,NA,7668.0,0.0,0.0,0.0,665.0,42999.0,1015.0,24674.0,8252.0,10073.0,85.0,509.0,421.0
Leptomys_elegans_ABTC45741,Leptomys_elegans_ABTC45741,tip,NA,7446.0,0.0,0.0,0.0,887.0,58610.0,1416.0,33926.0,10857.0,13827.0,96.0,954.0,366.0
Xeromys_myoides_ABTC30709,Xeromys_myoides_ABTC30709,tip,NA,7718.0,0.0,0.0,0.0,615.0,63732.0,1297.0,42166.0,13628.0,7938.0,78.0,861.0,358.0
Pseudohydromys_pumehanae_ABTC43920,Pseudohydromys_pumehanae_ABTC43920,tip,NA,7392.0,0.0,0.0,0.0,941.0,36153.0,1276.0,19618.0,6974.0,9561.0,79.0,759.0,438.0
Microhydromys_richardsoni_ANWCM35851,Microhydromys_richardsoni_ANWCM35851,tip,NA,7590.0,0.0,0.0,0.0,743.0,47804.0,930.0,29463.0,9225.0,9116.0,73.0,602.0,255.0
Parahydromys_asper_ABTC45798,Parahydromys_asper_ABTC45798,tip,NA,7267.0,0.0,0.0,0.0,1066.0,25093.0,1269.0,9917.0,4030.0,11146.0,106.0,773.0,390.0
Hydromys_sp-nov_YS391,Hydromys_sp-nov_YS391,tip,NA,7341.0,0.0,0.0,0.0,992.0,20058.0,1171.0,7718.0,3367.0,8973.0,70.0,677.0,424.0
Hydromys_chrysogaster_Z5248,Hydromys_chrysogaster_Z5248,tip,NA,4896.0,0.0,0.0,0.0,3437.0,26029.0,2185.0,6363.0,2919.0,16747.0,169.0,1088.0,928.0
Crossomys_moncktoni_ABTC46614,Crossomys_moncktoni_ABTC46614,tip,NA,7785.0,0.0,0.0,0.0,548.0,27298.0,537.0,17682.0,6429.0,3187.0,19.0,352.0,166.0
Mallomys_rothschildi_ABTC47402,Mallomys_rothschildi_ABTC47402,tip,NA,6513.0,0.0,0.0,0.0,1820.0,65206.0,2377.0,38144.0,15249.0,11813.0,195.0,1524.0,658.0
Pogonomelomys_mayeri_AMM21849,Pogonomelomys_mayeri_AMM21849,tip,NA,7213.0,0.0,0.0,0.0,1120.0,75519.0,2062.0,46324.0,14192.0,15003.0,131.0,1265.0,666.0
Abeomelomys_sevia_KUM161018,Abeomelomys_sevia_KUM161018,tip,NA,6956.0,0.0,0.0,0.0,1377.0,66274.0,1824.0,41600.0,13044.0,11630.0,121.0,1143.0,560.0
Xenuromys_barbatus_ABTC129204,Xenuromys_barbatus_ABTC129204,tip,NA,7673.0,0.0,0.0,0.0,660.0,78955.0,1587.0,55106.0,17305.0,6544.0,131.0,1091.0,365.0
Mammelomys_lanosus_ABTC47208,Mammelomys_lanosus_ABTC47208,tip,NA,7195.0,0.0,0.0,0.0,1138.0,90242.0,2134.0,56827.0,18427.0,14988.0,141.0,1450.0,543.0
Coccymys_ruemmleri_ABTC49489,Coccymys_ruemmleri_ABTC49489,tip,NA,7668.0,0.0,0.0,0.0,665.0,104785.0,2487.0,73261.0,24290.0,7234.0,216.0,1866.0,405.0
Hyomys_goliath_ABTC42697,Hyomys_goliath_ABTC42697,tip,NA,7644.0,0.0,0.0,0.0,689.0,94197.0,1881.0,59602.0,20638.0,13957.0,105.0,1283.0,493.0
Pogonomys_macrourus_ABTC43144,Pogonomys_macrourus_ABTC43144,tip,NA,7658.0,0.0,0.0,0.0,675.0,103489.0,2227.0,72740.0,23942.0,6807.0,146.0,1656.0,425.0
Chiruromys_vates_ABTC43096,Chiruromys_vates_ABTC43096,tip,NA,7454.0,0.0,0.0,0.0,879.0,108383.0,2636.0,74456.0,26310.0,7617.0,165.0,2006.0,465.0
Macruromys_major_ABTC43909,Macruromys_major_ABTC43909,tip,NA,6490.0,0.0,0.0,0.0,1843.0,74231.0,2248.0,46731.0,18524.0,8976.0,188.0,1541.0,519.0
Lorentzimys_nouhuysi_ABTC-46314,Lorentzimys_nouhuysi_ABTC-46314,tip,NA,7279.0,0.0,0.0,0.0,1054.0,138272.0,3921.0,87761.0,29219.0,21292.0,210.0,2551.0,1160.0
Anisomys_imitator_ABTC45107,Anisomys_imitator_ABTC45107,tip,NA,7704.0,0.0,0.0,0.0,629.0,76734.0,1224.0,52153.0,18163.0,6418.0,87.0,917.0,220.0
Chrotomys_whiteheadi_KU168311,Chrotomys_whiteheadi_KU168311,tip,NA,7065.0,0.0,0.0,0.0,1268.0,39110.0,1915.0,14215.0,5946.0,18949.0,170.0,1175.0,570.0
Chrotomys_mindorensis_JAE520,Chrotomys_mindorensis_JAE520,tip,NA,7193.0,0.0,0.0,0.0,1140.0,34550.0,1580.0,12057.0,4622.0,17871.0,77.0,806.0,697.0
Rhynchomys_isarogensis_JAE2195,Rhynchomys_isarogensis_JAE2195,tip,NA,6758.0,0.0,0.0,0.0,1575.0,61220.0,1850.0,39465.0,13117.0,8638.0,119.0,1161.0,570.0
Archboldomys_luzonensis_EAR1826,Archboldomys_luzonensis_EAR1826,tip,NA,6802.0,0.0,0.0,0.0,1531.0,70860.0,2483.0,40782.0,15127.0,14951.0,128.0,1432.0,923.0
Apomys_lubangensis_JAE169,Apomys_lubangensis_JAE169,tip,NA,6754.0,0.0,0.0,0.0,1579.0,111489.0,3366.0,66753.0,20573.0,24163.0,187.0,2065.0,1114.0
Haeromys_minahassae_JAE4996,Haeromys_minahassae_JAE4996,tip,NA,6343.0,0.0,0.0,0.0,1990.0,122480.0,3730.0,78483.0,23360.0,20637.0,251.0,2300.0,1179.0
Chiropodomys_gliroides_Z25153,Chiropodomys_gliroides_Z25153,tip,NA,6694.0,0.0,0.0,0.0,1639.0,173387.0,5344.0,105399.0,28012.0,39976.0,316.0,3096.0,1932.0
Otomys_tropicalis_LSUMZ37841,Otomys_tropicalis_LSUMZ37841,tip,NA,7845.0,0.0,0.0,0.0,488.0,82655.0,1440.0,58398.0,17556.0,6701.0,93.0,1110.0,237.0
