generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
87000,rnor6,Taeromys_celebensis_NMVZ20637,11.0812,0.994664,0.0037475,0.0426845,0
88000,mm10,Phloeomys_cumingi_FMNH198472,0,0.537263,-0.0269541,0.00233273,0
88000,Zyzomys_pedunculatus_Z34925,Paraleptomys_wilhelmina_H126-ABTC133716,9.45407,1.29004,-0.121916,0.11911,0
88000,rnor6,Taeromys_celebensis_NMVZ20637,11.4073,2.05723,-0.0858748,0.321053,0
89000,mm10,Phloeomys_cumingi_FMNH198472,0,0.57318,-0.0331004,0.00284198,0
89000,Zyzomys_pedunculatus_Z34925,Paraleptomys_wilhelmina_H126-ABTC133716,9.69466,1.15188,-0.149993,0.0144964,0
89000,rnor6,Taeromys_celebensis_NMVZ20637,11.4292,1.24602,-0.0320935,0.238817,0
90000,mm10,Phloeomys_cumingi_FMNH198472,0,0.577523,-0.0365546,0.00439513,0
90000,Zyzomys_pedunculatus_Z34925,Paraleptomys_wilhelmina_H126-ABTC133716,9.72432,1.11382,-0.126562,0.0409886,0
90000,rnor6,Taeromys_celebensis_NMVZ20637,11.2767,1.49312,-0.0496259,0.134471,0
91000,mm10,Phloeomys_cumingi_FMNH198472,0,0.35182,0.0029323,0.0371885,0
91000,Zyzomys_pedunculatus_Z34925,Paraleptomys_wilhelmina_H126-ABTC133716,10.0033,1.52296,-0.175578,0.00878696,0
91000,rnor6,Taeromys_celebensis_NMVZ20637,11.0995,1.60373,-0.1623,0.131109,0
92000,mm10,Phloeomys_cumingi_FMNH198472,0,0.245847,0.144535,0.0207871,0
92000,rnor6,Berylmys_bowersi_ABTC116431,10.1847,0.83137,0.102208,0.0232549,0
93000,mm10,Phloeomys_cumingi_FMNH198472,0,0.314276,0.0676491,0.0345007,0
93000,rnor6,Taeromys_celebensis_NMVZ20637,11.2761,1.36162,-0.0485825,0.146811,0
94000,mm10,Phloeomys_cumingi_FMNH198472,0,0.219535,0.0994992,0.0281373,0
94000,Zyzomys_pedunculatus_Z34925,Paraleptomys_wilhelmina_H126-ABTC133716,9.96543,1.77726,-0.202854,0.0423221,0
94000,rnor6,Taeromys_celebensis_NMVZ20637,10.8402,1.7469,-0.0642241,0.161906,0
95000,mm10,Phloeomys_cumingi_FMNH198472,0,0.402057,0.00714998,0.019423,0
95000,rnor6,Taeromys_celebensis_NMVZ20637,11.6342,1.39169,-0.101421,0.319692,0
96000,mm10,Phloeomys_cumingi_FMNH198472,0,0.386526,0.0170483,0.00337823,0
96000,rnor6,Taeromys_celebensis_NMVZ20637,11.5947,0.965977,0.00230385,0.0690293,0
97000,mm10,Phloeomys_cumingi_FMNH198472,0,0.295092,0.0772481,0.0543051,0
97000,rnor6,Taeromys_celebensis_NMVZ20637,10.8447,0.954967,0.0164301,0.0899003,0
98000,mm10,Phloeomys_cumingi_FMNH198472,0,0.26713,0.0646679,0.0227111,0
98000,Zyzomys_pedunculatus_Z34925,Paraleptomys_wilhelmina_H126-ABTC133716,9.63694,1.37875,-0.149481,0.0848607,0
98000,rnor6,Taeromys_celebensis_NMVZ20637,11.7335,1.42351,-0.114919,0.0895958,0
98000,Phloeomys_cumingi_FMNH198472,Carpomys_melanurus_FMNH198723,5.10879,0.989082,-0.0849894,0.335902,0
99000,mm10,Phloeomys_cumingi_FMNH198472,0,0.333962,0.0508187,0.000371972,0
99000,rnor6,Berylmys_bowersi_ABTC116431,10.0663,1.71127,-0.0432625,0.488277,0
100000,mm10,Phloeomys_cumingi_FMNH198472,0,0.247729,0.0634757,0.0132308,0
100000,Zyzomys_pedunculatus_Z34925,Hyomys_goliath_ABTC42697,8.24636,1.11302,-0.133528,0.0456128,0
100000,rnor6,Berylmys_bowersi_ABTC116431,10.2977,0.774454,0.0237624,0.0484899,0
101000,mm10,Phloeomys_cumingi_FMNH198472,0,0.226882,0.144904,0.0120806,0
101000,Zyzomys_pedunculatus_Z34925,Paraleptomys_wilhelmina_H126-ABTC133716,10.1582,1.37481,-0.145112,0.182788,0
101000,rnor6,Taeromys_celebensis_NMVZ20637,11.537,1.37648,-0.0472075,0.0103839,0
102000,mm10,Phloeomys_cumingi_FMNH198472,0,0.34688,0.0211371,0.0025185,0
102000,rnor6,Berylmys_bowersi_ABTC116431,9.94556,0.852996,0.0638921,0.0682004,0
103000,mm10,Phloeomys_cumingi_FMNH198472,0,0.279045,0.0504501,0.000417903,0
103000,rnor6,Taeromys_celebensis_NMVZ20637,11.6784,1.59165,-0.0752279,0.289568,0
104000,mm10,Phloeomys_cumingi_FMNH198472,0,0.2757,0.0589404,0.0103908,0
104000,rnor6,Berylmys_bowersi_ABTC116431,10.4214,0.826216,0.0826833,0.00362657,0
105000,mm10,Phloeomys_cumingi_FMNH198472,0,0.307271,0.0217139,0.016346,0
105000,Zyzomys_pedunculatus_Z34925,Paraleptomys_wilhelmina_H126-ABTC133716,9.7893,1.14619,-0.119804,0.0569615,0
105000,rnor6,Berylmys_bowersi_ABTC116431,10.5677,1.0848,0.00634485,0.0305017,0
106000,mm10,Phloeomys_cumingi_FMNH198472,0,0.303397,0.0288263,0.000548329,0
106000,Zyzomys_pedunculatus_Z34925,Paraleptomys_wilhelmina_H126-ABTC133716,10.0437,1.44148,-0.136946,0.153629,0
106000,rnor6,Taeromys_celebensis_NMVZ20637,10.9137,1.48098,-0.0573686,0.258928,0
106000,Niviventer_bukit_LSUMZ38136,Niviventer_rapit_LSUMZ38196,14.894,0.14747,0.0137214,0.73482,0
107000,mm10,Phloeomys_cumingi_FMNH198472,0,0.463857,-0.0181675,0.0128493,0
107000,Hylomyscus_stella_LSUMZ37742,NA,13.6859,0.210351,-0.0770737,0.339341,0
107000,Pseudomys_hermannsburgensis_ABTC08067,NA,14.3431,1.16747,0.0926624,0.449076,0
107000,Leporillus_apicalis_C90,NA,13.4662,1.96752,-0.050976,3.92705,0
