loci	withRef_len	noRef_len
ENSMUSG00000001155.phy	401	351
ENSMUSG00000001156.phy	1055	1436
ENSMUSG00000001157.phy	4790	4756
ENSMUSG00000001173.phy	7941	7817
ENSMUSG00000001211.phy	4450	5278
ENSMUSG00000001225.phy	3108	3381
ENSMUSG00000001227.phy	592	575
ENSMUSG00000001228.phy	5604	975
ENSMUSG00000001229.phy	1215	1024
ENSMUSG00000001247.phy	3085	3491
ENSMUSG00000001248.phy	3165	5847
ENSMUSG00000001249.phy	564	564
ENSMUSG00000001260.phy	2109	2372
ENSMUSG00000001280.phy	3663	3533
ENSMUSG00000001281.phy	2769	2784
ENSMUSG00000001288.phy	1967	2065
ENSMUSG00000001289.phy	135	130
ENSMUSG00000001300.phy	2586	2659
ENSMUSG00000001305.phy	891	897
ENSMUSG00000001313.phy	1313	1667
ENSMUSG00000001323.phy	576	568
ENSMUSG00000001333.phy	2685	1105
ENSMUSG00000001334.phy	1854	1843
ENSMUSG00000001348.phy	1518	1511
ENSMUSG00000001349.phy	804	783
ENSMUSG00000001366.phy	1812	3341
ENSMUSG00000001380.phy	1918	3781
ENSMUSG00000001383.phy	1022	2006
ENSMUSG00000001403.phy	379	385
ENSMUSG00000001415.phy	5991	6891
ENSMUSG00000001416.phy	959	962
ENSMUSG00000001418.phy	2303	2300
ENSMUSG00000001419.phy	5699	5879
ENSMUSG00000001420.phy	1354	732
ENSMUSG00000001424.phy	6071	6096
ENSMUSG00000001436.phy	2374	2375
ENSMUSG00000001440.phy	3674	9931
ENSMUSG00000001441.phy	4722	4728
ENSMUSG00000001444.phy	2246	2222
ENSMUSG00000001445.phy	2103	781
ENSMUSG00000001467.phy	909	827
ENSMUSG00000001472.phy	1236	1436
ENSMUSG00000001473.phy	1755	1345
ENSMUSG00000001482.phy	2644	2666
ENSMUSG00000001493.phy	1495	1570
ENSMUSG00000001494.phy	1153	1123
ENSMUSG00000001497.phy	2095	2080
ENSMUSG00000001504.phy	2048	2069
ENSMUSG00000001506.phy	14427	14417
ENSMUSG00000001507.phy	7070	7071
ENSMUSG00000001508.phy	2740	942
ENSMUSG00000001517.phy	5213	5267
ENSMUSG00000001518.phy	402	2315
ENSMUSG00000001521.phy	352	352
ENSMUSG00000001524.phy	2042	1997
ENSMUSG00000001525.phy	2129	2117
ENSMUSG00000001542.phy	1087	1126
ENSMUSG00000001552.phy	1092	2480
ENSMUSG00000001555.phy	2681	2686
ENSMUSG00000001558.phy	3242	3235
ENSMUSG00000001566.phy	399	410
ENSMUSG00000001576.phy	500	490
ENSMUSG00000001583.phy	5228	5434
ENSMUSG00000001588.phy	7288	7276
ENSMUSG00000001604.phy	721	1008
ENSMUSG00000001627.phy	3449	4327
ENSMUSG00000001630.phy	6465	6298
ENSMUSG00000001632.phy	3318	7034
ENSMUSG00000001642.phy	1747	1131
ENSMUSG00000001661.phy	819	818
ENSMUSG00000001666.phy	468	1044
ENSMUSG00000001670.phy	793	794
ENSMUSG00000001672.phy	595	609
ENSMUSG00000001674.phy	1433	1446
ENSMUSG00000001687.phy	1787	1794
ENSMUSG00000001700.phy	3560	653
ENSMUSG00000001707.phy	320	307
ENSMUSG00000001729.phy	2666	4553
ENSMUSG00000001741.phy	5533	5580
ENSMUSG00000001750.phy	1155	5171
ENSMUSG00000001751.phy	1745	1741
ENSMUSG00000001755.phy	3499	3492
ENSMUSG00000001761.phy	6149	6123
ENSMUSG00000001763.phy	2182	2336
ENSMUSG00000001768.phy	5879	5919
ENSMUSG00000001773.phy	8046	4877
ENSMUSG00000001774.phy	484	541
ENSMUSG00000001783.phy	2214	2208
ENSMUSG00000001785.phy	424	381
ENSMUSG00000001786.phy	522	537
ENSMUSG00000001802.phy	3599	1292
ENSMUSG00000001804.phy	6694	6720
ENSMUSG00000001819.phy	1285	377
ENSMUSG00000001823.phy	222	215
ENSMUSG00000001827.phy	1682	1607
ENSMUSG00000001829.phy	5027	5024
ENSMUSG00000001833.phy	1178	910
ENSMUSG00000001844.phy	684	649
ENSMUSG00000001847.phy	2237	1764
ENSMUSG00000001864.phy	1102	1092
ENSMUSG00000001865.phy	976	966
ENSMUSG00000001870.phy	2345	2359
ENSMUSG00000001891.phy	1135	1164
ENSMUSG00000001901.phy	1578	1519
ENSMUSG00000001909.phy	2040	1859
ENSMUSG00000001910.phy	2326	2330
ENSMUSG00000001911.phy	1965	3456
ENSMUSG00000001918.phy	733	725
ENSMUSG00000001924.phy	817	835
ENSMUSG00000001930.phy	7845	7957
ENSMUSG00000001942.phy	1256	1255
ENSMUSG00000001943.phy	1292	1393
ENSMUSG00000001946.phy	2211	2575
ENSMUSG00000001948.phy	615	1719
ENSMUSG00000001964.phy	1595	1708
ENSMUSG00000001983.phy	1455	489
ENSMUSG00000001985.phy	8096	8031
ENSMUSG00000001986.phy	6969	6861
ENSMUSG00000001988.phy	2010	491
ENSMUSG00000001995.phy	8980	9040
ENSMUSG00000001998.phy	10299	10193
ENSMUSG00000001999.phy	728	719
ENSMUSG00000002006.phy	868	841
ENSMUSG00000002007.phy	3304	3693
ENSMUSG00000002010.phy	3081	3066
ENSMUSG00000002012.phy	1671	1675
ENSMUSG00000002014.phy	266	274
ENSMUSG00000002015.phy	1734	1765
ENSMUSG00000002017.phy	2707	3440
ENSMUSG00000002020.phy	9955	9697
ENSMUSG00000002028.phy	24090	11261
ENSMUSG00000002031.phy	4882	1138
ENSMUSG00000002032.phy	3442	2978
ENSMUSG00000002033.phy	267	268
ENSMUSG00000002043.phy	1569	1547
ENSMUSG00000002052.phy	12957	16255
ENSMUSG00000002055.phy	6036	5710
ENSMUSG00000002058.phy	1853	1905
ENSMUSG00000002059.phy	3048	3045
ENSMUSG00000002064.phy	575	568
ENSMUSG00000002068.phy	1274	1268
ENSMUSG00000002076.phy	290	292
ENSMUSG00000002100.phy	9916	11231
ENSMUSG00000002102.phy	3366	3387
ENSMUSG00000002103.phy	6523	6374
ENSMUSG00000002104.phy	1851	1892
ENSMUSG00000002105.phy	1062	699
ENSMUSG00000002107.phy	7283	8280
ENSMUSG00000002108.phy	1485	2548
ENSMUSG00000002109.phy	2140	2264
ENSMUSG00000002111.phy	212	162
ENSMUSG00000002129.phy	4517	4494
ENSMUSG00000002147.phy	2283	2754
ENSMUSG00000002190.phy	6092	6122
ENSMUSG00000002204.phy	783	1596
ENSMUSG00000002205.phy	922	832
ENSMUSG00000002210.phy	1360	1328
ENSMUSG00000002222.phy	2398	2303
ENSMUSG00000002227.phy	8043	3426
ENSMUSG00000002228.phy	3493	3503
ENSMUSG00000002233.phy	1953	2036
ENSMUSG00000002250.phy	1407	1165
ENSMUSG00000002257.phy	2585	1193
ENSMUSG00000002265.phy	1695	1379
ENSMUSG00000002266.phy	662	662
ENSMUSG00000002274.phy	208	1165
ENSMUSG00000002279.phy	1577	1168
ENSMUSG00000002280.phy	4341	4330
ENSMUSG00000002289.phy	677	1889
ENSMUSG00000002307.phy	1495	1545
ENSMUSG00000002308.phy	557	549
ENSMUSG00000002319.phy	7648	7617
ENSMUSG00000002324.phy	3115	3138
ENSMUSG00000002326.phy	2884	2884
ENSMUSG00000002332.phy	2752	2757
ENSMUSG00000002341.phy	2863	2880
ENSMUSG00000002342.phy	704	1036
ENSMUSG00000002343.phy	2474	2861
ENSMUSG00000002345.phy	184	610
ENSMUSG00000002346.phy	193	2578
ENSMUSG00000002365.phy	3260	900
ENSMUSG00000002372.phy	600	3169
ENSMUSG00000002379.phy	1003	1007
ENSMUSG00000002384.phy	496	401
ENSMUSG00000002393.phy	1027	2105
ENSMUSG00000002395.phy	1481	1484
ENSMUSG00000002409.phy	3489	4244
ENSMUSG00000002413.phy	680	5548
ENSMUSG00000002416.phy	130	1243
ENSMUSG00000002428.phy	4356	3195
ENSMUSG00000002455.phy	4782	3005
ENSMUSG00000002458.phy	524	539
ENSMUSG00000002475.phy	1675	1654
ENSMUSG00000002477.phy	267	264
ENSMUSG00000002489.phy	3724	3838
ENSMUSG00000002496.phy	10491	10113
ENSMUSG00000002500.phy	1546	1144
ENSMUSG00000002504.phy	579	567
ENSMUSG00000002524.phy	965	1061
ENSMUSG00000002546.phy	3251	3207
ENSMUSG00000002550.phy	1192	1214
ENSMUSG00000002565.phy	6100	6174
ENSMUSG00000002578.phy	5457	3345
ENSMUSG00000002580.phy	916	832
ENSMUSG00000002588.phy	1903	3777
ENSMUSG00000002602.phy	5427	5344
ENSMUSG00000002603.phy	569	573
ENSMUSG00000002608.phy	825	806
ENSMUSG00000002617.phy	2399	2635
ENSMUSG00000002625.phy	4577	4767
ENSMUSG00000002633.phy	335	357
ENSMUSG00000002635.phy	566	576
ENSMUSG00000002658.phy	3657	3582
ENSMUSG00000002660.phy	889	535
ENSMUSG00000002661.phy	1371	1369
ENSMUSG00000002664.phy	765	764
ENSMUSG00000002668.phy	1300	1195
ENSMUSG00000002679.phy	345	347
ENSMUSG00000002688.phy	3023	3113
ENSMUSG00000002718.phy	7912	7844
ENSMUSG00000002728.phy	2043	530
ENSMUSG00000002731.phy	3427	2302
ENSMUSG00000002732.phy	1513	1517
ENSMUSG00000002733.phy	1336	1356
ENSMUSG00000002741.phy	567	227
ENSMUSG00000002748.phy	1471	10748
ENSMUSG00000002763.phy	2106	3904
ENSMUSG00000002767.phy	409	405
ENSMUSG00000002768.phy	371	392
ENSMUSG00000002771.phy	5276	2877
ENSMUSG00000002778.phy	1973	2021
ENSMUSG00000002781.phy	881	906
ENSMUSG00000002797.phy	321	407
ENSMUSG00000002799.phy	2132	5080
ENSMUSG00000002803.phy	1168	1971
ENSMUSG00000002804.phy	923	273
ENSMUSG00000002808.phy	525	437
ENSMUSG00000002812.phy	7131	4555
ENSMUSG00000002814.phy	1910	4022
ENSMUSG00000002820.phy	2702	1758
ENSMUSG00000002825.phy	610	589
ENSMUSG00000002833.phy	4470	2872
ENSMUSG00000002835.phy	6460	6491
ENSMUSG00000002844.phy	855	849
ENSMUSG00000002845.phy	2137	3126
ENSMUSG00000002846.phy	340	384
ENSMUSG00000002847.phy	2077	689
ENSMUSG00000002870.phy	5764	5790
ENSMUSG00000002871.phy	2706	2818
ENSMUSG00000002881.phy	937	938
ENSMUSG00000002897.phy	456	429
ENSMUSG00000002900.phy	5749	11668
ENSMUSG00000002908.phy	3020	290
ENSMUSG00000002949.phy	3082	3092
ENSMUSG00000002957.phy	5715	5766
ENSMUSG00000002963.phy	4408	4215
ENSMUSG00000002968.phy	351	839
ENSMUSG00000002980.phy	2096	732
ENSMUSG00000002981.phy	5461	6311
ENSMUSG00000002983.phy	366	367
ENSMUSG00000002984.phy	2397	2386
ENSMUSG00000002996.phy	3643	2058
ENSMUSG00000002997.phy	4162	4203
ENSMUSG00000003031.phy	2026	2027
ENSMUSG00000003032.phy	1700	164
ENSMUSG00000003033.phy	3735	3784
ENSMUSG00000003037.phy	470	490
ENSMUSG00000003051.phy	1128	2599
ENSMUSG00000003062.phy	450	631
ENSMUSG00000003068.phy	5122	5093
ENSMUSG00000003070.phy	367	367
ENSMUSG00000003072.phy	401	553
ENSMUSG00000003099.phy	4981	3409
ENSMUSG00000003119.phy	10890	10944
ENSMUSG00000003131.phy	673	596
ENSMUSG00000003134.phy	8685	8855
ENSMUSG00000003135.phy	1940	1948
ENSMUSG00000003154.phy	6024	5890
ENSMUSG00000003161.phy	2773	554
ENSMUSG00000003184.phy	1177	822
ENSMUSG00000003190.phy	554	969
ENSMUSG00000003199.phy	3721	3725
ENSMUSG00000003200.phy	757	750
ENSMUSG00000003206.phy	330	341
ENSMUSG00000003226.phy	10233	10340
ENSMUSG00000003227.phy	1226	699
ENSMUSG00000003228.phy	3143	6353
ENSMUSG00000003233.phy	2719	5016
ENSMUSG00000003234.phy	5760	5789
ENSMUSG00000003235.phy	3986	4006
ENSMUSG00000003269.phy	235	235
ENSMUSG00000003273.phy	3033	1713
ENSMUSG00000003279.phy	7365	1872
ENSMUSG00000003282.phy	2719	2376
ENSMUSG00000003283.phy	1609	1526
ENSMUSG00000003299.phy	636	570
ENSMUSG00000003308.phy	1419	1426
ENSMUSG00000003309.phy	1302	2965
ENSMUSG00000003316.phy	3889	10186
ENSMUSG00000003341.phy	7720	7607
ENSMUSG00000003345.phy	1559	1774
ENSMUSG00000003346.phy	1237	484
ENSMUSG00000003348.phy	243	877
ENSMUSG00000003352.phy	3725	2999
ENSMUSG00000003354.phy	2359	2059
ENSMUSG00000003360.phy	3800	3817
ENSMUSG00000003363.phy	2867	2516
ENSMUSG00000003378.phy	2023	6587
ENSMUSG00000003380.phy	1347	1497
ENSMUSG00000003382.phy	2172	2174
ENSMUSG00000003402.phy	3542	3569
ENSMUSG00000003410.phy	1306	1308
ENSMUSG00000003411.phy	1815	1910
ENSMUSG00000003420.phy	1454	1475
ENSMUSG00000003421.phy	737	1407
ENSMUSG00000003423.phy	1958	1993
ENSMUSG00000003435.phy	5617	3425
ENSMUSG00000003436.phy	1517	1531
ENSMUSG00000003437.phy	3241	3727
ENSMUSG00000003438.phy	2289	2270
ENSMUSG00000003452.phy	8860	8950
ENSMUSG00000003458.phy	1619	1691
ENSMUSG00000003476.phy	2488	2504
ENSMUSG00000003477.phy	844	436
ENSMUSG00000003484.phy	2456	471
ENSMUSG00000003500.phy	2058	4305
ENSMUSG00000003526.phy	1421	1406
ENSMUSG00000003527.phy	1330	1344
ENSMUSG00000003528.phy	2507	2580
ENSMUSG00000003531.phy	214	276
ENSMUSG00000003534.phy	2328	2309
ENSMUSG00000003545.phy	1165	797
ENSMUSG00000003546.phy	420	420
ENSMUSG00000003549.phy	3193	3176
ENSMUSG00000003555.phy	811	1384
ENSMUSG00000003559.phy	862	873
ENSMUSG00000003573.phy	264	322
ENSMUSG00000003575.phy	476	458
ENSMUSG00000003581.phy	3338	3324
ENSMUSG00000003585.phy	2697	2752
ENSMUSG00000003617.phy	1856	3695
ENSMUSG00000003623.phy	993	1089
ENSMUSG00000003644.phy	3853	5587
ENSMUSG00000003657.phy	607	1776
ENSMUSG00000003660.phy	7418	16275
ENSMUSG00000003662.phy	2500	2436
ENSMUSG00000003665.phy	1436	2442
ENSMUSG00000003680.phy	508	3599
ENSMUSG00000003721.phy	1394	1312
ENSMUSG00000003731.phy	1042	1809
ENSMUSG00000003746.phy	4312	5065
ENSMUSG00000003752.phy	790	735
ENSMUSG00000003762.phy	1909	358
ENSMUSG00000003778.phy	2959	2995
ENSMUSG00000003779.phy	3231	3181
ENSMUSG00000003808.phy	3874	3855
ENSMUSG00000003809.phy	3992	3330
ENSMUSG00000003810.phy	5495	12174
ENSMUSG00000003812.phy	1312	1279
ENSMUSG00000003813.phy	833	845
ENSMUSG00000003814.phy	2977	1765
ENSMUSG00000003824.phy	673	670
ENSMUSG00000003847.phy	8372	8336
ENSMUSG00000003848.phy	545	1453
ENSMUSG00000003849.phy	847	843
ENSMUSG00000003863.phy	8997	4854
ENSMUSG00000003865.phy	2542	5672
ENSMUSG00000003868.phy	4407	962
ENSMUSG00000003873.phy	1363	1554
ENSMUSG00000003882.phy	1289	1263
ENSMUSG00000003923.phy	106	342
ENSMUSG00000003934.phy	2168	2704
ENSMUSG00000003948.phy	1805	2207
ENSMUSG00000003949.phy	4143	4131
ENSMUSG00000003970.phy	844	1176
ENSMUSG00000003974.phy	2615	2619
ENSMUSG00000003992.phy	7673	7713
ENSMUSG00000004018.phy	2240	6131
ENSMUSG00000004031.phy	3908	3949
ENSMUSG00000004035.phy	1097	1127
ENSMUSG00000004040.phy	2106	7776
ENSMUSG00000004043.phy	937	885
ENSMUSG00000004044.phy	219	213
ENSMUSG00000004054.phy	3578	3533
ENSMUSG00000004056.phy	2090	2113
ENSMUSG00000004069.phy	1628	3207
ENSMUSG00000004070.phy	1959	1925
ENSMUSG00000004071.phy	3580	3557
ENSMUSG00000004098.phy	7617	13913
ENSMUSG00000004099.phy	4345	4417
ENSMUSG00000004100.phy	1601	117
ENSMUSG00000004105.phy	1764	1760
ENSMUSG00000004110.phy	14221	14342
ENSMUSG00000004113.phy	10853	10971
ENSMUSG00000004127.phy	334	343
ENSMUSG00000004151.phy	2272	2290
ENSMUSG00000004187.phy	3331	3252
ENSMUSG00000004207.phy	472	480
ENSMUSG00000004221.phy	4092	3562
ENSMUSG00000004231.phy	1367	4768
ENSMUSG00000004233.phy	838	880
ENSMUSG00000004264.phy	1037	1082
ENSMUSG00000004266.phy	2538	2479
ENSMUSG00000004268.phy	1723	1721
ENSMUSG00000004270.phy	4241	4231
ENSMUSG00000004296.phy	606	612
ENSMUSG00000004317.phy	875	867
ENSMUSG00000004319.phy	2606	2659
ENSMUSG00000004328.phy	2776	2756
ENSMUSG00000004341.phy	502	1211
ENSMUSG00000004344.phy	1739	467
ENSMUSG00000004347.phy	8439	8363
ENSMUSG00000004356.phy	8924	9022
ENSMUSG00000004364.phy	1133	3902
ENSMUSG00000004371.phy	639	653
ENSMUSG00000004383.phy	3813	1138
ENSMUSG00000004393.phy	661	627
ENSMUSG00000004394.phy	1685	1535
ENSMUSG00000004415.phy	1649	4044
ENSMUSG00000004446.phy	323	454
ENSMUSG00000004451.phy	2064	2043
ENSMUSG00000004455.phy	1674	1702
ENSMUSG00000004460.phy	3377	3420
ENSMUSG00000004462.phy	767	757
ENSMUSG00000004473.phy	1207	1207
ENSMUSG00000004500.phy	1091	1085
ENSMUSG00000004508.phy	1946	1950
ENSMUSG00000004530.phy	291	335
ENSMUSG00000004535.phy	612	608
ENSMUSG00000004552.phy	2838	1981
ENSMUSG00000004558.phy	3958	3253
ENSMUSG00000004561.phy	1097	2298
ENSMUSG00000004562.phy	3668	9997
ENSMUSG00000004565.phy	2875	10050
ENSMUSG00000004567.phy	3942	3973
ENSMUSG00000004568.phy	1807	1733
ENSMUSG00000004591.phy	8449	8368
ENSMUSG00000004612.phy	767	725
ENSMUSG00000004626.phy	4280	2992
ENSMUSG00000004630.phy	708	712
ENSMUSG00000004631.phy	3946	3920
ENSMUSG00000004633.phy	3965	5337
ENSMUSG00000004642.phy	495	499
ENSMUSG00000004654.phy	504	519
ENSMUSG00000004655.phy	166	172
ENSMUSG00000004661.phy	2617	2641
ENSMUSG00000004667.phy	567	926
ENSMUSG00000004677.phy	11787	11959
ENSMUSG00000004730.phy	7559	7492
ENSMUSG00000004768.phy	242	242
ENSMUSG00000004771.phy	1308	1299
ENSMUSG00000004789.phy	3406	3403
ENSMUSG00000004791.phy	620	285
ENSMUSG00000004798.phy	5066	5238
ENSMUSG00000004815.phy	7707	7683
ENSMUSG00000004821.phy	2117	2104
ENSMUSG00000004837.phy	995	1393
ENSMUSG00000004842.phy	1014	962
ENSMUSG00000004843.phy	344	326
ENSMUSG00000004846.phy	5545	5411
ENSMUSG00000004864.phy	2550	2507
ENSMUSG00000004865.phy	694	715
ENSMUSG00000004872.phy	1486	1457
ENSMUSG00000004885.phy	1587	1149
ENSMUSG00000004891.phy	670	3844
ENSMUSG00000004892.phy	5579	6301
ENSMUSG00000004894.phy	390	1303
ENSMUSG00000004895.phy	3653	3388
ENSMUSG00000004896.phy	3522	3547
ENSMUSG00000004897.phy	2176	2678
ENSMUSG00000004902.phy	684	664
ENSMUSG00000004929.phy	570	510
ENSMUSG00000004931.phy	1728	1703
ENSMUSG00000004933.phy	1218	1177
ENSMUSG00000004934.phy	3551	1309
ENSMUSG00000004936.phy	809	290
ENSMUSG00000004937.phy	326	349
ENSMUSG00000004945.phy	1091	1244
ENSMUSG00000004947.phy	1044	1014
ENSMUSG00000004948.phy	2333	2337
ENSMUSG00000004951.phy	731	533
ENSMUSG00000004952.phy	5956	2040
ENSMUSG00000004961.phy	2972	2958
ENSMUSG00000004980.phy	1079	1309
ENSMUSG00000004988.phy	233	228
ENSMUSG00000004994.phy	2231	2172
ENSMUSG00000004996.phy	797	794
ENSMUSG00000005034.phy	2804	2824
ENSMUSG00000005045.phy	2111	2132
ENSMUSG00000005054.phy	385	279
ENSMUSG00000005057.phy	1820	1807
ENSMUSG00000005078.phy	3141	3015
ENSMUSG00000005087.phy	1476	1480
ENSMUSG00000005102.phy	14857	12360
ENSMUSG00000005103.phy	804	850
ENSMUSG00000005107.phy	3871	3910
ENSMUSG00000005124.phy	1141	1148
ENSMUSG00000005125.phy	980	949
ENSMUSG00000005142.phy	7320	4414
ENSMUSG00000005148.phy	1130	1152
ENSMUSG00000005150.phy	2533	2550
ENSMUSG00000005161.phy	379	1975
ENSMUSG00000005198.phy	12656	8949
ENSMUSG00000005202.phy	2823	2825
ENSMUSG00000005204.phy	1547	1972
ENSMUSG00000005220.phy	3188	3199
ENSMUSG00000005225.phy	6112	6095
ENSMUSG00000005233.phy	2047	2048
ENSMUSG00000005237.phy	12466	12760
ENSMUSG00000005251.phy	1867	1879
ENSMUSG00000005262.phy	3488	2133
ENSMUSG00000005267.phy	576	570
ENSMUSG00000005268.phy	3744	3713
ENSMUSG00000005299.phy	2301	2310
ENSMUSG00000005312.phy	3478	635
ENSMUSG00000005320.phy	4923	4802
ENSMUSG00000005338.phy	1316	1326
ENSMUSG00000005354.phy	449	432
ENSMUSG00000005355.phy	412	414
ENSMUSG00000005357.phy	4138	4145
ENSMUSG00000005360.phy	378	1340
ENSMUSG00000005362.phy	3073	5298
ENSMUSG00000005370.phy	686	687
ENSMUSG00000005371.phy	2953	2957
ENSMUSG00000005374.phy	1261	1261
ENSMUSG00000005378.phy	3036	2982
ENSMUSG00000005397.phy	2706	2747
ENSMUSG00000005410.phy	2569	4977
ENSMUSG00000005413.phy	1406	621
