# HyPhy output parser
# PYTHON VERSION: 3.9.4
# Script call:    /home/gt156213e/bin/hyphy-interface/hyphy_to_csv.py -i full-coding-fel-pared/ -m fel -o full-coding-fel-pared.csv --overwrite
# Runtime:        02/07/2022 12:54:16
# ----------------
# IO OPTIONS
# Input directory:       full-coding-fel-pared/
# Hyphy model:           fel
# Output file:           full-coding-fel-pared.csv
# --overwrite set:       Overwriting previous output file.
# ----------------
# 02.07.2022 | 12:54:16 Begin parsing Hyphy output...
# Initial alpha      : 0.01
# Total sites tested : 3606027
# Adjusted alpha     : 2.7731350874522015e-09
file,num.sites,num.sites.alpha.ne.beta,num.sites.ps
ENSMUSP00000027792-mafft-cds.filter.json,39,28,0
ENSMUSP00000027856-mafft-cds.filter.json,642,460,0
ENSMUSP00000027809-mafft-cds.filter.json,275,211,0
ENSMUSP00000027843-mafft-cds.filter.json,473,369,2
ENSMUSP00000027797-mafft-cds.filter.json,471,405,1
ENSMUSP00000027861-mafft-cds.filter.json,143,97,0
ENSMUSP00000027863-mafft-cds.filter.json,112,81,0
ENSMUSP00000027867-mafft-cds.filter.json,422,344,5
ENSMUSP00000027866-mafft-cds.filter.json,328,257,2
ENSMUSP00000027876-mafft-cds.filter.json,605,435,0
ENSMUSP00000027885-mafft-cds.filter.json,490,407,2
ENSMUSP00000027888-mafft-cds.filter.json,1116,798,17
ENSMUSP00000027897-mafft-cds.filter.json,91,64,3
ENSMUSP00000027896-mafft-cds.filter.json,92,71,0
ENSMUSP00000027916-mafft-cds.filter.json,106,85,1
ENSMUSP00000027921-mafft-cds.filter.json,182,155,0
ENSMUSP00000027929-mafft-cds.filter.json,320,223,5
ENSMUSP00000027931-mafft-cds.filter.json,221,174,0
ENSMUSP00000027940-mafft-cds.filter.json,199,158,0
ENSMUSP00000027947-mafft-cds.filter.json,428,350,0
ENSMUSP00000027952-mafft-cds.filter.json,1737,1346,11
ENSMUSP00000027974-mafft-cds.filter.json,276,213,0
ENSMUSP00000027989-mafft-cds.filter.json,132,110,2
ENSMUSP00000027991-mafft-cds.filter.json,154,108,0
ENSMUSP00000027997-mafft-cds.filter.json,55,36,0
ENSMUSP00000028004-mafft-cds.filter.json,326,263,2
ENSMUSP00000028005-mafft-cds.filter.json,58,38,0
ENSMUSP00000028010-mafft-cds.filter.json,373,294,1
ENSMUSP00000028020-mafft-cds.filter.json,445,353,1
ENSMUSP00000028024-mafft-cds.filter.json,54,42,0
ENSMUSP00000028049-mafft-cds.filter.json,525,334,1
ENSMUSP00000034868-mafft-cds.filter.json,404,328,7
ENSMUSP00000035065-mafft-cds.filter.json,446,384,3
ENSMUSP00000048519-mafft-cds.filter.json,249,235,4
ENSMUSP00000041851-mafft-cds.filter.json,295,239,1
ENSMUSP00000045291-mafft-cds.filter.json,644,472,1
ENSMUSP00000036656-mafft-cds.filter.json,113,100,4
ENSMUSP00000043442-mafft-cds.filter.json,143,97,0
ENSMUSP00000047551-mafft-cds.filter.json,408,314,1
ENSMUSP00000047213-mafft-cds.filter.json,313,245,0
ENSMUSP00000043103-mafft-cds.filter.json,747,493,0
ENSMUSP00000040310-mafft-cds.filter.json,366,305,1
ENSMUSP00000041427-mafft-cds.filter.json,390,238,0
ENSMUSP00000045598-mafft-cds.filter.json,549,280,1
ENSMUSP00000047992-mafft-cds.filter.json,148,120,0
ENSMUSP00000048482-mafft-cds.filter.json,186,142,0
ENSMUSP00000039072-mafft-cds.filter.json,591,427,1
ENSMUSP00000042343-mafft-cds.filter.json,328,276,4
ENSMUSP00000044630-mafft-cds.filter.json,456,401,1
ENSMUSP00000042195-mafft-cds.filter.json,355,284,6
ENSMUSP00000045828-mafft-cds.filter.json,301,191,0
ENSMUSP00000035727-mafft-cds.filter.json,112,95,0
ENSMUSP00000039178-mafft-cds.filter.json,813,551,1
ENSMUSP00000039376-mafft-cds.filter.json,399,337,1
ENSMUSP00000045570-mafft-cds.filter.json,617,404,0
ENSMUSP00000038914-mafft-cds.filter.json,168,133,0
ENSMUSP00000048929-mafft-cds.filter.json,861,683,2
ENSMUSP00000043724-mafft-cds.filter.json,312,280,0
ENSMUSP00000049391-mafft-cds.filter.json,698,436,0
ENSMUSP00000039420-mafft-cds.filter.json,642,457,3
ENSMUSP00000036093-mafft-cds.filter.json,553,399,2
ENSMUSP00000037561-mafft-cds.filter.json,335,272,0
ENSMUSP00000042918-mafft-cds.filter.json,62,49,0
ENSMUSP00000042410-mafft-cds.filter.json,303,240,1
ENSMUSP00000035358-mafft-cds.filter.json,564,431,1
ENSMUSP00000045327-mafft-cds.filter.json,171,123,2
ENSMUSP00000040756-mafft-cds.filter.json,301,187,0
ENSMUSP00000048859-mafft-cds.filter.json,526,382,3
ENSMUSP00000048229-mafft-cds.filter.json,133,114,0
ENSMUSP00000037406-mafft-cds.filter.json,869,653,0
ENSMUSP00000036347-mafft-cds.filter.json,372,270,3
ENSMUSP00000036277-mafft-cds.filter.json,308,229,0
ENSMUSP00000041241-mafft-cds.filter.json,840,504,1
ENSMUSP00000035332-mafft-cds.filter.json,421,286,0
ENSMUSP00000041907-mafft-cds.filter.json,220,183,1
ENSMUSP00000035261-mafft-cds.filter.json,658,455,0
ENSMUSP00000038369-mafft-cds.filter.json,657,466,4
ENSMUSP00000047326-mafft-cds.filter.json,310,162,0
ENSMUSP00000037497-mafft-cds.filter.json,582,335,0
ENSMUSP00000035444-mafft-cds.filter.json,215,171,1
ENSMUSP00000044945-mafft-cds.filter.json,205,174,1
ENSMUSP00000040977-mafft-cds.filter.json,307,248,0
ENSMUSP00000037514-mafft-cds.filter.json,249,131,0
ENSMUSP00000042212-mafft-cds.filter.json,191,119,0
ENSMUSP00000048636-mafft-cds.filter.json,359,294,0
ENSMUSP00000044257-mafft-cds.filter.json,665,529,0
ENSMUSP00000046610-mafft-cds.filter.json,129,102,0
ENSMUSP00000046311-mafft-cds.filter.json,58,50,1
ENSMUSP00000042803-mafft-cds.filter.json,116,76,0
ENSMUSP00000045841-mafft-cds.filter.json,855,678,0
ENSMUSP00000045606-mafft-cds.filter.json,151,114,0
ENSMUSP00000037930-mafft-cds.filter.json,660,516,12
ENSMUSP00000047199-mafft-cds.filter.json,240,190,3
ENSMUSP00000041683-mafft-cds.filter.json,333,292,1
ENSMUSP00000038138-mafft-cds.filter.json,1088,891,17
ENSMUSP00000037854-mafft-cds.filter.json,918,684,1
ENSMUSP00000046686-mafft-cds.filter.json,203,25,0
ENSMUSP00000041920-mafft-cds.filter.json,1127,936,4
ENSMUSP00000044815-mafft-cds.filter.json,738,567,0
ENSMUSP00000047589-mafft-cds.filter.json,296,249,1
ENSMUSP00000047291-mafft-cds.filter.json,476,399,4
ENSMUSP00000038297-mafft-cds.filter.json,158,118,1
ENSMUSP00000039839-mafft-cds.filter.json,451,235,0
ENSMUSP00000044405-mafft-cds.filter.json,338,281,0
ENSMUSP00000037259-mafft-cds.filter.json,503,420,2
ENSMUSP00000039003-mafft-cds.filter.json,891,444,0
ENSMUSP00000035489-mafft-cds.filter.json,325,260,5
ENSMUSP00000044245-mafft-cds.filter.json,373,329,2
ENSMUSP00000048803-mafft-cds.filter.json,321,280,4
ENSMUSP00000040505-mafft-cds.filter.json,222,182,1
ENSMUSP00000043857-mafft-cds.filter.json,311,224,0
ENSMUSP00000045838-mafft-cds.filter.json,484,329,1
ENSMUSP00000046079-mafft-cds.filter.json,256,222,0
ENSMUSP00000047164-mafft-cds.filter.json,339,277,0
ENSMUSP00000036916-mafft-cds.filter.json,620,485,6
ENSMUSP00000042927-mafft-cds.filter.json,354,264,1
ENSMUSP00000046786-mafft-cds.filter.json,304,203,0
ENSMUSP00000059973-mafft-cds.filter.json,236,140,0
ENSMUSP00000051417-mafft-cds.filter.json,354,317,0
ENSMUSP00000051935-mafft-cds.filter.json,404,217,0
ENSMUSP00000053489-mafft-cds.filter.json,343,294,6
ENSMUSP00000058966-mafft-cds.filter.json,314,238,0
ENSMUSP00000059159-mafft-cds.filter.json,1242,1038,1
ENSMUSP00000058275-mafft-cds.filter.json,983,762,1
ENSMUSP00000057062-mafft-cds.filter.json,626,501,0
ENSMUSP00000061683-mafft-cds.filter.json,60,48,2
ENSMUSP00000058813-mafft-cds.filter.json,76,58,0
ENSMUSP00000049714-mafft-cds.filter.json,344,323,1
ENSMUSP00000060202-mafft-cds.filter.json,163,115,3
ENSMUSP00000050862-mafft-cds.filter.json,205,169,0
ENSMUSP00000054719-mafft-cds.filter.json,319,208,1
ENSMUSP00000059389-mafft-cds.filter.json,976,829,0
ENSMUSP00000055437-mafft-cds.filter.json,162,134,1
ENSMUSP00000049967-mafft-cds.filter.json,729,575,11
ENSMUSP00000051248-mafft-cds.filter.json,930,481,0
ENSMUSP00000054499-mafft-cds.filter.json,1471,1079,16
ENSMUSP00000057212-mafft-cds.filter.json,386,298,1
ENSMUSP00000056855-mafft-cds.filter.json,197,149,0
ENSMUSP00000050495-mafft-cds.filter.json,453,377,3
ENSMUSP00000057112-mafft-cds.filter.json,526,409,1
ENSMUSP00000061597-mafft-cds.filter.json,587,443,0
ENSMUSP00000060622-mafft-cds.filter.json,202,167,1
ENSMUSP00000060769-mafft-cds.filter.json,1154,976,0
ENSMUSP00000095053-mafft-cds.filter.json,690,499,0
ENSMUSP00000050454-mafft-cds.filter.json,2354,2049,9
ENSMUSP00000050823-mafft-cds.filter.json,168,139,0
ENSMUSP00000056530-mafft-cds.filter.json,1018,866,7
ENSMUSP00000053181-mafft-cds.filter.json,104,82,0
ENSMUSP00000058548-mafft-cds.filter.json,171,131,1
ENSMUSP00000061229-mafft-cds.filter.json,219,174,0
ENSMUSP00000061769-mafft-cds.filter.json,744,591,2
ENSMUSP00000058008-mafft-cds.filter.json,138,117,0
ENSMUSP00000056212-mafft-cds.filter.json,229,173,0
ENSMUSP00000054126-mafft-cds.filter.json,409,335,2
ENSMUSP00000050832-mafft-cds.filter.json,1064,821,6
ENSMUSP00000052919-mafft-cds.filter.json,137,92,0
ENSMUSP00000060110-mafft-cds.filter.json,283,197,2
ENSMUSP00000050388-mafft-cds.filter.json,180,144,0
ENSMUSP00000052078-mafft-cds.filter.json,628,521,3
ENSMUSP00000067614-mafft-cds.filter.json,593,388,0
ENSMUSP00000059871-mafft-cds.filter.json,398,334,2
ENSMUSP00000069379-mafft-cds.filter.json,738,567,8
ENSMUSP00000068971-mafft-cds.filter.json,242,198,2
ENSMUSP00000066582-mafft-cds.filter.json,48,36,0
ENSMUSP00000067516-mafft-cds.filter.json,630,495,0
ENSMUSP00000068309-mafft-cds.filter.json,501,339,1
ENSMUSP00000067527-mafft-cds.filter.json,241,204,2
ENSMUSP00000064500-mafft-cds.filter.json,388,260,0
ENSMUSP00000064002-mafft-cds.filter.json,554,366,1
ENSMUSP00000069326-mafft-cds.filter.json,347,250,3
ENSMUSP00000067581-mafft-cds.filter.json,963,779,9
ENSMUSP00000070726-mafft-cds.filter.json,316,119,0
ENSMUSP00000068895-mafft-cds.filter.json,422,294,1
ENSMUSP00000068111-mafft-cds.filter.json,105,61,0
ENSMUSP00000066894-mafft-cds.filter.json,347,213,0
ENSMUSP00000066620-mafft-cds.filter.json,900,714,5
ENSMUSP00000063795-mafft-cds.filter.json,1242,785,0
ENSMUSP00000066701-mafft-cds.filter.json,223,125,0
ENSMUSP00000071875-mafft-cds.filter.json,450,335,0
ENSMUSP00000068804-mafft-cds.filter.json,439,323,0
ENSMUSP00000069851-mafft-cds.filter.json,780,638,0
ENSMUSP00000072039-mafft-cds.filter.json,90,61,1
ENSMUSP00000072660-mafft-cds.filter.json,170,139,0
ENSMUSP00000072803-mafft-cds.filter.json,489,422,2
ENSMUSP00000072763-mafft-cds.filter.json,506,346,1
ENSMUSP00000070868-mafft-cds.filter.json,418,305,2
ENSMUSP00000072983-mafft-cds.filter.json,420,352,7
ENSMUSP00000073072-mafft-cds.filter.json,329,252,3
ENSMUSP00000073190-mafft-cds.filter.json,1671,1434,13
ENSMUSP00000072863-mafft-cds.filter.json,435,371,0
ENSMUSP00000073220-mafft-cds.filter.json,1022,825,4
ENSMUSP00000074340-mafft-cds.filter.json,3725,3079,31
ENSMUSP00000074837-mafft-cds.filter.json,715,605,0
ENSMUSP00000075203-mafft-cds.filter.json,117,85,0
ENSMUSP00000075839-mafft-cds.filter.json,298,211,0
ENSMUSP00000076160-mafft-cds.filter.json,500,298,0
ENSMUSP00000076220-mafft-cds.filter.json,138,120,0
ENSMUSP00000076564-mafft-cds.filter.json,352,253,3
ENSMUSP00000076830-mafft-cds.filter.json,435,303,1
ENSMUSP00000076948-mafft-cds.filter.json,199,156,0
ENSMUSP00000077135-mafft-cds.filter.json,329,287,0
ENSMUSP00000077563-mafft-cds.filter.json,630,463,24
ENSMUSP00000077873-mafft-cds.filter.json,84,68,0
ENSMUSP00000077914-mafft-cds.filter.json,92,78,0
ENSMUSP00000078914-mafft-cds.filter.json,165,109,0
ENSMUSP00000079062-mafft-cds.filter.json,325,276,0
ENSMUSP00000079883-mafft-cds.filter.json,75,67,1
ENSMUSP00000079926-mafft-cds.filter.json,1624,1185,1
ENSMUSP00000080266-mafft-cds.filter.json,301,154,0
ENSMUSP00000080796-mafft-cds.filter.json,200,167,3
ENSMUSP00000082691-mafft-cds.filter.json,450,344,2
ENSMUSP00000082710-mafft-cds.filter.json,278,225,6
ENSMUSP00000082777-mafft-cds.filter.json,313,208,1
ENSMUSP00000082821-mafft-cds.filter.json,394,303,10
ENSMUSP00000083057-mafft-cds.filter.json,89,66,0
ENSMUSP00000083077-mafft-cds.filter.json,1054,674,0
ENSMUSP00000083076-mafft-cds.filter.json,434,352,5
ENSMUSP00000083241-mafft-cds.filter.json,688,533,1
ENSMUSP00000083300-mafft-cds.filter.json,596,495,0
ENSMUSP00000083375-mafft-cds.filter.json,376,289,1
ENSMUSP00000083611-mafft-cds.filter.json,314,250,3
ENSMUSP00000083620-mafft-cds.filter.json,1182,657,0
ENSMUSP00000083707-mafft-cds.filter.json,854,695,6
ENSMUSP00000083747-mafft-cds.filter.json,474,191,0
ENSMUSP00000083806-mafft-cds.filter.json,476,386,2
ENSMUSP00000083896-mafft-cds.filter.json,266,222,1
ENSMUSP00000083944-mafft-cds.filter.json,1249,1148,21
ENSMUSP00000084029-mafft-cds.filter.json,1257,846,9
ENSMUSP00000084054-mafft-cds.filter.json,228,182,4
ENSMUSP00000084062-mafft-cds.filter.json,140,96,0
ENSMUSP00000084073-mafft-cds.filter.json,63,49,0
ENSMUSP00000084361-mafft-cds.filter.json,1611,1278,14
ENSMUSP00000084430-mafft-cds.filter.json,949,716,0
ENSMUSP00000084466-mafft-cds.filter.json,250,137,0
ENSMUSP00000084478-mafft-cds.filter.json,272,159,1
ENSMUSP00000084523-mafft-cds.filter.json,1540,1214,7
ENSMUSP00000084633-mafft-cds.filter.json,367,262,1
ENSMUSP00000084701-mafft-cds.filter.json,736,557,0
ENSMUSP00000085192-mafft-cds.filter.json,1121,833,2
ENSMUSP00000085244-mafft-cds.filter.json,877,560,0
ENSMUSP00000085625-mafft-cds.filter.json,51,41,0
ENSMUSP00000085900-mafft-cds.filter.json,371,294,0
ENSMUSP00000085826-mafft-cds.filter.json,224,165,0
ENSMUSP00000085986-mafft-cds.filter.json,1452,1051,12
ENSMUSP00000086034-mafft-cds.filter.json,617,431,0
ENSMUSP00000086041-mafft-cds.filter.json,42,21,0
ENSMUSP00000086294-mafft-cds.filter.json,207,157,0
ENSMUSP00000087763-mafft-cds.filter.json,471,334,0
ENSMUSP00000087787-mafft-cds.filter.json,107,89,0
ENSMUSP00000088935-mafft-cds.filter.json,95,44,0
ENSMUSP00000091895-mafft-cds.filter.json,313,260,2
ENSMUSP00000092135-mafft-cds.filter.json,209,170,3
ENSMUSP00000092210-mafft-cds.filter.json,335,299,3
ENSMUSP00000092412-mafft-cds.filter.json,611,514,4
ENSMUSP00000092440-mafft-cds.filter.json,1397,1123,1
ENSMUSP00000092624-mafft-cds.filter.json,718,557,4
ENSMUSP00000092630-mafft-cds.filter.json,194,169,1
ENSMUSP00000095051-mafft-cds.filter.json,824,670,16
ENSMUSP00000095101-mafft-cds.filter.json,189,151,0
ENSMUSP00000095148-mafft-cds.filter.json,136,100,0
ENSMUSP00000095169-mafft-cds.filter.json,186,131,0
ENSMUSP00000095195-mafft-cds.filter.json,812,598,4
ENSMUSP00000095249-mafft-cds.filter.json,674,466,5
ENSMUSP00000095235-mafft-cds.filter.json,157,129,1
